datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,69.0,69,50,69,5be7719afb16660023152311,69,69.0,69,,69,2,69.0
2018-11-11T00:00:00.000+00:00,60.0,60,50,69,5be8c302fb1666002213d974,60,60.0,60,,60,1,60.0
2018-11-13T00:00:00.000+00:00,40.0,40,40,69,5beb65f7fb1666002319554e,40,40.0,40,55.8,40,1,40.0
2018-11-22T00:00:00.000+00:00,70.0,70,40,70,5bf7435dfb16660023263041,70,70.0,70,57.8,70,2,70.0
2018-11-24T00:00:00.000+00:00,45.0,45,40,70,5bf9e683fb1666002225fcc0,45,45.0,45,56.8,45,1,45.0
2018-11-25T00:00:00.000+00:00,50.0,50,40,70,5bfb3840fb166600222766a2,50,50.0,50,53.0,50,1,50.0
2018-11-30T00:00:00.000+00:00,40.0,40,40,70,5c01cf9afb166600222e199e,40,40.0,40,49.0,40,1,40.0
2018-12-01T00:00:00.000+00:00,59.0,59,40,59,5c03211cfb166600222f8517,59,59.0,59,52.8,59,1,59.0
2018-12-02T00:00:00.000+00:00,35.0,40,30,59,5c0472b1fb1666002230f6bb,40,35.0,30,45.8,30,2,35.0
2018-12-03T00:00:00.000+00:00,60.0,60,30,60,5c05c42cfb16660023364f06,60,60.0,60,48.8,60,1,60.0
2018-12-07T00:00:00.000+00:00,20.0,20,20,60,5c0b0a103ae3e800234f98fa,20,20.0,20,42.8,20,1,20.0
2018-12-09T00:00:00.000+00:00,55.0,55,20,60,5c0dace03ae3e80023526bf7,55,55.0,55,45.8,55,1,55.0
2018-12-11T00:00:00.000+00:00,25.0,25,20,60,5c1050013ae3e800235548e0,25,25.0,25,39.0,25,1,25.0
2018-12-16T00:00:00.000+00:00,40.0,40,20,55,5c16e7673ae3e800235ce6d8,40,40.0,40,40.0,40,1,40.0
2018-12-17T00:00:00.000+00:00,30.0,30,25,55,5c1839683ae3e800245f4146,30,30.0,30,34.0,30,1,30.0
2018-12-18T00:00:00.000+00:00,35.0,35,25,40,5c198b143ae3e800235ff411,35,35.0,35,37.0,35,1,35.0
2018-12-19T00:00:00.000+00:00,60.0,60,30,60,5c1adbe13ae3e80023617941,60,60.0,60,38.0,60,1,60.0
2018-12-20T00:00:00.000+00:00,52.5,50,30,60,5c1c2dde3ae3e80023630c19,55,52.5,50,43.5,55,2,52.5
2018-12-21T00:00:00.000+00:00,50.0,50,35,60,5c1d7f703ae3e8002364a980,50,50.0,50,45.5,50,1,50.0
2018-12-22T00:00:00.000+00:00,50.0,50,50,60,5c1ed0bf3ae3e80023663170,50,50.0,50,49.5,50,1,50.0
2018-12-25T00:00:00.000+00:00,50.0,40,40,60,5c22c5303ae3e800246c3067,60,50.0,40,52.5,60,2,50.0
2018-12-30T00:00:00.000+00:00,50.0,50,40,60,5c295c663ae3e80023731ab1,50,50.0,50,50.5,50,1,50.0
2019-01-06T00:00:00.000+00:00,40.0,40,40,60,5c3297333ae3e800237eba53,40,40.0,40,48.0,40,1,40.0
2019-01-07T00:00:00.000+00:00,30.0,30,30,60,5c33e8e13ae3e800238061b3,30,30.0,30,44.0,30,1,30.0
2019-01-10T00:00:00.000+00:00,52.0,52,30,52,5c37dd4b3ae3e800238560d9,52,52.0,52,44.4,52,1,52.0
2019-01-13T00:00:00.000+00:00,50.0,50,30,52,5c3bd1a93ae3e800238a7ece,50,50.0,50,44.4,50,1,50.0
2019-01-17T00:00:00.000+00:00,40.0,40,30,52,5c4117d93ae3e80024939aec,40,40.0,40,42.4,40,1,40.0
2019-01-18T00:00:00.000+00:00,50.0,50,40,52,5c4269423ae3e8002392e8d3,50,50.0,50,44.4,50,1,50.0
2019-01-19T00:00:00.000+00:00,50.0,50,40,50,5c43baa83ae3e8002394b89b,50,50.0,50,48.4,50,1,50.0
2019-01-29T00:00:00.000+00:00,75.0,75,40,75,5c50e9a43ae3e80024a8ee94,75,75.0,75,53.0,75,1,75.0
2019-01-30T00:00:00.000+00:00,75.0,75,50,75,5c523ae83ae3e80024aab00b,75,75.0,75,58.0,75,1,75.0
2019-01-31T00:00:00.000+00:00,52.5,75,30,75,5c538c8b3ae3e80024ac876f,75,52.5,30,60.5,30,2,52.5
2019-02-02T00:00:00.000+00:00,75.0,75,30,75,5c562ffa3ae3e80024b014f8,75,75.0,75,65.5,75,2,75.0
