datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-22T00:00:00.000+00:00,4.0,4,4,4,5bf74347fb16660023262d58,4,4.0,4,0,,4,1,4.0
2018-12-06T00:00:00.000+00:00,2.0,2,2,4,5c09b8ad3ae3e800244e3fd9,2,2.0,2,0,,2,1,2.0
2018-12-19T00:00:00.000+00:00,3.0,3,2,4,5c1adbc93ae3e800236175f3,3,3.0,3,0,,3,1,3.0
2018-12-24T00:00:00.000+00:00,4.0,4,2,4,5c21734f3ae3e80023696c7f,4,4.0,4,0,,4,1,4.0
2018-12-30T00:00:00.000+00:00,4.0,4,2,4,5c295c4f3ae3e80023731732,4,4.0,4,0,3.4,4,1,4.0
2019-01-06T00:00:00.000+00:00,7.0,7,7,7,5c32971b3ae3e800237eb6d3,7,7.0,7,5,,7,1,7.0
2019-01-16T00:00:00.000+00:00,3.0,3,3,4,5c3fc5c93ae3e8002491c068,3,3.0,3,0,3.2,3,1,3.0
2019-01-17T00:00:00.000+00:00,2.0,2,2,4,5c41174b3ae3e80024938885,2,2.0,2,0,3.2,2,2,2.0
2019-01-22T00:00:00.000+00:00,3.0,3,3,7,5c47af163ae3e8002399e6cf,3,3.0,3,5,,3,3,3.0
2019-01-24T00:00:00.000+00:00,5.0,5,2,5,5c4a51ce3ae3e800249ff8c4,5,5.0,5,0,3.6,5,6,5.0
2019-01-26T00:00:00.000+00:00,3.0,3,3,7,5c4cf5083ae3e80024a38e4e,3,3.0,3,5,,3,4,3.0
