datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-12-18T00:00:00.000+00:00,57.0,59,49,65,5c198b573ae3e8002460dee5,65,55.0,49,,49,20,54.6
2018-12-19T00:00:00.000+00:00,78.0,75,49,105,5c1adc153ae3e800246269e2,105,80.0,51,,95,301,79.595
2018-12-20T00:00:00.000+00:00,85.0,94,49,105,5c1c2e223ae3e8002363156a,99,85.0,71,,88,214,84.673
2018-12-21T00:00:00.000+00:00,78.0,75,49,105,5c1d7fb43ae3e8002465b801,90,80.0,66,,89,199,80.256
2018-12-22T00:00:00.000+00:00,79.0,90,51,105,5c1ed11e3ae3e80023663f67,90,80.0,68,75.4,70,234,79.752
2018-12-23T00:00:00.000+00:00,76.0,70,62,99,5c2022263ae3e8002468f3d8,90,79.0,62,79.2,80,213,77.836
2018-12-24T00:00:00.000+00:00,74.0,60,58,90,5c2173943ae3e800246a983d,90,75.0,58,78.4,70,189,73.275
2018-12-25T00:00:00.000+00:00,72.0,65,58,90,5c22c5883ae3e800246c3c1c,84,70.0,60,75.8,67,174,70.937
2018-12-26T00:00:00.000+00:00,70.0,75,56,90,5c2416c13ae3e800246dd5ca,84,70.0,56,74.2,69,206,70.743
2018-12-27T00:00:00.000+00:00,60.0,69,46,90,5c2568ac3ae3e800236e4234,74,60.0,46,70.4,65,209,60.435
2018-12-28T00:00:00.000+00:00,64.0,59,46,84,5c26b99e3ae3e80024712381,78,65.0,50,68.0,68,229,62.965
2018-12-29T00:00:00.000+00:00,57.5,60,45,84,5c280bb73ae3e800237189d9,70,59.0,45,64.7,50,243,57.638
2018-12-30T00:00:00.000+00:00,58.5,70,45,78,5c295cbf3ae3e800237326ff,71,60.0,46,62.0,65,222,60.432
2018-12-31T00:00:00.000+00:00,61.0,64,45,78,5c2aae0e3ae3e8002476378b,74,60.0,48,60.2,50,176,59.659
2019-01-01T00:00:00.000+00:00,55.0,60,42,74,5c2c00113ae3e8002477e14c,68,55.0,42,59.2,58,170,55.218
2019-01-02T00:00:00.000+00:00,55.0,55,41,74,5c2d51ad3ae3e80024799848,69,57.0,41,57.4,55,191,55.853
2019-01-03T00:00:00.000+00:00,53.0,59,41,74,5c2ea33a3ae3e800247b454b,65,55.0,41,56.5,60,192,54.193
