datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,98.0,115,81,130,5be37d46fb166600220e9893,115,100.0,81,107.5,100,11,100.545
2018-11-08T00:00:00.000+00:00,115.0,115,81,130,5be4cea1fb1666002312416b,120,117.0,110,110.5,110,8,116.0
2018-11-09T00:00:00.000+00:00,102.5,100,81,120,5be61ff4fb166600221118ef,110,100.0,95,110.0,110,8,101.875
2018-11-10T00:00:00.000+00:00,97.0,95,81,120,5be771a1fb166600231523d5,104,95.0,90,105.4,90,11,95.818
2018-11-11T00:00:00.000+00:00,104.0,83,83,125,5be8c309fb1666002213da3b,125,100.0,83,103.3,100,10,101.7
2018-11-12T00:00:00.000+00:00,99.5,99,83,125,5bea14f8fb1666002317f9de,100,100.0,99,103.6,100,4,99.75
2018-11-13T00:00:00.000+00:00,103.5,100,83,125,5beb6605fb1666002319560d,108,100.0,99,101.3,108,16,102.0
2018-11-14T00:00:00.000+00:00,107.0,110,83,125,5becb7effb166600231ac152,115,105.0,99,102.2,99,10,104.9
2018-11-15T00:00:00.000+00:00,107.0,111,99,115,5bee095efb166600221945af,115,109.5,99,104.2,99,15,106.933
2018-11-16T00:00:00.000+00:00,105.0,110,90,120,5bef5b02fb166600221aae13,120,104.0,90,104.4,100,18,104.556
2018-11-17T00:00:00.000+00:00,100.0,100,90,120,5bf0ac85fb166600221c254c,110,100.0,90,104.5,110,13,100.615
2018-11-18T00:00:00.000+00:00,112.0,109,90,124,5bf1fdddfb16660023208039,124,109.0,100,106.2,100,14,110.071
2018-11-19T00:00:00.000+00:00,100.0,100,90,124,5bf34f72fb1666002321edb5,110,100.0,90,104.8,100,14,102.143
2018-11-20T00:00:00.000+00:00,110.0,118,90,124,5bf4a0cefb16660022206fc3,120,110.0,100,105.4,109,10,112.2
2018-11-21T00:00:00.000+00:00,102.0,124,80,124,5bf5f245fb1666002324c9da,124,100.0,80,104.8,100,13,100.538
2018-11-22T00:00:00.000+00:00,105.0,99,80,124,5bf74364fb16660023263113,120,107.5,90,105.8,100,10,106.3
2018-11-23T00:00:00.000+00:00,112.5,110,80,124,5bf89541fb16660022249dbe,115,110.0,110,105.9,110,7,111.429
2018-11-24T00:00:00.000+00:00,109.5,120,80,124,5bf9e68afb1666002225fd91,120,114.5,99,107.8,100,15,109.2
