datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,4.5,5,2,10,5be37d31fb166600220e9588,5,4.0,4,4.9,4,3,4.333
2018-11-08T00:00:00.000+00:00,3.5,2,2,10,5be4ce82fb166600220fd685,5,4.0,2,4.8,4,3,3.667
2018-11-09T00:00:00.000+00:00,5.0,3,2,7,5be61fdcfb166600221115dd,7,5.0,3,4.8,5,7,5.143
2018-11-11T00:00:00.000+00:00,4.5,5,2,7,5be8c2c1fb16660023167f38,5,5.0,4,4.2,5,8,4.75
2018-11-12T00:00:00.000+00:00,4.0,3,2,7,5bea14c6fb1666002317f4ea,5,4.0,3,4.3,4,5,3.8
2018-11-13T00:00:00.000+00:00,4.5,4,3,7,5beb65e4fb166600231952e7,5,4.0,4,4.3,4,5,4.2
2018-11-14T00:00:00.000+00:00,4.0,4,3,5,5becb7d7fb166600231abe30,4,4.0,4,4.4,4,1,4.0
2018-11-15T00:00:00.000+00:00,4.0,3,3,5,5bee091ffb166600231c2071,5,4.0,3,4.2,5,5,3.8
2018-11-16T00:00:00.000+00:00,7.0,4,3,10,5bef5ae1fb166600221aaac9,10,5.0,4,4.7,5,7,5.429
2018-11-17T00:00:00.000+00:00,4.0,4,3,10,5bf0ac67fb166600221c220b,5,4.5,3,4.7,4,6,4.333
2018-11-18T00:00:00.000+00:00,4.5,5,3,10,5bf1fd97fb166600221d8f8d,5,4.5,4,4.7,4,4,4.5
2018-11-19T00:00:00.000+00:00,3.0,5,1,10,5bf34f56fb1666002321ea6e,5,5.0,1,4.5,1,7,4.0
2018-11-20T00:00:00.000+00:00,4.0,5,1,5,5bf4a0b6fb16660022206c97,5,5.0,3,4.5,5,7,4.571
2018-11-21T00:00:00.000+00:00,5.0,5,1,5,5bf5f22ffb1666002324c693,5,5.0,5,4.1,5,3,5.0
2018-11-22T00:00:00.000+00:00,4.0,3,1,5,5bf7434bfb16660023262dd3,5,4.0,3,4.1,4,10,4.0
2018-11-23T00:00:00.000+00:00,4.5,5,3,5,5bf894f2fb16660022249415,5,4.5,4,4.1,5,6,4.5
2018-11-24T00:00:00.000+00:00,4.0,4,2,6,5bf9e671fb1666002225fa26,6,4.0,2,4.3,5,8,4.25
2018-11-25T00:00:00.000+00:00,6.5,5,2,10,5bfb382ffb16660022276418,10,5.0,3,4.8,5,7,5.143
2018-11-26T00:00:00.000+00:00,4.0,3,2,10,5bfc89a0fb1666002228c4a3,5,5.0,3,4.6,3,6,4.333
2018-11-27T00:00:00.000+00:00,4.5,4,2,10,5bfddabefb166600232d7c14,5,4.0,4,4.7,5,5,4.4
2018-11-28T00:00:00.000+00:00,3.5,4,3,10,5bff2c43fb166600232ef616,4,4.0,3,4.5,3,3,3.667
