datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,19.5,20,15,30,5be37d56fb1666002310e034,20,20.0,19,3,20.7,20,6,19.833
2018-11-07T00:00:00.000+00:00,4.0,3,3,5,5be37d56fb1666002310e033,5,5.0,3,0,3.8,5,21,4.905
2018-11-08T00:00:00.000+00:00,19.0,18,15,25,5be4cebcfb166600220fdfce,20,20.0,18,3,20.0,20,6,19.5
2018-11-08T00:00:00.000+00:00,3.0,3,3,5,5be4cebcfb166600220fdfcd,3,3.0,3,0,3.7,3,3,3.0
2018-11-09T00:00:00.000+00:00,24.5,25,15,30,5be62005fb1666002313a47b,30,25.0,19,3,20.4,20,5,23.8
2018-11-09T00:00:00.000+00:00,3.5,5,2,5,5be62005fb1666002313a47a,5,4.0,2,0,3.5,2,40,4.15
2018-11-10T00:00:00.000+00:00,22.0,25,18,30,5be771b7fb16660023152783,25,20.0,19,3,21.0,19,5,21.8
2018-11-10T00:00:00.000+00:00,3.5,3,2,5,5be771b7fb16660023152782,4,3.0,3,0,3.5,3,29,3.138
2018-11-11T00:00:00.000+00:00,22.0,20,18,30,5be8c320fb16660023168ba1,25,20.0,19,3,21.4,25,9,21.333
2018-11-11T00:00:00.000+00:00,4.0,3,2,5,5be8c320fb16660023168ba0,5,3.5,3,0,3.6,5,23,4.304
2018-11-12T00:00:00.000+00:00,22.5,25,15,30,5bea1513fb16660022153a50,30,20.0,15,3,22.0,19,13,22.231
2018-11-12T00:00:00.000+00:00,3.5,4,2,5,5bea1513fb16660022153a4f,4,4.0,3,0,3.5,3,19,3.737
2018-11-13T00:00:00.000+00:00,19.0,20,15,30,5beb6613fb166600221681e8,20,20.0,18,3,22.0,20,6,19.667
2018-11-13T00:00:00.000+00:00,3.5,4,2,5,5beb6613fb166600221681e7,5,3.0,2,0,3.6,2,39,3.487
2018-11-14T00:00:00.000+00:00,19.5,20,15,30,5becb809fb166600231ac4b4,20,20.0,19,3,21.0,19,3,19.667
2018-11-14T00:00:00.000+00:00,3.0,2,2,5,5becb809fb166600231ac4b3,4,4.0,2,0,3.5,4,19,3.053
2018-11-15T00:00:00.000+00:00,18.5,18,15,30,5bee0983fb166600231c2bc6,20,19.0,17,3,20.3,20,4,18.75
2018-11-15T00:00:00.000+00:00,3.5,4,2,5,5bee0983fb166600231c2bc5,4,3.5,3,0,3.5,3,12,3.333
2018-11-16T00:00:00.000+00:00,25.0,20,17,30,5bef5b10fb166600231d9abc,30,20.0,20,3,20.9,20,11,20.909
2018-11-16T00:00:00.000+00:00,3.5,5,2,5,5bef5b10fb166600231d9abb,5,4.0,2,0,3.4,3,22,3.545
2018-11-17T00:00:00.000+00:00,19.5,20,17,30,5bf0ac96fb166600231f0f32,20,19.0,19,3,20.3,19,9,19.222
2018-11-17T00:00:00.000+00:00,4.0,4,2,5,5bf0ac96fb166600231f0f31,5,4.0,3,0,3.5,3,39,4.026
2018-11-18T00:00:00.000+00:00,16.5,20,8,30,5bf1fe00fb166600221d9bee,25,15.0,8,3,19.8,24,15,16.333
2018-11-18T00:00:00.000+00:00,4.0,5,2,5,5bf1fe00fb166600221d9bed,5,4.0,3,0,3.6,5,34,4.029
2018-11-19T00:00:00.000+00:00,22.5,20,8,30,5bf34f82fb166600221f06e8,30,20.0,15,3,20.4,25,11,22.182
2018-11-19T00:00:00.000+00:00,3.5,4,2,5,5bf34f82fb166600221f06e7,5,3.0,2,0,3.7,3,69,3.116
2018-11-20T00:00:00.000+00:00,18.5,12,8,30,5bf4a0d8fb166600232359a0,25,19.0,12,3,20.4,20,11,18.182
2018-11-20T00:00:00.000+00:00,4.0,3,2,5,5bf4a0d8fb1666002323599f,5,3.0,3,0,3.8,3,42,3.738
2018-11-21T00:00:00.000+00:00,19.5,20,8,30,5bf5f25afb1666002221db2b,20,19.5,19,3,19.3,20,4,19.5
2018-11-21T00:00:00.000+00:00,3.5,4,2,5,5bf5f25afb1666002221db2a,4,4.0,3,0,3.8,3,18,3.611
2018-11-22T00:00:00.000+00:00,20.5,23,12,30,5bf7436efb16660022232de8,23,20.5,18,3,19.5,18,2,20.5
2018-11-22T00:00:00.000+00:00,3.5,3,2,5,5bf7436efb16660022232de7,4,3.0,3,0,3.7,3,49,3.224
2018-11-23T00:00:00.000+00:00,19.5,19,12,25,5bf89555fb1666002224a111,20,20.0,19,3,20.1,20,9,19.778
2018-11-23T00:00:00.000+00:00,4.0,5,3,5,5bf89555fb1666002224a110,5,4.0,3,0,3.7,4,17,4.059
2018-11-24T00:00:00.000+00:00,17.5,19,15,23,5bf9e6a8fb16660023291cf7,20,20.0,15,3,19.1,20,11,19.091
2018-11-24T00:00:00.000+00:00,3.5,3,3,5,5bf9e6a8fb16660023291cf6,4,3.5,3,0,3.7,4,10,3.3
2018-11-25T00:00:00.000+00:00,27.5,20,15,40,5bfb385afb16660022276ac8,40,20.0,15,3,20.9,23,13,21.308
2018-11-25T00:00:00.000+00:00,4.0,5,3,5,5bfb385afb16660022276ac7,5,4.0,3,0,3.7,3,12,4.833
2018-11-26T00:00:00.000+00:00,17.0,25,9,40,5bfc89cafb1666002228cb19,25,20.0,9,3,20.4,9,5,16.6
2018-11-26T00:00:00.000+00:00,3.0,3,2,5,5bfc89cafb1666002228cb18,4,3.0,2,0,3.6,2,27,3.0
2018-11-27T00:00:00.000+00:00,22.5,23,9,40,5bfddadefb166600222a164d,25,20.0,20,3,20.8,20,6,21.333
2018-11-27T00:00:00.000+00:00,4.0,3,2,5,5bfddadefb166600222a164c,5,4.0,3,0,3.7,4,24,4.083
2018-11-28T00:00:00.000+00:00,24.0,25,9,40,5bff2c98fb166600232f01ef,25,24.5,23,3,21.7,23,6,24.333
2018-11-28T00:00:00.000+00:00,3.5,4,2,5,5bff2c98fb166600232f01ee,4,3.5,3,0,3.6,4,17,3.471
