datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,9.5,9,5,20,5be37d17fb1666002310d5a6,10,9.5,9,3,,10,2,9.5
2018-11-07T00:00:00.000+00:00,3.0,3,2,4,5be37d17fb1666002310d5a5,3,3.0,3,0,,3,5,3.0
2018-11-09T00:00:00.000+00:00,10.0,10,5,20,5be61fa8fb16660023139a0e,10,10.0,10,3,9.5,10,1,10.0
2018-11-11T00:00:00.000+00:00,6.0,6,5,10,5be8c29ffb1666002213cb4f,6,6.0,6,3,9.0,6,1,6.0
2018-11-12T00:00:00.000+00:00,10.0,10,6,10,5bea1443fb1666002215251f,10,10.0,10,3,8.1,10,1,10.0
2018-11-14T00:00:00.000+00:00,2.5,3,2,4,5becb7bbfb1666002217e6c4,3,2.5,2,0,2.8,2,4,2.5
2018-11-15T00:00:00.000+00:00,4.0,4,2,4,5bee08f2fb16660022193abf,4,4.0,4,0,3.1,4,1,4.0
2018-11-16T00:00:00.000+00:00,5.0,5,2,5,5bef5abcfb166600231d8fe0,5,5.0,5,0,3.7,5,2,5.0
2018-11-17T00:00:00.000+00:00,10.0,10,6,10,5bf0ac40fb166600231f043f,10,10.0,10,3,9.1,10,2,10.0
2018-11-17T00:00:00.000+00:00,2.5,3,2,5,5bf0ac40fb166600231f043e,3,2.5,2,0,3.4,2,7,2.143
2018-11-18T00:00:00.000+00:00,8.0,8,6,10,5bf1fd27fb166600221d82e2,8,8.0,8,3,8.8,8,2,8.0
2018-11-18T00:00:00.000+00:00,3.5,5,2,5,5bf1fd27fb166600221d82e1,5,3.5,2,0,3.5,2,24,4.875
2018-11-19T00:00:00.000+00:00,10.0,10,8,10,5bf34f31fb166600221efc10,10,10.0,10,3,8.8,10,2,10.0
2018-11-21T00:00:00.000+00:00,7.0,5,5,10,5bf5f1bcfb1666002221c632,9,7.0,5,3,9.0,9,2,7.0
2018-11-24T00:00:00.000+00:00,10.0,10,5,10,5bf9e633fb16660023290c7c,10,10.0,10,3,9.0,10,1,10.0
2018-11-24T00:00:00.000+00:00,2.0,1,1,5,5bf9e633fb16660023290c7b,3,2.0,1,0,3.4,3,7,2.0
2018-11-26T00:00:00.000+00:00,10.0,10,5,10,5bfc8930fb1666002228b5a2,10,10.0,10,3,9.0,10,1,10.0
2018-11-27T00:00:00.000+00:00,20.0,20,5,20,5bfdda9dfb166600232d7693,20,20.0,20,3,11.4,20,1,20.0
2018-11-29T00:00:00.000+00:00,2.0,2,1,5,5c007dfdfb166600233073bd,2,2.0,2,0,3.0,2,1,2.0
2018-12-02T00:00:00.000+00:00,10.0,10,10,20,5c047295fb1666002334de70,10,10.0,10,3,11.4,10,2,10.0
2018-12-04T00:00:00.000+00:00,5.0,5,1,5,5c07151ffb16660023379dee,5,5.0,5,0,3.0,5,2,5.0
2018-12-06T00:00:00.000+00:00,9.0,9,9,20,5c09b8913ae3e800234e370e,9,9.0,9,3,11.8,9,1,9.0
2018-12-07T00:00:00.000+00:00,9.0,9,9,20,5c0b09a23ae3e800244f9ed9,9,9.0,9,3,11.6,9,1,9.0
2018-12-08T00:00:00.000+00:00,9.5,9,9,10,5c0c5b293ae3e80024512361,10,10.0,9,3,11.5,10,3,9.667
2018-12-09T00:00:00.000+00:00,10.0,10,9,10,5c0daca83ae3e8002352635e,10,10.0,10,3,9.5,10,2,10.0
2018-12-11T00:00:00.000+00:00,9.0,10,8,10,5c104fa13ae3e8002455bf4e,10,9.0,8,3,9.3,8,2,9.0
2018-12-12T00:00:00.000+00:00,7.0,7,7,10,5c11a12c3ae3e80024574c5d,7,7.0,7,3,8.9,7,1,7.0
2018-12-13T00:00:00.000+00:00,9.0,9,7,10,5c12f2a03ae3e80023581b64,9,9.0,9,3,8.9,9,4,9.0
2018-12-14T00:00:00.000+00:00,10.0,10,7,10,5c1444ba3ae3e800245a88bf,10,10.0,10,3,9.0,10,1,10.0
2018-12-17T00:00:00.000+00:00,9.5,10,7,10,5c18390b3ae3e800235e6c0d,10,9.5,9,3,8.9,9,3,9.667
2018-12-21T00:00:00.000+00:00,10.0,10,9,10,5c1d7f433ae3e8002465a76e,10,10.0,10,3,9.1,10,1,10.0
2018-12-22T00:00:00.000+00:00,17.5,10,9,25,5c1ed0473ae3e800246746f7,25,17.5,10,3,11.2,25,2,17.5
2018-12-23T00:00:00.000+00:00,2.0,2,1,5,5c2021ae3ae3e8002367c4e6,2,2.0,2,0,2.9,2,2,2.0
2018-12-25T00:00:00.000+00:00,10.0,10,9,25,5c22c4a93ae3e800236af1b5,10,10.0,10,3,11.4,10,1,10.0
2018-12-26T00:00:00.000+00:00,2.0,2,2,5,5c24162a3ae3e800246dc136,2,2.0,2,0,2.6,2,1,2.0
2018-12-28T00:00:00.000+00:00,2.0,2,2,5,5c26b9223ae3e800236fbdaa,2,2.0,2,0,2.6,2,1,2.0
2018-12-30T00:00:00.000+00:00,8.5,10,7,25,5c295c263ae3e800247477ec,10,8.5,7,3,11.1,7,2,8.5
2018-12-30T00:00:00.000+00:00,2.0,2,2,2,5c295c263ae3e800247477eb,2,2.0,2,0,2.6,2,1,2.0
2019-01-01T00:00:00.000+00:00,5.0,5,2,5,5c2bff893ae3e8002477cdfe,5,5.0,5,0,2.6,5,2,5.0
2019-01-02T00:00:00.000+00:00,3.0,3,2,5,5c2d50c63ae3e80024797a6a,3,3.0,3,0,2.8,3,3,3.0
2019-01-03T00:00:00.000+00:00,12.5,10,7,25,5c2ea2603ae3e800247b2b9a,15,10.0,10,3,11.7,15,4,11.25
2019-01-05T00:00:00.000+00:00,10.0,10,7,15,5c3145293ae3e800237cef15,10,10.0,10,3,11.7,10,2,10.0
2019-01-06T00:00:00.000+00:00,10.0,10,7,15,5c3296c33ae3e800248046ec,10,10.0,10,3,10.2,10,1,10.0
2019-01-08T00:00:00.000+00:00,10.0,10,10,15,5c3539a73ae3e8002381f256,10,10.0,10,3,10.2,10,1,10.0
2019-01-10T00:00:00.000+00:00,9.0,9,9,10,5c37dcbd3ae3e80023854b33,9,9.0,9,3,10.3,9,1,9.0
2019-01-10T00:00:00.000+00:00,3.0,3,2,5,5c37dcbd3ae3e80023854b32,3,3.0,3,0,3.0,3,5,3.0
2019-01-11T00:00:00.000+00:00,5.0,5,5,10,5c392ec33ae3e80023870dc9,5,5.0,5,3,8.8,5,1,5.0
2019-01-11T00:00:00.000+00:00,2.0,3,1,5,5c392ec33ae3e80023870dc8,3,2.0,1,0,3.0,1,2,2.0
2019-01-12T00:00:00.000+00:00,30.0,30,5,30,5c3a80333ae3e8002388c633,30,30.0,30,3,12.8,30,1,30.0
2019-01-15T00:00:00.000+00:00,2.0,2,1,3,5c3e74283ae3e800248ffdb8,2,2.0,2,0,3.0,2,1,2.0
2019-01-19T00:00:00.000+00:00,10.0,10,5,30,5c43ba453ae3e800249709b4,10,10.0,10,3,12.8,10,2,10.0
2019-01-21T00:00:00.000+00:00,10.0,10,5,30,5c465d2d3ae3e8002398153e,10,10.0,10,3,12.8,10,2,10.0
2019-01-22T00:00:00.000+00:00,15.0,15,10,30,5c47aedb3ae3e8002399df19,15,15.0,15,3,14.0,15,1,15.0
2019-01-23T00:00:00.000+00:00,9.0,9,9,15,5c4900b43ae3e800249e44c5,9,9.0,9,3,14.8,9,1,9.0
2019-01-24T00:00:00.000+00:00,10.0,10,9,15,5c4a51a73ae3e800239d5453,10,10.0,10,3,10.8,10,2,10.0
2019-01-25T00:00:00.000+00:00,2.0,2,1,3,5c4ba3333ae3e800239f0b5a,2,2.0,2,0,2.4,2,6,2.0
2019-01-26T00:00:00.000+00:00,5.0,5,5,15,5c4cf4c43ae3e80024a385bb,5,5.0,5,3,9.8,5,1,5.0
2019-01-27T00:00:00.000+00:00,10.0,10,5,10,5c4e46243ae3e80024a54ecc,10,10.0,10,3,9.8,10,2,10.0
2019-01-27T00:00:00.000+00:00,2.5,2,1,3,5c4e46243ae3e80024a54ecb,3,2.0,2,0,2.3,3,20,2.35
2019-01-29T00:00:00.000+00:00,9.0,10,5,10,5c50e9533ae3e80024a8e115,10,10.0,8,3,8.6,8,3,9.333
2019-01-30T00:00:00.000+00:00,9.0,9,5,10,5c523aa83ae3e80023a79654,9,9.0,9,3,8.6,9,2,9.0
2019-01-31T00:00:00.000+00:00,2.0,2,2,3,5c538c293ae3e80024ac7867,2,2.0,2,0,2.1,2,2,2.0
2019-02-01T00:00:00.000+00:00,8.0,8,8,10,5c54dde13ae3e80024ae3f04,8,8.0,8,3,8.2,8,2,8.0
2019-02-02T00:00:00.000+00:00,10.0,10,8,10,5c562fb03ae3e80023acd81a,10,10.0,10,3,9.2,10,1,10.0
