datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,40.0,40,40,58,5be37d2dfb166600220e9500,40,40.0,40,,40,1,40.0
2018-11-10T00:00:00.000+00:00,45.0,45,40,58,5be77189fb1666002315201f,45,45.0,45,,45,1,45.0
2018-11-14T00:00:00.000+00:00,35.0,35,35,58,5becb7d2fb166600231abda9,35,35.0,35,,35,1,35.0
2018-11-16T00:00:00.000+00:00,35.0,35,35,45,5bef5addfb166600221aaa3a,35,35.0,35,41.8,35,1,35.0
2018-11-17T00:00:00.000+00:00,62.5,65,35,65,5bf0ac61fb166600221c217a,65,62.5,60,43.5,60,2,62.5
2018-11-20T00:00:00.000+00:00,70.0,70,35,70,5bf4a0b1fb16660022206c09,70,70.0,70,49.5,70,2,70.0
2018-11-21T00:00:00.000+00:00,45.0,45,35,70,5bf5f22bfb1666002324c5ff,45,45.0,45,49.5,45,1,45.0
2018-11-28T00:00:00.000+00:00,62.0,55,45,70,5bff2c3ffb166600232ef589,69,62.0,55,54.9,69,2,62.0
2018-12-02T00:00:00.000+00:00,50.0,50,45,70,5c0472a1fb1666002230f3bb,50,50.0,50,57.9,50,1,50.0
2018-12-03T00:00:00.000+00:00,50.0,50,45,69,5c05c41bfb16660023364c16,50,50.0,50,55.4,50,1,50.0
2018-12-04T00:00:00.000+00:00,50.0,70,30,70,5c071540fb1666002337a2c2,70,50.0,30,51.4,30,2,50.0
2018-12-05T00:00:00.000+00:00,45.0,60,30,70,5c0866bcfb16660022350924,60,50.0,30,51.4,50,3,46.667
2018-12-08T00:00:00.000+00:00,55.0,55,30,70,5c0c5b4c3ae3e8002350f8bb,55,55.0,55,50.0,55,4,55.0
2018-12-14T00:00:00.000+00:00,69.0,69,30,70,5c1444f23ae3e800245a8ecb,69,69.0,69,53.8,69,1,69.0
2018-12-17T00:00:00.000+00:00,50.0,50,30,69,5c1839393ae3e800245f39a1,50,50.0,50,53.8,50,1,50.0
2018-12-21T00:00:00.000+00:00,69.0,69,50,69,5c1d7f5a3ae3e8002364a608,69,69.0,69,57.6,69,1,69.0
2018-12-28T00:00:00.000+00:00,60.0,60,50,69,5c26b94f3ae3e800236fc38c,60,60.0,60,60.6,60,1,60.0
2019-01-04T00:00:00.000+00:00,40.0,40,40,69,5c2ff45e3ae3e800247ced77,40,40.0,40,57.6,40,1,40.0
2019-01-06T00:00:00.000+00:00,65.0,65,40,69,5c32971b3ae3e800237eb6c3,65,65.0,65,56.8,65,1,65.0
2019-01-08T00:00:00.000+00:00,40.0,40,40,65,5c3539c93ae3e8002381f873,40,40.0,40,54.8,40,1,40.0
2019-01-14T00:00:00.000+00:00,52.5,55,40,65,5c3d22ee3ae3e800238c1c60,55,52.5,50,51.5,50,2,52.5
2019-01-17T00:00:00.000+00:00,54.0,54,40,65,5c41174b3ae3e80024938873,54,54.0,54,50.3,54,1,54.0
2019-01-19T00:00:00.000+00:00,40.0,40,40,55,5c43ba753ae3e8002394afdc,40,40.0,40,50.3,40,1,40.0
2019-01-26T00:00:00.000+00:00,65.0,65,40,65,5c4cf5073ae3e80024a38e3e,65,65.0,65,50.3,65,1,65.0
2019-01-28T00:00:00.000+00:00,65.0,65,40,65,5c4f984e3ae3e80023a44cd5,65,65.0,65,55.3,65,1,65.0
2019-01-30T00:00:00.000+00:00,80.0,80,40,80,5c523acd3ae3e80023a79cae,80,80.0,80,60.8,80,1,80.0
2019-02-03T00:00:00.000+00:00,47.5,65,30,80,5c5780ca3ae3e80024b1c740,65,45.0,30,59.5,30,4,46.25
