datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-12-24T00:00:00.000+00:00,8.5,9,8,9,5c2173993ae3e800246a9906,9,8.5,8,,8,6,8.333
2018-12-27T00:00:00.000+00:00,5.0,5,5,9,5c2568b43ae3e800236e4301,5,5.0,5,,5,5,5.0
2018-12-29T00:00:00.000+00:00,5.0,5,5,9,5c280bbe3ae3e80023718aad,5,5.0,5,,5,2,5.0
2018-12-30T00:00:00.000+00:00,2.0,2,2,9,5c295cc63ae3e800237327d7,2,2.0,2,,2,2,2.0
2018-12-31T00:00:00.000+00:00,8.0,8,2,8,5c2aae133ae3e80024763863,8,8.0,8,5.7,8,6,8.0
2019-01-03T00:00:00.000+00:00,7.0,8,2,8,5c2ea3403ae3e800247b4628,8,7.0,6,5.4,6,5,7.6
2019-01-04T00:00:00.000+00:00,10.0,10,2,10,5c2ff4bc3ae3e800237b5935,10,10.0,10,6.4,10,3,10.0
2019-01-05T00:00:00.000+00:00,8.0,8,6,10,5c3145a83ae3e800237d0258,8,8.0,8,7.0,8,1,8.0
2019-01-06T00:00:00.000+00:00,6.0,5,5,10,5c3297ac3ae3e800237eca43,7,6.0,5,7.8,7,6,5.333
2019-01-07T00:00:00.000+00:00,7.0,7,5,10,5c33e9193ae3e8002482218c,7,7.0,7,7.6,7,1,7.0
2019-01-08T00:00:00.000+00:00,10.0,10,5,10,5c353a323ae3e8002483c9d7,10,10.0,10,8.2,10,2,10.0
2019-01-10T00:00:00.000+00:00,1.0,1,1,10,5c37dda13ae3e80023856cee,1,1.0,1,6.4,1,1,1.0
2019-01-11T00:00:00.000+00:00,8.0,6,1,10,5c392f4a3ae3e80023872130,10,8.0,6,6.4,10,8,8.0
2019-01-13T00:00:00.000+00:00,10.0,10,1,10,5c3bd2073ae3e800238a8d39,10,10.0,10,7.2,10,1,10.0
2019-01-14T00:00:00.000+00:00,12.0,10,1,20,5c3d238e3ae3e800238c326b,20,10.0,4,8.2,4,14,11.857
2019-01-15T00:00:00.000+00:00,9.0,8,4,20,5c3e74a13ae3e800249010fd,14,8.0,4,8.0,4,5,8.8
2019-01-16T00:00:00.000+00:00,6.0,5,4,20,5c3fc61a3ae3e800238f823b,8,5.0,4,9.0,4,7,4.714
2019-01-17T00:00:00.000+00:00,7.0,10,4,20,5c41181b3ae3e8002493a5fa,10,7.0,4,8.8,4,3,8.0
2019-01-18T00:00:00.000+00:00,8.0,8,4,14,5c4269b23ae3e800249562e8,8,8.0,8,8.4,8,1,8.0
2019-01-19T00:00:00.000+00:00,10.0,10,4,10,5c43bb0a3ae3e80024972524,10,10.0,10,8.0,10,4,10.0
2019-01-20T00:00:00.000+00:00,10.0,10,4,10,5c450ca23ae3e80024990b30,10,10.0,10,8.2,10,4,10.0
2019-01-21T00:00:00.000+00:00,11.0,15,7,15,5c465dea3ae3e800249ad15f,15,10.0,7,9.2,7,3,10.667
2019-01-23T00:00:00.000+00:00,10.0,10,7,15,5c49012c3ae3e800249e5870,10,10.0,10,9.8,10,1,10.0
2019-01-25T00:00:00.000+00:00,10.0,10,7,15,5c4ba3ed3ae3e800239f1f48,10,10.0,10,10.2,10,5,10.0
2019-01-26T00:00:00.000+00:00,7.5,5,5,15,5c4cf5973ae3e80023a0ed85,10,6.5,5,9.7,5,23,5.826
2019-01-27T00:00:00.000+00:00,5.0,5,5,10,5c4e471d3ae3e80024a57379,5,5.0,5,8.7,5,2,5.0
2019-01-28T00:00:00.000+00:00,11.0,5,5,17,5c4f98b73ae3e80023a45d69,17,13.5,5,8.7,17,10,12.3
2019-01-30T00:00:00.000+00:00,10.0,10,5,17,5c523b753ae3e80023a7b251,10,10.0,10,8.7,10,4,10.0
2019-01-31T00:00:00.000+00:00,7.0,4,4,17,5c538d0b3ae3e80023a9629c,10,7.0,4,8.1,10,9,8.0
2019-02-01T00:00:00.000+00:00,8.5,7,4,17,5c54deac3ae3e80024ae5dbd,10,10.0,7,8.3,10,14,9.786
2019-02-02T00:00:00.000+00:00,6.0,5,4,10,5c5630363ae3e80023aced40,7,6.0,5,8.5,6,13,5.923
