datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,10.0,10,5,10,5be37d56fb166600220e9b17,10,10.0,10,,10,1,10.0
2018-11-12T00:00:00.000+00:00,6.0,6,5,10,5bea150dfb1666002317fc53,6,6.0,6,7.7,6,15,6.0
2018-11-15T00:00:00.000+00:00,15.0,15,5,15,5bee0985fb166600221949bb,15,15.0,15,8.7,15,1,15.0
2018-11-16T00:00:00.000+00:00,10.0,10,6,15,5bef5b18fb166600221ab0a9,10,10.0,10,9.7,10,1,10.0
2018-11-21T00:00:00.000+00:00,7.0,7,6,15,5bf5f256fb1666002324cc71,7,7.0,7,9.6,7,15,7.0
2018-11-25T00:00:00.000+00:00,9.0,9,7,15,5bfb385cfb166600232aa71a,9,9.0,9,9.4,9,1,9.0
2018-12-04T00:00:00.000+00:00,10.0,10,7,10,5c07156ffb1666002337a8f1,10,10.0,10,10.2,10,4,10.0
2018-12-10T00:00:00.000+00:00,5.0,5,5,10,5c0efe6f3ae3e8002353dafc,5,5.0,5,8.2,5,4,5.0
2018-12-12T00:00:00.000+00:00,5.0,5,5,10,5c11a18e3ae3e80024575b21,5,5.0,5,7.2,5,10,5.0
2018-12-14T00:00:00.000+00:00,9.0,9,5,10,5c14451e3ae3e800245a9582,9,9.0,9,7.6,9,11,9.0
2018-12-15T00:00:00.000+00:00,10.0,5,5,15,5c1595ff3ae3e800245c123d,15,10.0,5,7.8,15,10,11.0
2018-12-16T00:00:00.000+00:00,5.0,5,5,15,5c16e7833ae3e800235cea68,5,5.0,5,6.8,5,18,5.0
2018-12-18T00:00:00.000+00:00,15.0,15,5,15,5c198b333ae3e800235ff7c0,15,15.0,15,8.8,15,10,15.0
2018-12-22T00:00:00.000+00:00,6.0,6,5,15,5c1ed0f73ae3e800236639ec,6,6.0,6,9.0,6,2,6.0
2018-12-26T00:00:00.000+00:00,5.0,5,5,15,5c24168f3ae3e800236c94f4,5,5.0,5,8.2,5,60,5.0
2018-12-27T00:00:00.000+00:00,15.0,15,5,15,5c2568923ae3e800246f8298,15,15.0,15,9.2,15,5,15.0
2019-01-07T00:00:00.000+00:00,10.0,10,5,15,5c33e8fa3ae3e8002380657a,10,10.0,10,10.2,10,1,10.0
2019-01-08T00:00:00.000+00:00,10.0,10,5,15,5c3539fe3ae3e8002381ffe5,10,10.0,10,9.2,10,1,10.0
2019-01-10T00:00:00.000+00:00,10.0,10,10,15,5c37dd763ae3e80023856673,10,10.0,10,10.0,10,2,10.0
2019-01-11T00:00:00.000+00:00,7.5,10,5,10,5c392f243ae3e8002488fa38,10,10.0,5,10.5,10,5,9.0
2019-01-12T00:00:00.000+00:00,10.0,10,5,10,5c3a80a33ae3e800248aca31,10,10.0,10,9.5,10,3,10.0
2019-01-16T00:00:00.000+00:00,10.0,10,5,10,5c3fc5fb3ae3e8002491c7e6,10,10.0,10,9.5,10,4,10.0
2019-01-18T00:00:00.000+00:00,20.0,20,5,20,5c4269803ae3e8002392f1a4,20,20.0,20,11.5,20,1,20.0
2019-02-03T00:00:00.000+00:00,10.0,10,10,20,5c5781163ae3e80024b1d346,10,10.0,10,11.5,10,7,10.0
