datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-12-20T00:00:00.000+00:00,18.0,18,18,18,5c1c2e233ae3e800236315b9,18,18.0,18,,18,1,18.0
2018-12-21T00:00:00.000+00:00,10.0,10,10,18,5c1d7fb73ae3e8002465b862,10,10.0,10,,10,4,10.0
2018-12-22T00:00:00.000+00:00,10.0,10,10,18,5c1ed1213ae3e80023663fce,10,10.0,10,,10,3,10.0
2018-12-23T00:00:00.000+00:00,15.0,10,10,20,5c2022283ae3e8002468f44a,20,12.0,10,,12,4,13.0
2018-12-24T00:00:00.000+00:00,12.5,5,5,20,5c2173963ae3e800246a98b3,20,9.0,5,13.1,10,18,9.5
2018-12-25T00:00:00.000+00:00,17.5,20,5,25,5c22c58b3ae3e800246c3c8f,25,17.5,10,13.0,20,13,16.846
2018-12-26T00:00:00.000+00:00,9.0,8,5,25,5c2416c43ae3e800246dd640,12,9.0,6,12.8,10,10,9.8
2018-12-27T00:00:00.000+00:00,8.5,10,5,25,5c2568b03ae3e800236e42aa,12,10.0,5,12.5,10,10,9.6
2018-12-28T00:00:00.000+00:00,14.5,9,5,25,5c26b9a13ae3e800247123fd,20,15.5,9,12.4,13,6,16.0
2018-12-29T00:00:00.000+00:00,11.0,11,5,20,5c280bbb3ae3e80023718a54,11,11.0,11,12.1,11,4,11.0
2018-12-30T00:00:00.000+00:00,11.0,2,2,20,5c295cc33ae3e80023732778,20,9.0,2,10.8,8,6,8.667
2018-12-31T00:00:00.000+00:00,10.0,10,2,20,5c2aae103ae3e80024763800,10,10.0,10,11.0,10,2,10.0
2019-01-02T00:00:00.000+00:00,10.0,10,2,20,5c2d51b13ae3e800247998c0,10,10.0,10,11.3,10,3,10.0
2019-01-03T00:00:00.000+00:00,9.5,8,2,20,5c2ea33d3ae3e800247b45c5,11,9.5,8,10.3,11,8,9.875
2019-01-04T00:00:00.000+00:00,12.0,10,8,14,5c2ff4b93ae3e800237b58c5,14,12.0,10,10.5,14,6,10.667
2019-01-05T00:00:00.000+00:00,12.0,14,8,14,5c3145a53ae3e800237d01e6,14,12.0,10,10.7,10,3,11.333
2019-01-06T00:00:00.000+00:00,12.5,10,8,15,5c3297a93ae3e800237ec9d0,15,12.5,10,11.2,15,12,12.083
2019-01-07T00:00:00.000+00:00,10.0,10,10,15,5c33e9163ae3e80024822119,10,10.0,10,11.2,10,5,10.0
2019-01-08T00:00:00.000+00:00,9.0,3,3,15,5c353a303ae3e8002483c96e,15,15.0,3,11.1,15,4,12.0
2019-01-09T00:00:00.000+00:00,15.0,15,3,15,5c368c2c3ae3e80024857e3f,15,15.0,15,11.7,15,6,15.0
2019-01-10T00:00:00.000+00:00,15.0,15,3,20,5c37dd9e3ae3e80023856c89,20,15.0,10,12.3,10,8,15.0
2019-01-12T00:00:00.000+00:00,10.0,15,3,20,5c3a80c63ae3e8002388da98,15,10.0,5,11.8,5,3,11.667
2019-01-13T00:00:00.000+00:00,9.0,3,3,20,5c3bd2033ae3e800238a8ccd,15,9.0,3,11.6,15,4,6.0
2019-01-14T00:00:00.000+00:00,12.0,20,3,20,5c3d238b3ae3e800238c3204,20,11.0,4,12.2,7,16,14.312
2019-01-15T00:00:00.000+00:00,6.5,7,3,20,5c3e749e3ae3e8002490108b,8,7.0,5,10.5,5,6,6.5
2019-01-16T00:00:00.000+00:00,9.5,10,3,20,5c3fc6173ae3e800238f81d5,10,10.0,9,9.4,10,7,9.857
2019-01-17T00:00:00.000+00:00,12.0,4,4,20,5c4118193ae3e8002493a591,20,10.0,4,9.8,6,19,13.0
2019-01-18T00:00:00.000+00:00,8.0,8,4,20,5c4269ad3ae3e80024956277,8,8.0,8,9.6,8,7,8.0
2019-01-19T00:00:00.000+00:00,20.0,20,4,20,5c43bb073ae3e800249724a3,20,20.0,20,11.2,20,1,20.0
2019-01-20T00:00:00.000+00:00,10.0,10,4,20,5c450c9f3ae3e80024990ab0,10,10.0,10,11.9,10,1,10.0
2019-01-21T00:00:00.000+00:00,14.5,20,8,20,5c465de73ae3e800249ad0e5,20,18.0,9,12.9,9,3,15.667
2019-01-23T00:00:00.000+00:00,11.0,10,9,20,5c4901293ae3e800249e57f9,12,11.0,10,12.7,11,7,10.714
2019-01-24T00:00:00.000+00:00,10.0,10,9,20,5c4a52723ae3e800239d7208,10,10.0,10,13.1,10,2,10.0
2019-01-25T00:00:00.000+00:00,10.0,10,9,20,5c4ba3e83ae3e800239f1ed7,10,10.0,10,11.1,10,3,10.0
2019-01-26T00:00:00.000+00:00,10.0,10,10,12,5c4cf5943ae3e80023a0ed10,10,10.0,10,11.1,10,1,10.0
2019-01-27T00:00:00.000+00:00,8.0,8,8,10,5c4e471a3ae3e80024a57301,8,8.0,8,9.8,8,1,8.0
2019-01-28T00:00:00.000+00:00,15.0,15,8,15,5c4f98b43ae3e80023a45d02,15,15.0,15,10.6,15,3,15.0
2019-01-31T00:00:00.000+00:00,10.0,10,8,15,5c538d073ae3e80023a96213,10,10.0,10,10.6,10,3,10.0
2019-02-01T00:00:00.000+00:00,5.0,5,5,15,5c54dea83ae3e80024ae5d3b,5,5.0,5,9.6,5,1,5.0
