datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,15.0,10,5,28,5be37d57fb166600220e9b1c,20,15.0,10,,20,20,11.5
2018-11-09T00:00:00.000+00:00,20.0,20,10,28,5be6200dfb16660022111b81,20,20.0,20,16.3,20,1,20.0
2018-11-12T00:00:00.000+00:00,15.0,15,10,28,5bea150dfb1666002317fc57,15,15.0,15,17.3,15,1,15.0
2018-11-13T00:00:00.000+00:00,7.0,7,7,20,5beb6621fb16660023195883,7,7.0,7,16.2,7,9,7.0
2018-11-15T00:00:00.000+00:00,11.0,11,7,20,5bee0985fb166600221949c0,11,11.0,11,13.6,11,11,11.0
2018-11-16T00:00:00.000+00:00,12.0,5,5,19,5bef5b19fb166600221ab0ae,19,11.0,5,13.0,14,30,8.233
2018-11-17T00:00:00.000+00:00,15.0,11,5,19,5bf0ac9afb166600221c27ec,19,15.0,11,12.0,19,23,12.739
2018-11-19T00:00:00.000+00:00,23.0,29,5,29,5bf34f86fb1666002321f04e,29,23.0,17,13.6,17,7,20.429
2018-11-20T00:00:00.000+00:00,15.0,15,5,29,5bf4a0defb1666002220723e,15,15.0,15,15.2,15,16,15.0
2018-11-24T00:00:00.000+00:00,18.0,18,11,29,5bf9e6bcfb16660023292029,18,18.0,18,16.6,18,2,18.0
2018-11-25T00:00:00.000+00:00,15.0,15,15,29,5bfb385cfb166600232aa71e,15,15.0,15,17.2,15,1,15.0
2018-11-27T00:00:00.000+00:00,18.5,19,15,19,5bfddae2fb166600232d81e3,19,18.5,18,17.9,18,14,18.571
2018-11-28T00:00:00.000+00:00,18.0,18,15,19,5bff2c9afb166600222b715b,18,18.0,18,16.9,18,10,18.0
2018-11-29T00:00:00.000+00:00,20.0,20,15,20,5c007e4afb16660023308025,20,20.0,20,17.9,20,2,20.0
2018-11-30T00:00:00.000+00:00,25.0,25,18,25,5c01cfc8fb166600222e20e2,25,25.0,25,19.3,25,5,25.0
2018-12-02T00:00:00.000+00:00,19.0,20,18,25,5c0472d0fb1666002334e864,20,19.0,18,20.1,18,9,18.889
2018-12-09T00:00:00.000+00:00,16.0,16,16,25,5c0dad0e3ae3e8002452b9af,16,16.0,16,19.6,16,1,16.0
2018-12-10T00:00:00.000+00:00,19.0,19,16,25,5c0efe6f3ae3e8002353daff,19,19.0,19,19.8,19,1,19.0
2018-12-14T00:00:00.000+00:00,10.0,10,10,20,5c14451e3ae3e800245a9585,10,10.0,10,17.8,10,5,10.0
2018-12-15T00:00:00.000+00:00,25.0,25,10,25,5c1595ff3ae3e800245c1241,25,25.0,25,17.8,25,1,25.0
2018-12-18T00:00:00.000+00:00,25.0,25,10,25,5c198b333ae3e800235ff7c4,25,25.0,25,19.0,25,3,25.0
2018-12-19T00:00:00.000+00:00,8.0,8,8,25,5c1adbfd3ae3e80023617d1b,8,8.0,8,17.4,8,2,8.0
2018-12-23T00:00:00.000+00:00,11.5,5,5,25,5c20220b3ae3e8002367d20d,18,7.0,5,15.9,7,11,7.091
2018-12-26T00:00:00.000+00:00,10.0,10,5,25,5c24168f3ae3e800236c94f8,10,10.0,10,15.9,10,1,10.0
2018-12-29T00:00:00.000+00:00,18.0,18,5,18,5c280b933ae3e8002472dd7e,18,18.0,18,14.5,18,4,18.0
2018-12-30T00:00:00.000+00:00,20.0,20,5,20,5c295c823ae3e80023731e91,20,20.0,20,13.5,20,10,20.0
2019-01-04T00:00:00.000+00:00,20.0,20,10,20,5c2ff4943ae3e800247cf4fc,20,20.0,20,15.9,20,6,20.0
2019-01-06T00:00:00.000+00:00,15.0,15,15,20,5c3297733ae3e800237ec2d8,15,15.0,15,16.6,15,4,15.0
2019-01-07T00:00:00.000+00:00,10.0,5,5,20,5c33e8fa3ae3e8002380657e,15,10.0,5,16.6,15,33,13.485
2019-01-08T00:00:00.000+00:00,15.5,15,5,20,5c3539fe3ae3e8002381ffe9,16,15.5,15,16.1,16,9,15.444
2019-01-13T00:00:00.000+00:00,15.0,15,5,16,5c3bd1e23ae3e800248c90f4,15,15.0,15,15.1,15,3,15.0
2019-01-17T00:00:00.000+00:00,15.0,15,5,16,5c4117f53ae3e80023913563,15,15.0,15,14.1,15,4,15.0
2019-01-20T00:00:00.000+00:00,9.5,9,9,16,5c450c753ae3e800249903fe,10,9.5,9,13.0,10,5,9.2
2019-01-21T00:00:00.000+00:00,9.0,9,9,15,5c465da73ae3e80023982727,9,9.0,9,12.8,9,3,9.0
2019-01-27T00:00:00.000+00:00,5.0,5,5,15,5c4e46e43ae3e80024a56b57,5,5.0,5,10.7,5,5,5.0
2019-01-28T00:00:00.000+00:00,10.0,10,5,10,5c4f988c3ae3e80023a456e6,10,10.0,10,9.7,10,5,10.0
2019-01-29T00:00:00.000+00:00,10.0,10,5,10,5c50e9d53ae3e80023a60825,10,10.0,10,8.7,10,1,10.0
