datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-09T00:00:00.000+00:00,64.0,64,64,64,5be61f9cfb16660022110f10,64,64.0,64,,64,2,64.0
2018-11-13T00:00:00.000+00:00,60.0,60,60,64,5beb659ffb16660023194c0a,60,60.0,60,,60,1,60.0
2018-11-14T00:00:00.000+00:00,49.0,49,49,64,5becb798fb166600231ab6c6,49,49.0,49,,49,2,49.0
2018-11-16T00:00:00.000+00:00,150.0,150,49,150,5bef5aaafb166600221aa3ae,150,150.0,150,,150,3,150.0
2018-11-22T00:00:00.000+00:00,50.0,50,49,150,5bf74315fb1666002223217f,50,50.0,50,74.6,50,1,50.0
2018-11-24T00:00:00.000+00:00,50.0,50,49,150,5bf9e615fb1666002225ed55,50,50.0,50,71.8,50,2,50.0
2018-11-30T00:00:00.000+00:00,11.0,11,11,150,5c01cf29fb1666002331e6ea,11,11.0,11,62.0,11,1,11.0
2018-12-14T00:00:00.000+00:00,110.0,110,11,110,5c1444a43ae3e8002359b02f,110,110.0,110,74.2,110,3,110.0
2018-12-20T00:00:00.000+00:00,5.0,5,5,110,5c1c2d533ae3e8002362f858,5,5.0,5,45.2,5,5,5.0
2018-12-24T00:00:00.000+00:00,66.0,66,5,110,5c21731b3ae3e800246a8577,66,66.0,66,48.4,66,3,66.0
2018-12-28T00:00:00.000+00:00,150.0,150,5,150,5c26b9163ae3e80024711046,150,150.0,150,68.4,150,2,150.0
2019-01-03T00:00:00.000+00:00,20.0,20,5,150,5c2ea2393ae3e800247b25a9,20,20.0,20,70.2,20,1,20.0
2019-01-07T00:00:00.000+00:00,64.0,64,20,150,5c33e89e3ae3e80023805659,64,64.0,64,61.0,64,1,64.0
2019-01-13T00:00:00.000+00:00,78.0,78,20,150,5c3bd11e3ae3e800248c73d8,78,78.0,78,75.6,78,12,78.0
