datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-12T00:00:00.000+00:00,3.0,3,3,20,5bea150dfb1666002317fc5e,3,3.0,3,,3,5,3.0
2018-11-14T00:00:00.000+00:00,20.0,20,3,20,5becb807fb1666002217f075,20,20.0,20,,20,2,20.0
2018-11-18T00:00:00.000+00:00,5.0,5,3,20,5bf1fe17fb166600221d9f38,5,5.0,5,11.6,5,5,5.0
2018-11-24T00:00:00.000+00:00,13.0,13,3,20,5bf9e6bcfb16660023292032,13,13.0,13,10.2,13,2,13.0
2018-11-29T00:00:00.000+00:00,9.0,9,5,20,5c007e4afb1666002330802e,9,9.0,9,10.0,9,1,9.0
2018-12-04T00:00:00.000+00:00,18.0,18,5,18,5c07156ffb1666002337a8fa,18,18.0,18,13.0,18,7,18.0
2018-12-06T00:00:00.000+00:00,9.0,9,9,18,5c09b8da3ae3e800244e463e,9,9.0,9,10.8,9,5,9.0
2018-12-11T00:00:00.000+00:00,9.0,9,9,18,5c1050353ae3e80023554f1e,9,9.0,9,11.6,9,2,9.0
2018-12-21T00:00:00.000+00:00,5.0,5,5,18,5c1d7f8f3ae3e8002465b30c,5,5.0,5,10.0,5,3,5.0
2018-12-26T00:00:00.000+00:00,20.0,20,5,20,5c24168f3ae3e800236c9500,20,20.0,20,12.2,20,1,20.0
2018-12-28T00:00:00.000+00:00,15.0,15,5,20,5c26b9843ae3e800236fcae8,15,15.0,15,11.6,15,1,15.0
2018-12-29T00:00:00.000+00:00,8.5,9,5,20,5c280b943ae3e8002472dd86,9,8.5,8,11.5,8,6,8.167
2019-01-08T00:00:00.000+00:00,20.0,20,8,20,5c3539fe3ae3e8002381fff0,20,20.0,20,13.7,20,2,20.0
2019-01-09T00:00:00.000+00:00,10.0,10,8,20,5c368c0d3ae3e8002383c363,10,10.0,10,14.7,10,5,10.0
2019-01-11T00:00:00.000+00:00,8.0,8,8,20,5c392f253ae3e8002488fa43,8,8.0,8,12.3,8,1,8.0
2019-01-20T00:00:00.000+00:00,2.0,2,2,20,5c450c753ae3e80024990405,2,2.0,2,9.7,2,2,2.0
2019-01-24T00:00:00.000+00:00,15.0,15,2,15,5c4a523a3ae3e800239d69cb,15,15.0,15,11.0,15,2,15.0
