datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,1.0,1,1,5,5be4cec1fb166600220fe0bd,1,1,1,,1,2,1.0
2018-11-09T00:00:00.000+00:00,10.0,10,1,10,5be6200dfb1666002313a56a,10,10,10,,10,1,10.0
2018-11-11T00:00:00.000+00:00,13.0,13,1,13,5be8c331fb16660023168e07,13,13,13,,13,8,13.0
2018-11-13T00:00:00.000+00:00,15.0,15,1,15,5beb661cfb166600221682de,15,15,15,8.8,15,1,15.0
2018-11-15T00:00:00.000+00:00,4.0,4,4,15,5bee0989fb166600231c2cb8,4,4,4,8.6,4,27,4.0
2018-11-18T00:00:00.000+00:00,10.0,10,4,15,5bf1fe07fb16660023208406,10,10,10,10.4,10,5,10.0
2018-11-19T00:00:00.000+00:00,10.0,10,4,15,5bf34f88fb166600221f07e1,10,10,10,10.4,10,2,10.0
2018-11-22T00:00:00.000+00:00,14.0,14,4,14,5bf74374fb16660022232edb,14,14,14,10.6,14,1,14.0
2018-11-24T00:00:00.000+00:00,3.0,3,3,14,5bf9e6c4fb16660023292176,3,3,3,8.2,3,1,3.0
2018-11-27T00:00:00.000+00:00,9.0,9,3,14,5bfddae3fb166600222a1736,9,9,9,9.2,9,2,9.0
2018-11-30T00:00:00.000+00:00,7.0,7,3,14,5c01cfbbfb1666002331f9ba,7,7,7,8.6,7,10,7.0
2018-12-03T00:00:00.000+00:00,8.0,8,3,9,5c05c44bfb16660023365422,8,8,8,8.2,8,1,8.0
2018-12-08T00:00:00.000+00:00,8.0,8,7,9,5c0c5b7a3ae3e80024512faa,8,8,8,7.0,8,1,8.0
2018-12-11T00:00:00.000+00:00,10.0,10,7,10,5c1050403ae3e80023555079,10,10,10,8.4,10,4,10.0
2018-12-31T00:00:00.000+00:00,5.0,5,5,10,5c2aadf63ae3e800247633ca,5,5,5,7.6,5,4,5.0
2019-01-08T00:00:00.000+00:00,8.0,8,5,10,5c353a073ae3e8002382017b,8,8,8,7.8,8,9,8.0
2019-01-11T00:00:00.000+00:00,15.0,15,5,15,5c392f223ae3e80023871c5b,15,15,15,9.2,15,1,15.0
2019-01-12T00:00:00.000+00:00,10.0,10,5,15,5c3a80a23ae3e8002388d64c,10,10,10,9.6,10,2,10.0
2019-01-19T00:00:00.000+00:00,5.0,5,5,15,5c43bacf3ae3e8002394befc,5,5,5,8.6,5,1,5.0
2019-01-23T00:00:00.000+00:00,5.0,5,5,15,5c49010b3ae3e800249e535c,5,5,5,8.6,5,1,5.0
2019-01-31T00:00:00.000+00:00,7.0,7,5,10,5c538cd53ae3e80023a95ad6,7,7,7,8.4,7,1,7.0
