datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,120.0,140,60,140,5be4ce43fb166600231233ec,140,120.0,100,,100,3,126.667
2018-11-09T00:00:00.000+00:00,42.5,40,40,140,5be61fa4fb1666002313995b,45,42.5,40,,45,2,42.5
2018-11-10T00:00:00.000+00:00,100.0,100,40,140,5be77141fb16660023151416,100,100.0,100,84.5,100,1,100.0
2018-11-12T00:00:00.000+00:00,150.0,150,40,150,5bea143dfb1666002215246c,150,150.0,150,94.5,150,1,150.0
2018-11-15T00:00:00.000+00:00,50.0,50,40,150,5bee08eefb16660022193a0d,50,50.0,50,92.5,50,1,50.0
2018-11-16T00:00:00.000+00:00,39.0,45,33,150,5bef5ab5fb166600231d8f2f,45,39.0,33,76.3,33,2,39.0
2018-11-18T00:00:00.000+00:00,97.5,145,33,150,5bf1fd22fb166600221d8221,145,90.0,50,87.3,90,3,95.0
2018-11-19T00:00:00.000+00:00,35.5,36,33,145,5bf34f2dfb166600221efb57,36,35.5,35,74.4,35,2,35.5
2018-11-20T00:00:00.000+00:00,90.0,100,33,145,5bf4a090fb16660023234e50,100,90.0,80,62.4,80,2,90.0
2018-11-21T00:00:00.000+00:00,55.0,32,32,145,5bf5f1b8fb1666002221c572,78,55.0,32,63.4,78,3,47.333
2018-11-24T00:00:00.000+00:00,40.0,40,32,100,5bf9e62ffb16660023290bc0,40,40.0,40,63.6,40,1,40.0
2018-11-30T00:00:00.000+00:00,30.0,30,30,100,5c01cf38fb166600222e0ca2,30,30.0,30,50.1,30,1,30.0
2018-12-06T00:00:00.000+00:00,32.0,32,30,78,5c09b88d3ae3e800234e3656,32,32.0,32,49.4,32,1,32.0
2018-12-13T00:00:00.000+00:00,35.0,35,30,40,5c12f29d3ae3e80023581aa8,35,35.0,35,38.4,35,1,35.0
2018-12-16T00:00:00.000+00:00,40.0,40,30,40,5c16e7223ae3e800245d9190,40,40.0,40,35.4,40,1,40.0
2018-12-21T00:00:00.000+00:00,55.0,55,32,55,5c1d7f3e3ae3e8002465a6a3,55,55.0,55,38.4,55,1,55.0
2018-12-23T00:00:00.000+00:00,57.5,65,35,65,5c2021a93ae3e8002367c411,65,65.0,50,43.9,65,3,60.0
2018-12-24T00:00:00.000+00:00,72.5,60,40,85,5c2173243ae3e800236965dc,85,72.5,60,52.0,85,2,72.5
2018-12-26T00:00:00.000+00:00,75.0,75,50,85,5c2416253ae3e800246dc061,75,75.0,75,60.0,75,1,75.0
2018-12-27T00:00:00.000+00:00,75.0,75,50,85,5c25682d3ae3e800236e304c,75,75.0,75,67.0,75,1,75.0
2018-12-29T00:00:00.000+00:00,75.0,75,60,85,5c280b333ae3e8002472cf70,75,75.0,75,71.0,75,1,75.0
2018-12-31T00:00:00.000+00:00,90.0,90,75,90,5c2aada13ae3e8002374ac53,90,90.0,90,77.5,90,1,90.0
2019-01-01T00:00:00.000+00:00,75.0,75,75,90,5c2bff843ae3e8002477cd26,75,75.0,75,78.0,75,1,75.0
2019-01-03T00:00:00.000+00:00,70.0,50,50,90,5c2ea25b3ae3e800247b2ac7,90,75.0,50,77.0,90,3,71.667
2019-01-06T00:00:00.000+00:00,75.0,75,50,90,5c3296bf3ae3e8002480461c,75,75.0,75,77.0,75,1,75.0
2019-01-08T00:00:00.000+00:00,100.0,100,50,100,5c3539a23ae3e8002381f17a,100,100.0,100,82.0,100,1,100.0
2019-01-09T00:00:00.000+00:00,90.0,90,50,100,5c368b853ae3e8002383b127,90,90.0,90,82.0,90,1,90.0
2019-01-10T00:00:00.000+00:00,119.0,119,75,119,5c37dcb83ae3e80023854a4b,119,119.0,119,90.8,119,1,119.0
2019-01-13T00:00:00.000+00:00,50.0,50,50,119,5c3bd1243ae3e800238a6c05,50,50.0,50,86.8,50,1,50.0
2019-01-15T00:00:00.000+00:00,70.0,70,50,119,5c3e74243ae3e800248ffcd5,70,70.0,70,85.8,70,1,70.0
2019-01-19T00:00:00.000+00:00,50.0,50,50,119,5c43ba403ae3e800249708c9,50,50.0,50,75.8,50,1,50.0
2019-01-25T00:00:00.000+00:00,85.0,85,50,85,5c4ba32c3ae3e800239f0a6b,85,85.0,85,74.8,85,1,85.0
2019-01-28T00:00:00.000+00:00,100.0,100,50,100,5c4f982c3ae3e80024a72406,100,100.0,100,71.0,100,1,100.0
2019-02-02T00:00:00.000+00:00,89.0,89,50,100,5c562fab3ae3e80023acd731,89,89.0,89,78.8,89,1,89.0
2019-02-03T00:00:00.000+00:00,75.0,75,75,100,5c5780a23ae3e80023ae9e2f,75,75.0,75,79.8,75,1,75.0
