datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,3.5,4,2,5,5be37cfbfb1666002310d1c6,5,4.0,2,3.9,4,20,3.5
2018-11-08T00:00:00.000+00:00,2.5,3,2,5,5be4ce30fb166600231230c5,3,2.0,2,3.5,2,8,2.25
2018-11-09T00:00:00.000+00:00,3.0,2,2,5,5be61f83fb16660023139621,4,3.0,2,3.3,3,9,3.111
2018-11-10T00:00:00.000+00:00,3.0,3,2,5,5be7712ffb166600231510cc,4,3.0,2,3.1,4,18,3.111
2018-11-11T00:00:00.000+00:00,3.5,5,2,5,5be8c281fb1666002213c745,5,4.0,2,3.1,4,23,3.522
2018-11-12T00:00:00.000+00:00,4.0,5,2,5,5bea1422fb1666002215211f,5,4.0,3,3.2,4,12,3.75
2018-11-13T00:00:00.000+00:00,3.0,3,2,5,5beb6583fb1666002216736f,4,3.0,2,3.3,2,14,2.857
2018-11-14T00:00:00.000+00:00,4.0,5,2,5,5becb79ffb1666002217e2f5,5,4.0,3,3.5,4,17,3.765
2018-11-15T00:00:00.000+00:00,4.0,2,2,6,5bee08d8fb166600221936e1,6,4.0,2,3.7,4,30,3.733
2018-11-16T00:00:00.000+00:00,6.0,3,2,10,5bef5a9dfb166600231d8bd5,10,4.0,2,4.2,3,51,3.863
2018-11-17T00:00:00.000+00:00,3.5,5,2,10,5bf0ac20fb166600231f001a,5,4.0,2,4.1,3,39,4.103
2018-11-18T00:00:00.000+00:00,4.5,4,2,10,5bf1fd01fb166600221d7ea2,6,4.0,3,4.4,4,25,4.44
2018-11-19T00:00:00.000+00:00,3.5,3,2,10,5bf34f15fb166600221ef7f0,4,3.0,3,4.3,3,16,3.5
2018-11-20T00:00:00.000+00:00,3.5,3,2,6,5bf4a079fb16660023234afc,5,3.0,2,4.2,3,19,3.368
2018-11-21T00:00:00.000+00:00,3.5,4,2,6,5bf5f1a3fb1666002221c20f,4,4.0,3,3.7,4,7,3.571
2018-11-22T00:00:00.000+00:00,4.0,5,2,5,5bf74301fb1666002326242a,5,4.0,3,3.8,3,14,3.643
2018-11-23T00:00:00.000+00:00,3.5,3,2,5,5bf8949bfb166600222485ec,5,3.0,2,3.6,2,22,3.091
2018-11-24T00:00:00.000+00:00,3.5,3,2,5,5bf9e61cfb16660023290842,5,3.0,2,3.6,3,20,3.0
2018-11-25T00:00:00.000+00:00,3.0,2,2,5,5bfb37dffb166600232a93f4,4,3.0,2,3.5,3,26,3.346
2018-11-26T00:00:00.000+00:00,3.0,3,1,5,5bfc8919fb1666002228b1a9,5,3.0,1,3.4,3,27,3.259
2018-11-27T00:00:00.000+00:00,4.5,3,1,8,5bfdda81fb166600232d7289,8,3.0,1,3.5,2,24,3.375
2018-11-28T00:00:00.000+00:00,3.5,4,1,8,5bff2c01fb166600222b5bef,5,3.0,2,3.5,3,16,3.25
2018-11-29T00:00:00.000+00:00,3.0,3,1,8,5c007de7fb16660023306fae,5,3.0,1,3.4,4,24,3.417
2018-11-30T00:00:00.000+00:00,4.5,4,1,8,5c01cf22fb166600222e0945,6,4.0,3,3.7,4,47,4.043
2018-12-01T00:00:00.000+00:00,4.0,5,1,6,5c0320b8fb1666002333613e,6,4.0,2,3.9,4,51,3.961
2018-12-02T00:00:00.000+00:00,4.0,4,1,6,5c04727ffb1666002334da5a,5,4.0,3,3.8,5,28,3.857
2018-12-03T00:00:00.000+00:00,3.5,4,2,6,5c05c3f3fb16660022323f41,4,3.5,3,3.8,4,9,3.444
2018-12-04T00:00:00.000+00:00,4.0,4,2,6,5c071501fb166600233799f6,5,4.0,3,4.0,5,16,4.25
2018-12-05T00:00:00.000+00:00,3.5,3,3,5,5c086681fb1666002235003b,4,3.0,3,3.8,4,5,3.4
2018-12-06T00:00:00.000+00:00,3.5,2,2,5,5c09b8783ae3e800234e32f4,5,3.5,2,3.7,4,13,3.077
2018-12-07T00:00:00.000+00:00,3.5,4,2,5,5c0b09853ae3e800244f9aac,4,4.0,3,3.6,4,9,3.556
