datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,2.0,2,2,2,5be4ce70fb16660023123a71,2,2.0,2,0,,2,1,2.0
2018-11-17T00:00:00.000+00:00,2.5,2,2,3,5bf0ac45fb166600231f04dd,3,2.5,2,0,,3,3,2.333
2018-11-24T00:00:00.000+00:00,3.0,3,2,3,5bf9e652fb1666002329105a,3,3.0,3,0,,3,1,3.0
2018-11-28T00:00:00.000+00:00,4.0,4,2,4,5bff2c35fb166600222b62a2,4,4.0,4,0,,4,1,4.0
2018-12-02T00:00:00.000+00:00,3.0,3,2,4,5c047299fb1666002334df05,3,3.0,3,0,2.9,3,1,3.0
2018-12-08T00:00:00.000+00:00,2.0,2,2,4,5c0c5b2e3ae3e80024512401,2,2.0,2,0,2.9,2,1,2.0
2018-12-16T00:00:00.000+00:00,2.0,2,2,4,5c16e72c3ae3e800245d92f4,2,2.0,2,0,2.8,2,2,2.0
2019-01-10T00:00:00.000+00:00,5.0,5,2,5,5c37dcde3ae3e80023855167,5,5.0,5,0,3.2,5,1,5.0
2019-01-15T00:00:00.000+00:00,1.0,1,1,5,5c3e742c3ae3e800248ffe6b,1,1.0,1,0,2.6,1,2,1.0
2019-01-24T00:00:00.000+00:00,1.0,1,1,5,5c4a51ac3ae3e800239d5518,1,1.0,1,0,2.2,1,1,1.0
2019-01-26T00:00:00.000+00:00,3.0,3,1,5,5c4cf4ff3ae3e80023a0d92e,3,3.0,3,0,2.4,3,2,3.0
