datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,15.0,15,10,20,5be37d48fb1666002310ddc4,15,15.0,15,0,,15,1,15.0
2018-11-08T00:00:00.000+00:00,9.0,9,9,20,5be4ceaefb166600220fdd6f,9,9.0,9,0,15.1,9,1,9.0
2018-11-09T00:00:00.000+00:00,14.0,14,9,20,5be61ff0fb1666002313a21c,14,14.0,14,0,15.1,14,1,14.0
2018-11-11T00:00:00.000+00:00,12.5,15,9,15,5be8c312fb16660023168927,15,12.0,10,0,13.6,10,3,12.333
2018-11-13T00:00:00.000+00:00,15.0,15,9,15,5beb65fafb16660022167f73,15,15.0,15,0,13.1,15,1,15.0
2018-11-17T00:00:00.000+00:00,10.0,10,10,15,5bf0ac84fb166600231f0ca8,10,10.0,10,0,12.1,10,1,10.0
2018-11-18T00:00:00.000+00:00,20.0,20,10,20,5bf1fdecfb166600221d996b,20,20.0,20,0,14.3,20,2,20.0
2018-11-22T00:00:00.000+00:00,8.0,8,8,20,5bf7435ffb16660022232b62,8,8.0,8,0,13.1,8,1,8.0
2018-11-25T00:00:00.000+00:00,15.0,15,8,20,5bfb384cfb16660022276841,15,15.0,15,0,13.6,15,1,15.0
2018-11-30T00:00:00.000+00:00,15.0,15,8,20,5c01cfa5fb166600222e1b49,15,15.0,15,0,13.6,15,1,15.0
2018-12-01T00:00:00.000+00:00,20.0,20,8,20,5c032125fb16660023337022,20,20.0,20,0,15.6,20,1,20.0
2018-12-05T00:00:00.000+00:00,15.0,15,15,20,5c0866e7fb1666002339002d,15,15.0,15,0,14.6,15,1,15.0
2018-12-06T00:00:00.000+00:00,15.0,15,15,20,5c09b8c73ae3e800234e3f2c,15,15.0,15,0,16.0,15,1,15.0
2018-12-07T00:00:00.000+00:00,11.0,11,11,20,5c0b0a283ae3e800244fb1ea,11,11.0,11,0,15.2,11,1,11.0
2018-12-08T00:00:00.000+00:00,30.0,30,11,30,5c0c5b643ae3e80024512bfe,30,30.0,30,0,18.2,30,1,30.0
2018-12-09T00:00:00.000+00:00,10.5,10,10,30,5c0dace33ae3e8002452b3a9,11,10.5,10,0,16.3,11,2,10.5
2018-12-11T00:00:00.000+00:00,15.0,15,10,30,5c1050223ae3e8002455d009,15,15.0,15,0,16.3,15,1,15.0
2018-12-13T00:00:00.000+00:00,15.0,15,10,30,5c12f30c3ae3e80023582c49,15,15.0,15,0,16.3,15,1,15.0
2018-12-21T00:00:00.000+00:00,12.5,10,10,15,5c1d7f803ae3e8002364ab6c,15,12.5,10,0,16.6,15,2,12.5
2018-12-24T00:00:00.000+00:00,10.0,10,10,15,5c2173643ae3e800246a90a3,10,10.0,10,0,12.6,10,2,10.0
2018-12-27T00:00:00.000+00:00,10.0,10,10,15,5c2568783ae3e800236e3a8d,10,10.0,10,0,12.5,10,1,10.0
2018-12-28T00:00:00.000+00:00,13.0,13,10,15,5c26b96a3ae3e80024711ba9,13,13.0,13,0,12.1,13,1,13.0
2018-12-30T00:00:00.000+00:00,10.0,10,10,13,5c295c683ae3e8002474818f,10,10.0,10,0,11.1,10,1,10.0
2018-12-31T00:00:00.000+00:00,13.0,13,10,13,5c2aade03ae3e80024762fb3,13,13.0,13,0,11.2,13,1,13.0
2019-01-01T00:00:00.000+00:00,20.0,20,20,20,5c2bffe33ae3e8002477d9a8,20,20.0,20,5,,20,1,20.0
2019-01-02T00:00:00.000+00:00,8.0,8,8,13,5c2d51633ae3e800237800ec,8,8.0,8,0,10.8,8,1,8.0
2019-01-03T00:00:00.000+00:00,12.5,10,8,15,5c2ea2d53ae3e80023799d8d,15,12.5,10,0,11.3,15,4,12.5
2019-01-07T00:00:00.000+00:00,12.0,10,8,15,5c33e8e33ae3e800248218b8,14,12.0,10,0,11.1,14,2,12.0
2019-01-09T00:00:00.000+00:00,19.0,19,8,19,5c368bf63ae3e800248575eb,19,19.0,19,0,12.9,19,1,19.0
2019-01-10T00:00:00.000+00:00,10.0,10,10,19,5c37dd5f3ae3e80024873357,10,10.0,10,0,12.3,10,1,10.0
2019-01-11T00:00:00.000+00:00,15.0,15,15,20,5c392f063ae3e80023871814,15,15.0,15,5,,15,1,15.0
2019-01-12T00:00:00.000+00:00,15.0,20,10,20,5c3a808a3ae3e8002388d20d,20,15.0,10,0,13.7,10,2,15.0
2019-01-15T00:00:00.000+00:00,25.0,25,10,25,5c3e74643ae3e800249007cc,25,25.0,25,0,16.2,25,1,25.0
2019-01-19T00:00:00.000+00:00,25.0,25,10,25,5c43bab73ae3e8002394ba96,25,25.0,25,0,18.8,25,1,25.0
2019-01-21T00:00:00.000+00:00,5.0,5,5,25,5c465d863ae3e800249ac390,5,5.0,5,0,16.0,5,1,5.0
2019-01-22T00:00:00.000+00:00,14.5,15,5,25,5c47af403ae3e8002399ec66,15,15.0,14,0,16.9,15,4,14.75
2019-01-24T00:00:00.000+00:00,20.0,20,5,25,5c4a51f23ae3e800249ffe88,20,20.0,20,0,17.9,20,1,20.0
2019-01-30T00:00:00.000+00:00,10.0,10,5,20,5c523af63ae3e80024aab1fd,10,10.0,10,0,14.9,10,1,10.0
2019-01-31T00:00:00.000+00:00,13.0,13,10,20,5c538c9f3ae3e80023a95211,13,13.0,13,0,12.5,13,1,13.0
2019-02-01T00:00:00.000+00:00,12.0,14,10,20,5c54de713ae3e80024ae5492,14,12.0,10,0,13.9,10,2,12.0
2019-02-03T00:00:00.000+00:00,14.0,15,10,15,5c5780f53ae3e80023aeac5a,15,14.0,13,0,13.8,13,2,14.0
