datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,9.5,7,7,12,5be771cafb16660023152a5e,12,9.5,7,,12,3,10.333
2018-11-11T00:00:00.000+00:00,2.0,2,2,12,5be8c345fb1666002213e31f,2,2.0,2,,2,2,2.0
2018-11-12T00:00:00.000+00:00,9.0,9,2,12,5bea1526fb1666002317ff6a,9,9.0,9,,9,2,9.0
2018-11-13T00:00:00.000+00:00,5.5,6,2,12,5beb6630fb166600221684aa,6,5.5,5,,5,12,5.833
2018-11-14T00:00:00.000+00:00,5.5,5,2,9,5becb81efb1666002217f374,6,5.0,5,6.3,5,68,5.235
2018-11-15T00:00:00.000+00:00,5.5,5,5,9,5bee0999fb166600231c2ea7,6,5.0,5,5.5,6,13,5.385
2018-11-16T00:00:00.000+00:00,5.0,5,5,6,5bef5b2bfb166600231d9dad,5,5.0,5,6.1,5,2,5.0
2018-11-17T00:00:00.000+00:00,5.5,5,5,6,5bf0acaffb166600231f121a,6,5.0,5,5.4,6,28,5.286
2018-11-18T00:00:00.000+00:00,4.5,3,3,6,5bf1fe20fb166600221da08f,6,4.5,3,5.2,6,15,5.0
2018-11-19T00:00:00.000+00:00,4.0,4,3,6,5bf34f97fb166600221f09e0,5,4.0,3,4.9,5,96,4.333
2018-11-20T00:00:00.000+00:00,4.5,4,3,6,5bf4a0ebfb16660023235c93,5,4.0,4,4.7,4,90,4.478
2018-11-21T00:00:00.000+00:00,4.0,5,3,6,5bf5f26efb1666002324cfa9,5,4.0,3,4.5,4,115,4.157
2018-11-22T00:00:00.000+00:00,4.5,5,3,5,5bf7438efb16660023263726,5,4.0,4,4.3,4,85,4.059
2018-11-23T00:00:00.000+00:00,4.5,4,3,5,5bf89567fb1666002224a3f2,5,4.0,4,4.3,4,111,4.586
2018-11-24T00:00:00.000+00:00,4.5,5,3,5,5bf9e6dbfb1666002226073d,5,5.0,4,4.4,5,77,4.688
2018-11-25T00:00:00.000+00:00,4.0,4,3,5,5bfb386dfb16660022276da3,5,4.0,3,4.3,5,75,4.24
2018-11-26T00:00:00.000+00:00,4.5,5,3,5,5bfc89dcfb1666002228cdec,5,4.0,4,4.4,4,79,4.253
2018-11-27T00:00:00.000+00:00,3.0,4,2,5,5bfddaeffb166600222a1917,4,4.0,2,4.1,4,46,3.391
2018-11-28T00:00:00.000+00:00,3.5,4,2,5,5bff2ccbfb166600222b77eb,4,4.0,3,3.9,4,56,3.911
2018-11-29T00:00:00.000+00:00,4.0,5,2,5,5c007e54fb166600222ccffc,5,4.0,3,3.8,3,51,3.627
2018-11-30T00:00:00.000+00:00,3.5,4,2,5,5c01cfd1fb166600222e2235,4,4.0,3,3.7,4,55,3.636
2018-12-01T00:00:00.000+00:00,4.0,4,3,5,5c03215cfb16660023337925,4,4.0,4,3.6,4,25,4.0
2018-12-02T00:00:00.000+00:00,2.5,3,1,5,5c0472dffb1666002230fdc8,4,3.0,1,3.5,3,107,3.224
2018-12-03T00:00:00.000+00:00,3.5,3,1,4,5c05c457fb166600233655fe,4,4.0,3,3.5,4,28,3.893
2018-12-04T00:00:00.000+00:00,3.5,3,1,4,5c071579fb1666002233a302,4,4.0,3,3.4,4,28,3.964
2018-12-05T00:00:00.000+00:00,4.0,4,1,4,5c086736fb16660023390b10,4,4.0,4,3.5,4,4,4.0
2018-12-06T00:00:00.000+00:00,3.5,4,3,4,5c09b8e83ae3e800234e4471,4,3.5,3,3.4,3,50,3.4
2018-12-07T00:00:00.000+00:00,3.0,4,2,4,5c0b0a513ae3e800244fb762,4,4.0,2,3.5,4,88,3.659
2018-12-08T00:00:00.000+00:00,4.0,4,2,5,5c0c5b8a3ae3e800245131ba,5,4.0,3,3.6,3,63,3.825
2018-12-09T00:00:00.000+00:00,3.0,3,2,5,5c0dad3b3ae3e800235275e3,4,3.0,2,3.5,3,60,3.217
2018-12-10T00:00:00.000+00:00,3.0,3,2,5,5c0efe7d3ae3e8002454418f,3,3.0,3,3.3,3,23,3.0
2018-12-11T00:00:00.000+00:00,3.5,3,2,5,5c1050833ae3e80023555807,4,3.0,3,3.3,4,29,3.207
2018-12-12T00:00:00.000+00:00,3.0,4,2,4,5c11a1c93ae3e8002356cc71,4,3.0,2,3.3,3,35,3.086
2018-12-13T00:00:00.000+00:00,3.5,3,2,4,5c12f3683ae3e800235839bd,4,3.0,3,3.2,4,26,3.615
2018-12-14T00:00:00.000+00:00,3.5,3,2,4,5c14452b3ae3e8002359c22c,4,3.0,3,3.3,3,20,3.25
2018-12-15T00:00:00.000+00:00,3.5,3,2,4,5c15962c3ae3e800235b5b0e,4,3.5,3,3.4,4,14,3.643
