datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,4.0,4,4,5,5be4ce63fb166600220fd148,4,4.0,4,0,,4,1,4.0
2018-11-20T00:00:00.000+00:00,4.0,4,4,5,5bf4a092fb1666002220672a,4,4.0,4,0,,4,1,4.0
2018-11-25T00:00:00.000+00:00,5.0,5,4,5,5bfb3800fb166600232a9941,5,5.0,5,0,,5,1,5.0
2018-12-06T00:00:00.000+00:00,2.0,2,2,5,5c09b88f3ae3e800244e3ad6,2,2.0,2,0,4.0,2,1,2.0
2018-12-07T00:00:00.000+00:00,5.0,5,2,5,5c0b09c23ae3e800244fa3a3,5,5.0,5,0,4.0,5,1,5.0
2018-12-08T00:00:00.000+00:00,4.0,4,2,5,5c0c5b2a3ae3e8002350f393,4,4.0,4,0,4.0,4,1,4.0
2018-12-10T00:00:00.000+00:00,3.5,3,2,5,5c0efe203ae3e8002353cf2a,4,3.5,3,0,3.9,4,2,3.5
2018-12-21T00:00:00.000+00:00,5.0,5,3,5,5c1d7f333ae3e8002364a059,5,5.0,5,0,3.9,5,1,5.0
2018-12-23T00:00:00.000+00:00,4.0,4,3,5,5c2021af3ae3e8002468e28a,4,4.0,4,0,4.3,4,1,4.0
2018-12-24T00:00:00.000+00:00,5.0,5,3,5,5c21732b3ae3e800246a8732,5,5.0,5,0,4.3,5,1,5.0
2018-12-28T00:00:00.000+00:00,5.0,5,4,5,5c26b9233ae3e8002471120c,5,5.0,5,0,4.5,5,1,5.0
2019-01-03T00:00:00.000+00:00,4.0,4,4,5,5c2ea2683ae3e800247b2d0d,4,4.0,4,0,4.6,4,1,4.0
2019-01-08T00:00:00.000+00:00,4.5,5,4,5,5c3539a83ae3e8002483b41d,5,4.5,4,0,4.5,4,2,4.5
2019-01-19T00:00:00.000+00:00,3.5,3,3,5,5c43ba4e3ae3e8002394a98b,4,3.0,3,0,4.4,4,3,3.333
2019-01-20T00:00:00.000+00:00,5.0,5,3,5,5c450bcd3ae3e800239659ac,5,5.0,5,0,4.4,5,1,5.0
2019-01-29T00:00:00.000+00:00,1.0,1,1,5,5c50e93e3ae3e80023a5f15f,1,1.0,1,0,3.6,1,1,1.0
