datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,14.5,15,14,18,5be37cfafb166600220e8d7a,15,15.0,14,0,15.2,15,3,14.667
2018-11-08T00:00:00.000+00:00,15.0,16,14,18,5be4ce23fb16660023122e8a,16,15.0,14,0,15.2,14,2,15.0
2018-11-10T00:00:00.000+00:00,17.0,17,14,18,5be77132fb16660022126aee,17,17.0,17,0,15.7,17,1,17.0
2018-11-11T00:00:00.000+00:00,18.5,18,14,19,5be8c28bfb166600231676df,19,18.5,18,0,16.6,19,2,18.5
2018-11-12T00:00:00.000+00:00,15.0,20,10,20,5bea140dfb1666002317e24d,20,18.0,10,0,16.0,10,3,16.0
2018-11-13T00:00:00.000+00:00,17.0,14,10,20,5beb6590fb16660023194abd,20,17.0,14,0,16.5,20,2,17.0
2018-11-14T00:00:00.000+00:00,14.5,14,10,20,5becb78dfb166600231ab572,15,14.5,14,0,16.4,15,2,14.5
2018-11-15T00:00:00.000+00:00,16.5,18,10,20,5bee08dafb166600231c1826,18,15.0,15,0,16.3,15,4,15.75
2018-11-16T00:00:00.000+00:00,16.0,15,14,20,5bef5aa0fb166600221aa24f,17,16.0,15,0,15.8,17,2,16.0
2018-11-19T00:00:00.000+00:00,14.0,15,10,18,5bf34f15fb1666002321e204,18,15.0,10,0,15.6,18,3,14.333
2018-11-22T00:00:00.000+00:00,14.5,14,10,18,5bf74309fb16660022232026,15,15.0,14,0,15.1,15,3,14.667
2018-11-23T00:00:00.000+00:00,12.0,10,10,18,5bf89488fb166600222483a3,14,13.0,10,0,14.6,14,3,12.333
2018-11-24T00:00:00.000+00:00,15.0,15,10,18,5bf9e60afb1666002225ebf9,15,15.0,15,0,14.3,15,1,15.0
2018-11-25T00:00:00.000+00:00,14.0,14,10,15,5bfb37cffb166600232a91ab,14,14.0,14,0,13.9,14,1,14.0
2018-11-26T00:00:00.000+00:00,13.0,13,10,15,5bfc8908fb1666002228af6b,13,13.0,13,0,13.7,13,1,13.0
2018-11-28T00:00:00.000+00:00,16.0,16,13,16,5bff2c09fb166600232eedca,16,16.0,16,0,14.0,16,1,16.0
2018-11-30T00:00:00.000+00:00,15.0,20,10,20,5c01cf20fb1666002331e594,20,15.0,10,0,14.6,10,2,15.0
2018-12-01T00:00:00.000+00:00,14.5,15,10,20,5c0320a9fb16660023335eef,15,14.5,14,0,14.5,14,2,14.5
2018-12-02T00:00:00.000+00:00,14.0,14,10,20,5c047272fb1666002230ebf8,14,14.0,14,0,14.5,14,1,14.0
2018-12-04T00:00:00.000+00:00,11.5,13,8,20,5c07150afb16660022339308,15,11.5,8,0,14.2,10,4,11.5
