datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,4.0,3,1,6,5be37d33fb166600220e95d0,5,4.0,3,3.9,4,20,3.85
2018-11-08T00:00:00.000+00:00,3.5,3,1,6,5be4ce84fb166600220fd6d0,5,4.0,2,3.8,5,23,4.0
2018-11-09T00:00:00.000+00:00,2.5,3,1,5,5be61fdffb16660022111627,4,4.0,1,3.5,1,6,3.333
2018-11-10T00:00:00.000+00:00,3.5,4,1,5,5be7718efb166600231520fd,5,4.0,2,3.3,5,13,3.769
2018-11-11T00:00:00.000+00:00,3.5,4,1,5,5be8c2c3fb16660023167f85,5,4.0,2,3.4,5,34,3.794
2018-11-12T00:00:00.000+00:00,5.0,4,1,8,5bea14c8fb1666002317f539,8,4.0,2,3.6,4,24,3.875
2018-11-13T00:00:00.000+00:00,3.0,4,2,8,5beb65e6fb16660023195338,4,3.0,2,3.5,2,17,3.235
2018-11-14T00:00:00.000+00:00,3.5,2,2,8,5becb7d9fb166600231abe86,5,4.0,2,3.7,5,24,3.75
2018-11-15T00:00:00.000+00:00,4.0,4,2,8,5bee0922fb166600231c20c4,5,4.0,3,3.8,3,29,3.69
2018-11-16T00:00:00.000+00:00,3.5,4,2,5,5bef5ae3fb166600221aab1d,4,3.0,3,3.8,4,36,3.361
2018-11-17T00:00:00.000+00:00,4.0,4,2,6,5bf0ac69fb166600221c225e,6,4.0,2,3.6,4,37,3.757
2018-11-18T00:00:00.000+00:00,4.0,5,2,6,5bf1fd9afb166600221d8fe2,5,5.0,3,3.8,4,28,4.25
2018-11-19T00:00:00.000+00:00,3.5,4,2,6,5bf34f59fb1666002321eac7,5,4.0,2,3.8,5,20,3.7
2018-11-20T00:00:00.000+00:00,3.5,4,2,6,5bf4a0b8fb16660022206cec,5,4.0,2,3.7,5,19,3.895
2018-11-21T00:00:00.000+00:00,3.5,4,2,5,5bf5f231fb1666002324c6e9,5,4.0,2,3.7,2,29,3.862
2018-11-22T00:00:00.000+00:00,3.5,2,2,5,5bf7434efb16660023262e26,5,4.0,2,3.6,3,21,3.714
2018-11-23T00:00:00.000+00:00,3.5,3,2,5,5bf894f4fb1666002224946e,5,4.0,2,3.5,5,21,3.81
2018-11-24T00:00:00.000+00:00,4.0,3,2,5,5bf9e673fb1666002225fa81,5,4.0,3,3.6,4,23,3.652
2018-11-25T00:00:00.000+00:00,3.0,2,1,5,5bfb3831fb16660022276474,5,3.0,1,3.5,3,28,2.929
2018-11-26T00:00:00.000+00:00,2.5,2,1,5,5bfc89a2fb1666002228c4fb,3,2.0,2,3.3,2,16,2.5
2018-11-27T00:00:00.000+00:00,3.5,2,1,5,5bfddac0fb166600232d7c6b,5,3.0,2,3.3,3,24,3.125
2018-11-28T00:00:00.000+00:00,3.5,5,1,5,5bff2c46fb166600232ef66a,5,3.0,2,3.3,2,31,3.516
2018-11-29T00:00:00.000+00:00,3.0,2,2,5,5c007e28fb16660023307ab7,4,3.0,2,3.1,4,18,2.833
2018-11-30T00:00:00.000+00:00,3.5,3,2,5,5c01cf8cfb166600222e1784,5,4.0,2,3.2,4,56,3.839
2018-12-01T00:00:00.000+00:00,4.0,4,2,6,5c0320f6fb166600222f7f25,6,4.0,2,3.5,3,32,3.969
2018-12-02T00:00:00.000+00:00,4.0,4,2,6,5c0472a6fb1666002230f4a2,6,4.0,2,3.6,5,45,4.289
2018-12-03T00:00:00.000+00:00,3.0,4,1,6,5c05c420fb16660023364cf9,5,5.0,1,3.5,5,18,3.889
2018-12-04T00:00:00.000+00:00,3.5,5,1,6,5c071547fb1666002337a3ac,5,4.0,2,3.6,5,18,4.056
2018-12-05T00:00:00.000+00:00,4.0,5,1,6,5c0866c3fb16660022350a03,5,4.0,3,3.7,4,14,4.071
2018-12-06T00:00:00.000+00:00,3.5,2,1,5,5c09b8b23ae3e800244e40a8,5,4.0,2,3.6,2,14,3.714
2018-12-07T00:00:00.000+00:00,3.5,4,2,5,5c0b09e63ae3e800244fa9b2,5,4.0,2,3.5,3,26,3.769
2018-12-08T00:00:00.000+00:00,3.0,3,1,5,5c0c5b523ae3e8002350f996,5,3.0,1,3.5,5,17,2.706
2018-12-09T00:00:00.000+00:00,3.5,4,1,5,5c0dacd23ae3e800235269b2,5,4.0,2,3.5,5,27,3.926
2018-12-10T00:00:00.000+00:00,4.0,4,1,5,5c0efe493ae3e8002353d570,5,4.0,3,3.5,3,15,3.933
2018-12-11T00:00:00.000+00:00,3.0,2,1,5,5c104fde3ae3e8002355444e,5,3.0,1,3.4,3,26,2.808
2018-12-12T00:00:00.000+00:00,3.0,3,1,5,5c11a15b3ae3e8002356bd83,5,3.0,1,3.3,4,12,3.25
2018-12-13T00:00:00.000+00:00,4.0,4,1,6,5c12f2da3ae3e8002358241a,6,4.0,2,3.5,5,19,4.158
2018-12-14T00:00:00.000+00:00,4.0,4,1,6,5c1444f83ae3e800245a8fc7,6,4.0,2,3.6,4,62,4.21
2018-12-15T00:00:00.000+00:00,5.0,4,1,7,5c1595d53ae3e800245c0c43,7,5.0,3,3.8,3,74,4.5
2018-12-16T00:00:00.000+00:00,4.5,4,2,7,5c16e7563ae3e800235ce47a,5,5.0,4,4.1,5,37,4.649
2018-12-17T00:00:00.000+00:00,3.5,3,2,7,5c1839403ae3e800245f3aa0,4,3.0,3,4.2,4,9,3.333
2018-12-18T00:00:00.000+00:00,4.0,3,3,7,5c198a8c3ae3e8002460ca01,5,4.0,3,4.2,4,12,3.833
2018-12-19T00:00:00.000+00:00,4.0,5,2,6,5c1adbd03ae3e800236176e5,6,4.0,2,4.2,3,23,3.565
2018-12-20T00:00:00.000+00:00,5.5,4,2,7,5c1c2da43ae3e80024641314,7,5.0,4,4.3,5,10,4.9
2018-12-21T00:00:00.000+00:00,4.0,5,2,7,5c1d7f613ae3e8002364a707,6,4.0,2,4.2,4,26,3.846
2018-12-22T00:00:00.000+00:00,4.0,4,2,7,5c1ed09a3ae3e800246752fa,6,4.0,2,4.3,3,41,3.878
2018-12-23T00:00:00.000+00:00,5.5,4,2,8,5c2021de3ae3e8002367cbc5,8,4.0,3,4.6,5,23,4.696
2018-12-24T00:00:00.000+00:00,3.5,4,2,8,5c2173553ae3e80023696d78,5,4.0,2,4.5,5,33,3.97
2018-12-25T00:00:00.000+00:00,4.0,2,2,8,5c22c4ed3ae3e800246c2848,6,5.0,2,4.2,3,19,4.421
2018-12-26T00:00:00.000+00:00,3.5,4,2,8,5c2416553ae3e800246dc7f7,5,4.0,2,4.1,3,32,4.094
2018-12-27T00:00:00.000+00:00,4.5,5,2,6,5c2568633ae3e800246f7c7c,5,5.0,4,4.2,5,21,4.524
2018-12-28T00:00:00.000+00:00,5.0,5,2,6,5c26b9573ae3e800236fc499,6,5.0,4,4.1,5,41,4.756
2018-12-29T00:00:00.000+00:00,4.5,5,2,6,5c280b693ae3e8002472d728,6,5.0,3,4.3,3,37,4.432
2018-12-30T00:00:00.000+00:00,5.5,5,1,10,5c295c553ae3e80023731832,10,5.0,1,4.6,5,29,5.448
2018-12-31T00:00:00.000+00:00,5.0,4,1,10,5c2aadce3ae3e8002374b407,7,5.0,3,4.9,7,27,5.37
2019-01-01T00:00:00.000+00:00,6.5,9,1,10,5c2bffce3ae3e80023766b3b,10,6.0,3,5.3,10,33,6.485
2019-01-02T00:00:00.000+00:00,5.0,3,1,10,5c2d51143ae3e800247984f1,7,4.5,3,5.3,3,21,4.524
2019-01-03T00:00:00.000+00:00,4.5,4,3,10,5c2ea2983ae3e800247b33f7,6,5.0,3,5.3,4,32,4.469
2019-01-04T00:00:00.000+00:00,5.0,5,3,10,5c2ff4653ae3e800247cee83,6,5.0,4,5.2,5,21,4.952
2019-01-05T00:00:00.000+00:00,5.0,5,3,7,5c3145573ae3e800247e9373,6,5.0,4,5.2,5,19,4.947
2019-01-06T00:00:00.000+00:00,5.0,4,3,7,5c3297233ae3e800237eb7cb,7,5.0,3,4.9,5,25,5.12
2019-01-07T00:00:00.000+00:00,11.5,3,3,20,5c33e8d23ae3e80023805f27,20,9.0,3,6.2,5,25,8.88
2019-01-08T00:00:00.000+00:00,6.5,8,3,20,5c3539d33ae3e8002381f980,10,7.5,3,6.6,3,13,7.0
2019-01-09T00:00:00.000+00:00,8.0,4,3,20,5c368be33ae3e8002383bd27,12,9.0,4,7.2,7,11,8.182
2019-01-10T00:00:00.000+00:00,6.5,8,3,20,5c37dd023ae3e800238557ab,10,7.0,3,7.5,5,26,6.846
2019-01-11T00:00:00.000+00:00,8.0,10,3,12,5c392ef43ae3e8002488f3a2,10,8.0,6,8.1,7,22,8.227
2019-01-12T00:00:00.000+00:00,6.0,5,3,12,5c3a80753ae3e800248ac3a6,8,6.0,4,7.0,5,28,5.929
2019-01-13T00:00:00.000+00:00,5.0,5,3,10,5c3bd1843ae3e800248c839a,7,5.0,3,6.7,5,24,4.958
2019-01-14T00:00:00.000+00:00,5.0,5,3,10,5c3d22f43ae3e800238c1d60,7,5.0,3,6.1,5,19,4.842
2019-01-15T00:00:00.000+00:00,5.0,4,3,8,5c3e74533ae3e800238dc637,7,5.0,3,5.8,6,18,5.0
2019-01-16T00:00:00.000+00:00,4.5,5,3,7,5c3fc5ce3ae3e8002491c15a,6,4.0,3,5.1,4,22,4.227
2019-01-17T00:00:00.000+00:00,3.5,4,2,7,5c4117513ae3e8002493898b,5,4.0,2,4.6,3,20,3.65
2019-01-18T00:00:00.000+00:00,4.0,5,2,7,5c4268fd3ae3e80024954ec6,6,4.0,2,4.4,4,27,3.963
2019-01-19T00:00:00.000+00:00,4.0,5,2,6,5c43ba7c3ae3e8002394b0f7,6,4.0,2,4.2,3,27,4.148
2019-01-20T00:00:00.000+00:00,3.5,3,2,6,5c450c083ae3e8002498f7ce,5,4.0,2,3.9,5,30,3.867
2019-01-21T00:00:00.000+00:00,4.0,5,2,6,5c465d5c3ae3e80023981c8c,6,4.0,2,3.8,5,30,4.267
2019-01-22T00:00:00.000+00:00,4.0,4,2,6,5c47af1f3ae3e8002399e7da,6,4.0,2,3.9,4,27,3.889
2019-01-23T00:00:00.000+00:00,3.5,5,2,6,5c4900e13ae3e800239bb19d,5,4.0,2,3.8,3,21,4.095
2019-01-24T00:00:00.000+00:00,4.0,4,2,6,5c4a51d43ae3e800249ff9d4,6,4.0,2,3.8,6,32,4.438
2019-01-25T00:00:00.000+00:00,5.0,6,2,7,5c4ba3733ae3e80024a1bef4,7,5.0,3,4.1,5,46,4.587
2019-01-26T00:00:00.000+00:00,4.5,5,2,7,5c4cf50f3ae3e80024a38f57,6,5.0,3,4.2,3,27,4.63
2019-01-27T00:00:00.000+00:00,4.0,3,2,7,5c4e46793ae3e80023a29889,6,4.0,2,4.2,5,31,4.032
2019-01-28T00:00:00.000+00:00,4.0,5,2,7,5c4f98563ae3e80023a44ddd,6,4.0,2,4.3,4,19,3.895
2019-01-29T00:00:00.000+00:00,5.0,4,2,7,5c50e97b3ae3e80024a8e71d,7,5.0,3,4.5,4,20,4.65
2019-01-30T00:00:00.000+00:00,3.5,5,2,7,5c523ad43ae3e80023a79db6,5,4.0,2,4.2,3,14,3.714
2019-01-31T00:00:00.000+00:00,4.0,2,2,7,5c538c613ae3e80023a94866,6,4.0,2,4.1,4,35,4.057
2019-02-01T00:00:00.000+00:00,4.0,4,2,7,5c54de443ae3e80023ab1016,5,4.0,3,4.1,4,14,4.143
2019-02-02T00:00:00.000+00:00,4.0,4,2,6,5c562feb3ae3e80024b01252,5,4.0,3,4.1,4,26,3.885
2019-02-03T00:00:00.000+00:00,3.5,3,2,6,5c5780d13ae3e80024b1c854,4,3.5,3,3.8,4,16,3.5
