datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,9.5,10,7,11,5be37d34fb166600220e95f3,11,10.0,8,8.8,10,18,9.5
2018-11-08T00:00:00.000+00:00,9.5,9,7,11,5be4ce85fb166600220fd6f6,10,9.0,9,8.9,10,12,9.417
2018-11-09T00:00:00.000+00:00,8.5,10,5,12,5be61fe0fb1666002211164c,12,10.0,5,8.9,12,24,9.292
2018-11-10T00:00:00.000+00:00,8.5,9,5,12,5be7718ffb1666002315211f,10,9.0,7,8.9,9,27,8.741
2018-11-11T00:00:00.000+00:00,8.5,9,5,12,5be8c2c5fb16660023167faa,10,9.0,7,8.9,8,35,9.286
2018-11-12T00:00:00.000+00:00,8.5,7,5,12,5bea14c9fb1666002317f55d,10,9.0,7,8.7,10,19,8.947
2018-11-13T00:00:00.000+00:00,8.5,8,7,10,5beb65e8fb16660023195360,10,8.0,7,8.5,8,18,8.556
2018-11-14T00:00:00.000+00:00,9.0,8,7,10,5becb7dafb166600231abeac,10,9.0,8,8.6,9,23,9.217
2018-11-15T00:00:00.000+00:00,9.5,9,7,10,5bee0923fb166600231c20ea,10,10.0,9,8.8,10,33,9.576
2018-11-16T00:00:00.000+00:00,8.0,9,6,10,5bef5ae5fb166600221aab43,10,8.0,6,8.7,8,38,8.474
2018-11-17T00:00:00.000+00:00,8.5,9,6,10,5bf0ac6bfb166600221c2282,10,9.0,7,8.7,9,38,8.974
2018-11-18T00:00:00.000+00:00,9.0,8,6,11,5bf1fd9bfb166600221d9007,11,9.0,7,8.8,10,50,9.12
2018-11-19T00:00:00.000+00:00,8.5,10,6,11,5bf34f5bfb1666002321eaef,10,9.0,7,8.7,10,23,9.043
2018-11-20T00:00:00.000+00:00,9.5,10,5,14,5bf4a0b9fb16660022206d0d,14,10.0,5,8.7,9,37,10.027
2018-11-21T00:00:00.000+00:00,9.5,8,5,14,5bf5f232fb1666002324c710,11,10.0,8,9.0,11,26,9.577
2018-11-22T00:00:00.000+00:00,10.0,10,5,14,5bf7434ffb16660023262e44,11,10.0,9,9.3,10,19,10.0
2018-11-23T00:00:00.000+00:00,9.0,14,4,14,5bf894f5fb16660022249498,14,10.0,4,9.3,10,20,9.3
2018-11-24T00:00:00.000+00:00,10.0,10,4,15,5bf9e674fb1666002225faab,15,10.0,5,9.6,10,32,9.594
2018-11-25T00:00:00.000+00:00,10.0,10,4,15,5bfb3832fb1666002227649e,12,10.0,8,9.7,10,28,10.036
2018-11-26T00:00:00.000+00:00,8.5,9,4,15,5bfc89a3fb1666002228c51f,13,10.0,4,9.5,9,28,9.571
2018-11-27T00:00:00.000+00:00,10.0,10,4,15,5bfddac1fb166600232d7c8d,12,10.0,8,9.5,12,21,10.238
2018-11-28T00:00:00.000+00:00,10.5,13,4,15,5bff2c47fb166600232ef690,15,10.0,6,9.8,6,23,10.087
2018-11-29T00:00:00.000+00:00,10.5,8,4,15,5c007e29fb16660023307adb,14,10.0,7,9.9,10,25,10.16
2018-11-30T00:00:00.000+00:00,10.0,8,6,15,5c01cf8dfb166600222e17a8,12,10.0,8,9.9,10,27,9.852
2018-12-01T00:00:00.000+00:00,9.0,10,6,15,5c0320f7fb166600222f7f40,11,9.5,7,10.0,11,28,9.5
2018-12-02T00:00:00.000+00:00,9.5,9,7,14,5c0472a7fb1666002230f4c8,11,9.5,8,9.9,9,27,9.593
2018-12-03T00:00:00.000+00:00,10.0,9,7,12,5c05c421fb16660023364d1b,12,10.0,8,9.8,12,13,10.154
2018-12-04T00:00:00.000+00:00,10.5,9,7,12,5c071548fb1666002337a3d7,12,10.0,9,9.8,10,22,10.136
2018-12-05T00:00:00.000+00:00,10.0,10,8,12,5c0866c4fb16660022350a2a,12,10.0,8,9.8,10,28,10.071
2018-12-06T00:00:00.000+00:00,14.5,9,8,20,5c09b8b33ae3e800244e40cf,20,10.0,9,10.9,12,23,10.522
2018-12-07T00:00:00.000+00:00,10.0,14,5,20,5c0b09e73ae3e800244fa9d4,15,10.0,5,11.0,8,23,10.261
2018-12-08T00:00:00.000+00:00,10.5,10,5,20,5c0c5b543ae3e8002350f9b2,12,10.0,9,11.1,10,20,10.0
2018-12-09T00:00:00.000+00:00,8.5,11,5,20,5c0dacd43ae3e800235269d9,12,10.0,5,10.7,12,23,10.261
2018-12-10T00:00:00.000+00:00,10.0,10,5,15,5c0efe4a3ae3e8002353d594,12,10.0,8,10.7,12,28,9.786
2018-12-11T00:00:00.000+00:00,10.0,9,5,15,5c104fdf3ae3e80023554478,15,10.0,5,9.8,10,18,10.278
2018-12-12T00:00:00.000+00:00,10.0,9,5,15,5c11a15c3ae3e8002356bda6,11,10.0,9,9.8,9,12,9.833
2018-12-13T00:00:00.000+00:00,9.5,8,5,15,5c12f2db3ae3e80023582440,13,10.0,6,9.6,10,22,9.773
2018-12-14T00:00:00.000+00:00,10.0,10,5,15,5c1444f93ae3e800245a8ff0,12,10.0,8,9.9,8,37,9.595
2018-12-15T00:00:00.000+00:00,11.5,9,6,15,5c1595d73ae3e800245c0c6b,15,10.0,8,10.2,10,43,9.791
2018-12-16T00:00:00.000+00:00,10.0,8,6,15,5c16e7583ae3e800235ce4a3,12,10.0,8,10.2,9,33,9.97
2018-12-17T00:00:00.000+00:00,14.0,10,8,20,5c1839413ae3e800245f3ac5,20,10.0,8,11.0,10,40,10.6
2018-12-18T00:00:00.000+00:00,9.0,9,8,20,5c198a8d3ae3e8002460ca26,10,10.0,8,10.9,9,23,9.435
2018-12-19T00:00:00.000+00:00,8.5,9,7,20,5c1adbd13ae3e80023617709,10,9.0,7,10.6,7,30,8.6
2018-12-20T00:00:00.000+00:00,8.0,8,6,20,5c1c2da53ae3e8002464133a,10,8.0,6,9.9,8,28,8.143
2018-12-21T00:00:00.000+00:00,5.0,6,3,10,5c1d7f623ae3e8002364a72c,7,5.0,3,8.9,4,29,4.931
2018-12-22T00:00:00.000+00:00,5.0,4,3,10,5c1ed09b3ae3e8002467531f,7,5.0,3,7.1,5,48,4.792
2018-12-23T00:00:00.000+00:00,6.0,3,3,10,5c2021df3ae3e8002367cbec,9,5.0,3,6.5,6,25,5.36
2018-12-24T00:00:00.000+00:00,6.0,5,3,9,5c2173573ae3e80023696d9d,8,6.0,4,6.0,8,30,5.833
2018-12-25T00:00:00.000+00:00,4.5,5,3,9,5c22c4ee3ae3e800246c286e,6,5.0,3,5.3,3,27,4.556
2018-12-26T00:00:00.000+00:00,5.0,4,3,9,5c2416563ae3e800246dc81d,7,5.0,3,5.3,3,27,4.63
2018-12-27T00:00:00.000+00:00,8.5,3,3,14,5c2568653ae3e800246f7ca1,14,5.0,3,6.0,12,35,5.143
2018-12-28T00:00:00.000+00:00,5.0,5,3,14,5c26b9593ae3e800236fc4c0,7,5.0,3,5.8,5,37,5.27
2018-12-29T00:00:00.000+00:00,5.0,7,3,14,5c280b6a3ae3e8002472d751,7,5.0,3,5.6,5,29,5.207
2018-12-30T00:00:00.000+00:00,5.0,5,3,14,5c295c573ae3e8002373185b,7,5.0,3,5.7,5,36,5.139
2018-12-31T00:00:00.000+00:00,5.0,5,3,7,5c2aadd03ae3e8002374b42d,7,5.0,3,5.7,6,40,5.175
2019-01-01T00:00:00.000+00:00,6.0,7,3,8,5c2bffd03ae3e80023766b63,8,6.0,4,5.2,7,27,5.963
2019-01-02T00:00:00.000+00:00,5.5,5,3,8,5c2d51153ae3e80024798519,7,5.0,4,5.3,5,25,5.48
2019-01-03T00:00:00.000+00:00,5.5,5,2,9,5c2ea29a3ae3e800247b341c,9,5.0,2,5.4,4,36,4.917
2019-01-04T00:00:00.000+00:00,7.5,4,2,12,5c2ff4673ae3e800247ceeaf,12,5.0,3,5.9,5,28,5.357
2019-01-05T00:00:00.000+00:00,4.0,3,2,12,5c3145593ae3e800247e939e,6,4.0,2,5.7,4,33,4.364
