datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,3.0,2,1,4,5be37d35fb166600220e961c,4,3.0,2,2.3,4,3,2.667
2018-11-08T00:00:00.000+00:00,2.0,3,1,4,5be4ce86fb166600220fd722,3,1.0,1,2.1,1,3,1.667
2018-11-09T00:00:00.000+00:00,2.5,3,1,4,5be61fe1fb16660022111675,3,2.5,2,2.2,2,2,2.5
2018-11-10T00:00:00.000+00:00,2.5,3,1,4,5be77190fb1666002315214c,4,2.0,1,2.4,2,8,2.25
2018-11-11T00:00:00.000+00:00,2.0,3,1,4,5be8c2c6fb16660023167fd7,3,2.0,1,2.4,2,6,1.833
2018-11-12T00:00:00.000+00:00,1.5,2,1,4,5bea14cbfb1666002317f589,2,1.5,1,2.1,1,2,1.5
2018-11-13T00:00:00.000+00:00,2.0,2,1,4,5beb65e9fb1666002319538c,2,2.0,2,2.1,2,6,2.0
2018-11-14T00:00:00.000+00:00,1.5,1,1,3,5becb7dcfb166600231abed9,2,1.0,1,1.9,1,4,1.25
2018-11-15T00:00:00.000+00:00,1.5,1,1,2,5bee0924fb166600231c2117,2,2.0,1,1.7,1,7,1.714
2018-11-16T00:00:00.000+00:00,2.5,2,1,3,5bef5ae6fb166600221aab74,3,2.0,2,1.8,2,4,2.25
2018-11-17T00:00:00.000+00:00,2.5,2,1,3,5bf0ac6cfb166600221c22ad,3,2.0,2,2.0,2,7,2.143
2018-11-18T00:00:00.000+00:00,1.5,2,1,3,5bf1fd9cfb166600221d9031,2,1.0,1,1.9,1,4,1.25
2018-11-19T00:00:00.000+00:00,2.0,1,1,3,5bf34f5cfb1666002321eb1e,3,2.0,1,2.0,2,5,1.8
2018-11-20T00:00:00.000+00:00,1.5,2,1,3,5bf4a0bbfb16660022206d3a,2,2.0,1,2.0,2,7,1.857
2018-11-21T00:00:00.000+00:00,2.0,2,1,3,5bf5f233fb1666002324c73f,2,2.0,2,1.9,2,4,2.0
2018-11-22T00:00:00.000+00:00,2.0,1,1,3,5bf74350fb16660023262e71,3,2.0,1,1.8,2,6,1.833
2018-11-23T00:00:00.000+00:00,1.5,1,1,3,5bf894f6fb166600222494cd,2,2.0,1,1.8,2,4,1.75
2018-11-24T00:00:00.000+00:00,1.5,2,1,3,5bf9e675fb1666002225fadd,2,2.0,1,1.7,2,5,1.6
2018-11-25T00:00:00.000+00:00,1.5,2,1,3,5bfb3834fb166600222764cf,2,2.0,1,1.7,1,5,1.6
2018-11-26T00:00:00.000+00:00,1.5,1,1,2,5bfc89a4fb1666002228c548,2,2.0,1,1.6,2,4,1.75
2018-11-27T00:00:00.000+00:00,2.0,1,1,3,5bfddac2fb166600232d7cba,3,2.0,1,1.6,2,6,2.0
