datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-12T00:00:00.000+00:00,85.0,85,85,85,5bea1481fb1666002317ee72,85,85.0,85,10,,85,1,85.0
2018-11-15T00:00:00.000+00:00,90.0,90,85,90,5bee090cfb166600231c1dfc,90,90.0,90,10,,90,1,90.0
2018-11-17T00:00:00.000+00:00,78.0,78,78,90,5bf0ac54fb166600221c1f75,78,78.0,78,10,,78,1,78.0
2018-11-18T00:00:00.000+00:00,97.0,97,78,97,5bf1fd4cfb166600221d8743,97,97.0,97,10,,97,1,97.0
2018-11-22T00:00:00.000+00:00,60.0,60,60,97,5bf7433bfb16660022232620,60,60.0,60,10,82.0,60,1,60.0
2018-11-27T00:00:00.000+00:00,80.0,80,60,97,5bfddab2fb166600222a0ec5,80,80.0,80,10,81.0,80,1,80.0
2018-11-30T00:00:00.000+00:00,70.0,70,60,97,5c01cf65fb1666002331ee87,70,70.0,70,10,77.0,70,1,70.0
2018-12-01T00:00:00.000+00:00,72.5,80,60,80,5c0320e5fb166600222f7c47,80,72.5,65,10,75.9,65,2,72.5
2018-12-02T00:00:00.000+00:00,60.0,60,60,80,5c047296fb1666002230f1cd,60,60.0,60,10,68.5,60,1,60.0
2018-12-03T00:00:00.000+00:00,88.0,88,60,88,5c05c411fb16660023364a34,88,88.0,88,10,74.1,88,1,88.0
2018-12-05T00:00:00.000+00:00,2.0,2,2,2,5c0866b2fb1666002338f90c,2,2.0,2,0,,2,1,2.0
2018-12-06T00:00:00.000+00:00,62.5,65,60,88,5c09b8a23ae3e800244e3de7,65,62.5,60,10,70.6,60,2,62.5
2018-12-11T00:00:00.000+00:00,80.0,80,60,88,5c104fb53ae3e80023553dc5,80,80.0,80,10,72.6,80,1,80.0
2018-12-16T00:00:00.000+00:00,60.0,60,60,88,5c16e7423ae3e800235ce159,60,60.0,60,10,70.1,60,1,60.0
2018-12-19T00:00:00.000+00:00,70.0,70,60,80,5c1adbbb3ae3e800236173c8,70,70.0,70,10,72.1,70,1,70.0
2018-12-20T00:00:00.000+00:00,89.0,89,60,89,5c1c2d763ae3e8002362fd9a,89,89.0,89,10,72.3,89,1,89.0
2018-12-21T00:00:00.000+00:00,80.0,80,60,89,5c1d7f4d3ae3e8002364a3d8,80,80.0,80,10,75.8,80,1,80.0
2018-12-22T00:00:00.000+00:00,72.5,90,55,90,5c1ed0693ae3e80024674be9,90,72.5,55,10,74.3,55,2,72.5
2018-12-24T00:00:00.000+00:00,90.0,90,55,90,5c2173433ae3e800246a8aba,90,90.0,90,10,80.3,90,1,90.0
2018-12-26T00:00:00.000+00:00,80.0,80,55,90,5c2416423ae3e800236c888e,80,80.0,80,10,82.3,80,1,80.0
2018-12-27T00:00:00.000+00:00,70.0,70,55,90,5c25684d3ae3e800246f7933,70,70.0,70,10,78.5,70,1,70.0
2018-12-28T00:00:00.000+00:00,3.0,3,2,3,5c26b9443ae3e8002471159e,3,3.0,3,0,,3,1,3.0
2018-12-29T00:00:00.000+00:00,75.0,80,70,90,5c280b563ae3e80023717be0,80,75.0,70,10,77.5,70,2,75.0
2018-12-30T00:00:00.000+00:00,90.0,90,70,90,5c295c413ae3e800237314e5,90,90.0,90,10,81.0,90,1,90.0
2019-01-04T00:00:00.000+00:00,60.0,60,60,90,5c2ff43f3ae3e800237b47ff,60,60.0,60,10,75.0,60,1,60.0
2019-01-05T00:00:00.000+00:00,79.0,79,60,90,5c3145433ae3e800247e900f,79,79.0,79,10,74.8,79,1,79.0
2019-01-07T00:00:00.000+00:00,3.0,3,2,3,5c33e8bf3ae3e80023805bce,3,3.0,3,0,,3,1,3.0
2019-01-09T00:00:00.000+00:00,90.0,90,60,90,5c368b923ae3e80024856972,90,90.0,90,10,78.8,90,1,90.0
2019-01-14T00:00:00.000+00:00,90.0,90,60,90,5c3d22d33ae3e800248e47d2,90,90.0,90,10,81.8,90,1,90.0
2019-01-19T00:00:00.000+00:00,70.0,70,70,90,5c43ba663ae3e8002394ad64,70,70.0,70,10,77.8,70,1,70.0
2019-01-21T00:00:00.000+00:00,100.0,100,70,100,5c465d483ae3e800249aba8e,100,100.0,100,10,85.8,100,2,100.0
2019-01-22T00:00:00.000+00:00,95.0,95,70,100,5c47aedd3ae3e800249c759a,95,95.0,95,10,89.0,95,1,95.0
2019-01-23T00:00:00.000+00:00,80.0,80,70,100,5c4900cc3ae3e800239bae20,80,80.0,80,10,87.0,80,1,80.0
2019-01-24T00:00:00.000+00:00,92.5,90,80,100,5c4a51c23ae3e800249ff63f,95,92.5,90,10,87.5,95,2,92.5
2019-01-25T00:00:00.000+00:00,95.0,95,80,95,5c4ba3553ae3e80024a1bb7c,95,95.0,95,10,92.5,95,1,95.0
2019-01-26T00:00:00.000+00:00,92.5,95,80,95,5c4cf4e03ae3e80023a0d537,95,95.0,90,10,91.0,90,3,93.333
2019-01-27T00:00:00.000+00:00,95.0,95,90,95,5c4e46443ae3e80024a55439,95,95.0,95,10,91.0,95,1,95.0
