datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,3.5,3,2,6,5be37d41fb166600220e97e9,4,3.0,3,4.3,4,5,3.4
2018-11-08T00:00:00.000+00:00,3.5,3,2,5,5be4ce9dfb166600231240c5,5,3.0,2,3.6,3,9,3.0
2018-11-09T00:00:00.000+00:00,2.0,2,1,5,5be61feefb1666002211184c,3,2.0,1,3.1,2,6,2.0
2018-11-10T00:00:00.000+00:00,2.0,3,1,5,5be7719bfb16660023152332,3,3.0,1,2.8,2,11,2.455
2018-11-11T00:00:00.000+00:00,2.5,3,1,5,5be8c303fb1666002213d996,4,2.0,1,2.7,3,15,2.333
2018-11-12T00:00:00.000+00:00,2.5,4,1,4,5bea14f0fb1666002317f944,4,2.0,1,2.5,1,12,2.5
2018-11-13T00:00:00.000+00:00,3.0,2,1,4,5beb65f8fb1666002319556e,4,3.0,2,2.4,4,13,2.846
2018-11-14T00:00:00.000+00:00,2.5,2,1,4,5becb7e8fb166600231ac0ae,3,2.0,2,2.5,3,9,2.333
2018-11-15T00:00:00.000+00:00,3.5,2,1,5,5bee0957fb1666002219450e,5,3.0,2,2.8,3,26,2.808
2018-11-16T00:00:00.000+00:00,3.5,2,2,5,5bef5af9fb166600221aad66,5,4.0,2,3.0,4,39,3.564
2018-11-17T00:00:00.000+00:00,3.0,4,1,5,5bf0ac7bfb166600221c24a8,5,3.0,1,3.1,3,39,3.308
2018-11-18T00:00:00.000+00:00,3.5,4,1,5,5bf1fdd6fb16660023207f9a,5,4.0,2,3.2,3,36,3.861
2018-11-19T00:00:00.000+00:00,3.5,3,1,5,5bf34f6afb1666002321ed0d,4,3.0,3,3.4,3,5,3.2
2018-11-20T00:00:00.000+00:00,2.5,2,1,5,5bf4a0c6fb16660022206f24,3,3.0,2,3.2,3,3,2.667
2018-11-21T00:00:00.000+00:00,5.0,3,1,9,5bf5f23ffb1666002324c935,9,3.0,1,3.5,3,15,3.4
2018-11-22T00:00:00.000+00:00,2.0,3,1,9,5bf7435efb16660023263064,3,3.0,1,3.3,1,5,2.6
2018-11-23T00:00:00.000+00:00,3.0,2,1,9,5bf8953bfb16660022249d17,4,3.0,2,3.2,4,9,2.778
2018-11-24T00:00:00.000+00:00,3.0,2,1,9,5bf9e683fb1666002225fce2,4,3.0,2,3.1,3,12,2.75
2018-11-25T00:00:00.000+00:00,3.0,3,1,4,5bfb3841fb166600222766c2,4,3.0,2,3.2,4,9,3.0
2018-11-26T00:00:00.000+00:00,3.0,2,2,4,5bfc89affb1666002228c725,4,2.0,2,2.8,3,12,2.5
2018-11-27T00:00:00.000+00:00,2.0,2,1,4,5bfddacefb166600232d7ea9,3,3.0,1,2.8,3,9,2.444
2018-11-28T00:00:00.000+00:00,3.5,3,1,5,5bff2c7efb166600232efdf0,5,3.0,2,2.9,2,22,2.864
2018-11-29T00:00:00.000+00:00,3.0,3,1,5,5c007e34fb16660023307ce1,5,3.0,1,2.9,5,17,3.412
2018-11-30T00:00:00.000+00:00,4.0,3,1,6,5c01cf9bfb166600222e19bd,6,4.0,2,3.1,4,53,4.019
2018-12-01T00:00:00.000+00:00,3.5,4,1,6,5c03211dfb166600222f8538,5,4.0,2,3.2,5,49,3.959
2018-12-02T00:00:00.000+00:00,4.0,5,1,6,5c0472b2fb1666002230f6db,6,4.0,2,3.6,5,34,4.206
2018-12-03T00:00:00.000+00:00,3.5,5,2,6,5c05c42cfb16660023364f25,5,3.0,2,3.6,3,18,2.944
2018-12-04T00:00:00.000+00:00,3.5,5,2,6,5c071557fb1666002337a5d3,5,4.0,2,3.7,5,8,3.875
2018-12-05T00:00:00.000+00:00,3.0,3,1,6,5c0866d1fb16660022350c3d,5,3.0,1,3.5,3,15,3.067
2018-12-06T00:00:00.000+00:00,3.0,2,1,5,5c09b8c43ae3e800244e42f7,5,2.5,1,3.4,4,6,2.833
2018-12-07T00:00:00.000+00:00,4.5,5,1,5,5c0b0a103ae3e800234f991a,5,5.0,4,3.5,4,5,4.6
2018-12-08T00:00:00.000+00:00,3.5,3,1,5,5c0c5b623ae3e8002350fbd8,5,3.0,2,3.5,3,8,3.375
2018-12-09T00:00:00.000+00:00,3.5,3,1,5,5c0dace13ae3e80023526c19,5,2.0,2,3.5,2,15,2.733
2018-12-10T00:00:00.000+00:00,3.5,4,2,5,5c0efe573ae3e8002353d7bf,5,3.0,2,3.6,4,24,3.583
2018-12-11T00:00:00.000+00:00,4.0,3,2,5,5c1050023ae3e800235548fd,5,4.0,3,3.8,3,11,3.727
2018-12-12T00:00:00.000+00:00,3.5,4,2,5,5c11a1693ae3e8002356bfe7,5,4.0,2,3.6,4,14,3.429
2018-12-13T00:00:00.000+00:00,3.0,3,1,5,5c12f3003ae3e80023582a9c,5,3.0,1,3.5,3,22,3.227
2018-12-14T00:00:00.000+00:00,3.5,3,1,5,5c1445063ae3e800245a9229,4,3.0,3,3.5,4,35,3.429
2018-12-15T00:00:00.000+00:00,3.5,4,1,5,5c1595e53ae3e800245c0ebd,5,4.0,2,3.5,4,39,4.282
2018-12-16T00:00:00.000+00:00,5.0,3,1,7,5c16e7683ae3e800235ce6f9,7,4.0,3,3.7,4,27,4.556
2018-12-17T00:00:00.000+00:00,3.5,3,2,7,5c1839683ae3e800245f4167,5,3.0,2,3.7,2,12,3.5
2018-12-18T00:00:00.000+00:00,3.0,2,1,7,5c198b153ae3e800235ff430,5,3.0,1,3.7,5,9,3.0
2018-12-19T00:00:00.000+00:00,3.5,3,1,7,5c1adbe13ae3e80023617964,4,3.0,3,3.7,4,6,3.333
2018-12-20T00:00:00.000+00:00,3.5,3,1,5,5c1c2ddf3ae3e80023630c3b,4,3.0,3,3.7,4,6,3.333
2018-12-21T00:00:00.000+00:00,2.5,3,1,5,5c1d7f723ae3e8002364a9a7,4,3.0,1,3.2,2,10,2.9
2018-12-22T00:00:00.000+00:00,3.5,3,1,4,5c1ed0bf3ae3e80023663199,4,3.0,3,3.2,4,6,3.5
2018-12-23T00:00:00.000+00:00,2.5,3,1,4,5c2021ef3ae3e8002367ce61,3,3.0,2,3.1,3,6,2.5
2018-12-24T00:00:00.000+00:00,2.5,4,1,4,5c2173643ae3e80023696fff,4,3.0,1,2.9,3,13,3.231
2018-12-25T00:00:00.000+00:00,3.0,3,1,5,5c22c5313ae3e800246c308f,5,3.0,1,2.8,3,11,3.273
2018-12-26T00:00:00.000+00:00,2.0,3,1,5,5c2416653ae3e800246dca8d,3,3.0,1,2.7,3,12,2.667
2018-12-27T00:00:00.000+00:00,3.0,4,1,5,5c2568773ae3e800246f7f18,5,3.0,1,2.6,3,29,3.103
2018-12-28T00:00:00.000+00:00,4.0,3,1,6,5c26b9683ae3e800236fc742,6,4.0,2,2.9,5,61,4.016
2018-12-29T00:00:00.000+00:00,3.0,3,1,6,5c280b793ae3e8002472d9de,4,3.0,2,3.0,2,18,3.111
2018-12-30T00:00:00.000+00:00,4.5,4,1,6,5c295c673ae3e80023731adc,6,4.0,3,3.3,5,14,4.143
2018-12-31T00:00:00.000+00:00,3.0,3,1,6,5c2aaddf3ae3e8002374b69c,5,3.0,1,3.5,5,12,3.583
2019-01-01T00:00:00.000+00:00,1.5,2,1,6,5c2bffdf3ae3e80023766e04,2,2.0,1,3.2,2,4,1.75
2019-01-02T00:00:00.000+00:00,3.5,4,1,6,5c2d51553ae3e8002377ff33,5,3.0,2,3.1,3,7,3.714
2019-01-03T00:00:00.000+00:00,3.0,1,1,5,5c2ea2ac3ae3e800247b36a9,5,3.5,1,3.1,5,26,3.346
2019-01-04T00:00:00.000+00:00,2.5,3,1,5,5c2ff4793ae3e800247cf14a,4,3.0,1,2.7,3,10,2.8
