datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,10.0,10,8,13,5be37d65fb166600220e9d35,12,10.0,8,10.2,12,126,10.437
2018-11-08T00:00:00.000+00:00,10.0,10,8,13,5be4cecbfb16660023124760,12,10.0,8,10.2,12,144,10.479
2018-11-09T00:00:00.000+00:00,12.0,14,7,17,5be6201dfb16660022111d9a,17,12.0,7,10.6,14,185,12.33
2018-11-10T00:00:00.000+00:00,13.0,15,7,18,5be771c8fb166600221281ce,18,13.0,8,11.0,15,270,12.889
2018-11-11T00:00:00.000+00:00,13.0,15,7,18,5be8c33cfb1666002213e1a9,18,13.0,8,11.6,10,322,12.907
2018-11-12T00:00:00.000+00:00,14.0,15,7,18,5bea1520fb16660022153c12,16,14.0,12,12.4,13,150,13.933
2018-11-13T00:00:00.000+00:00,14.0,13,8,18,5beb6635fb16660023195a95,16,14.0,12,13.2,15,140,13.943
2018-11-14T00:00:00.000+00:00,13.5,15,8,18,5becb816fb166600231ac67d,17,14.0,10,13.5,13,188,13.16
2018-11-15T00:00:00.000+00:00,13.0,17,8,18,5bee0995fb16660022194bd8,18,13.0,8,13.5,10,205,12.415
2018-11-16T00:00:00.000+00:00,12.0,15,7,18,5bef5b2bfb166600221ab2d2,17,12.0,7,13.3,15,266,12.301
2018-11-17T00:00:00.000+00:00,12.0,13,7,18,5bf0acacfb166600221c2a12,17,12.0,7,12.9,14,263,12.278
2018-11-18T00:00:00.000+00:00,14.0,12,7,18,5bf1fe1bfb166600232086cf,16,14.0,12,12.9,14,212,13.83
2018-11-19T00:00:00.000+00:00,14.0,13,7,17,5bf34f96fb1666002321f268,16,14.0,12,13.0,14,163,14.031
2018-11-20T00:00:00.000+00:00,12.5,10,7,17,5bf4a0ecfb1666002220745e,17,12.0,8,12.9,10,190,11.842
2018-11-21T00:00:00.000+00:00,11.0,10,7,17,5bf5f270fb1666002221dda0,15,12.0,7,12.7,9,192,11.906
2018-11-22T00:00:00.000+00:00,11.0,10,7,17,5bf74385fb166600232635bf,13,10.0,9,12.5,10,127,10.598
2018-11-23T00:00:00.000+00:00,10.0,10,7,17,5bf89565fb1666002327a942,12,10.0,8,11.7,8,139,9.784
2018-11-24T00:00:00.000+00:00,10.0,8,7,15,5bf9e6d7fb16660023292431,12,10.0,8,10.9,10,173,9.659
2018-11-25T00:00:00.000+00:00,10.0,10,8,13,5bfb386afb166600232aa948,12,10.0,8,10.4,10,158,9.633
2018-11-26T00:00:00.000+00:00,10.0,12,8,12,5bfc89dbfb166600232c1952,12,10.0,8,10.2,10,125,9.72
2018-11-27T00:00:00.000+00:00,10.0,10,8,12,5bfddaeffb166600232d83f8,12,10.0,8,10.0,10,137,9.898
2018-11-28T00:00:00.000+00:00,10.0,10,8,12,5bff2cbafb166600232f06d8,12,10.0,8,10.0,8,110,9.7
2018-11-29T00:00:00.000+00:00,10.0,8,8,12,5c007e56fb16660023308237,12,10.0,8,10.0,8,105,9.838
2018-11-30T00:00:00.000+00:00,9.0,7,7,12,5c01cfcefb1666002331fc68,11,9.0,7,9.8,10,147,8.966
2018-12-01T00:00:00.000+00:00,9.0,7,7,12,5c032161fb166600222f8def,11,9.0,7,9.6,10,190,9.0
2018-12-02T00:00:00.000+00:00,9.0,8,7,12,5c0472ddfb1666002334ea85,11,9.0,7,9.4,8,172,9.192
2018-12-03T00:00:00.000+00:00,10.0,10,7,12,5c05c452fb16660022324ef7,12,10.0,8,9.4,10,114,9.614
2018-12-04T00:00:00.000+00:00,9.0,10,7,12,5c07157bfb1666002337ab0f,11,9.0,7,9.2,7,111,9.036
2018-12-05T00:00:00.000+00:00,8.5,8,7,12,5c08672bfb1666002235167a,10,9.0,7,9.1,7,101,9.01
2018-12-06T00:00:00.000+00:00,9.0,8,7,12,5c09b8e93ae3e800244e4852,11,9.0,7,9.1,10,99,8.889
2018-12-07T00:00:00.000+00:00,9.0,9,7,11,5c0b0a533ae3e800234fa15f,11,9.0,7,9.1,10,121,9.008
2018-12-08T00:00:00.000+00:00,9.0,9,7,11,5c0c5b8b3ae3e80023510168,11,9.0,7,8.9,8,150,8.96
2018-12-09T00:00:00.000+00:00,10.0,8,7,12,5c0dad2b3ae3e8002452bdf2,12,10.0,8,9.1,10,151,9.748
2018-12-10T00:00:00.000+00:00,10.0,10,7,12,5c0efe7d3ae3e8002353dd36,12,10.0,8,9.4,9,120,9.892
2018-12-11T00:00:00.000+00:00,10.0,10,5,15,5c10506e3ae3e800235555b8,15,10.0,5,9.6,10,133,10.398
2018-12-12T00:00:00.000+00:00,10.0,8,5,15,5c11a1bf3ae3e8002356cad9,12,10.0,8,9.8,10,103,9.592
2018-12-13T00:00:00.000+00:00,10.0,10,5,15,5c12f3503ae3e800235836a4,12,10.0,8,10.0,9,106,9.623
2018-12-14T00:00:00.000+00:00,9.0,10,5,15,5c14452e3ae3e800245a97cf,11,9.0,7,9.8,10,133,9.226
2018-12-15T00:00:00.000+00:00,9.0,10,7,12,5c15961d3ae3e800245c16a4,11,9.0,7,9.6,8,158,9.184
2018-12-16T00:00:00.000+00:00,9.0,9,7,12,5c16e7933ae3e800235cecc7,11,9.0,7,9.4,8,168,8.75
2018-12-17T00:00:00.000+00:00,10.0,9,7,12,5c1839913ae3e800245f4738,12,10.0,8,9.4,10,115,9.47
2018-12-18T00:00:00.000+00:00,10.0,9,7,12,5c198b483ae3e800235ffa0e,12,10.0,8,9.4,9,102,9.598
2018-12-19T00:00:00.000+00:00,8.5,7,7,12,5c1adc0c3ae3e80023617f83,10,9.0,7,9.3,10,103,8.932
2018-12-20T00:00:00.000+00:00,8.5,9,7,12,5c1c2e183ae3e80024642107,10,9.0,7,9.2,9,113,8.814
2018-12-21T00:00:00.000+00:00,8.0,8,6,12,5c1d7fa13ae3e8002364b05c,10,8.0,6,9.0,7,133,8.316
2018-12-22T00:00:00.000+00:00,8.5,7,6,10,5c1ed1093ae3e80023663c5d,10,9.0,7,8.7,8,149,8.658
2018-12-23T00:00:00.000+00:00,8.0,9,6,10,5c20221c3ae3e8002367d483,10,9.0,6,8.3,9,141,8.539
2018-12-24T00:00:00.000+00:00,8.0,6,6,10,5c21738c3ae3e80023697610,10,8.0,6,8.2,8,112,8.116
2018-12-25T00:00:00.000+00:00,8.0,7,6,10,5c22c57b3ae3e800236b0cbb,10,8.0,6,8.1,8,130,8.131
2018-12-26T00:00:00.000+00:00,7.0,7,5,10,5c2416aa3ae3e800246dd29a,9,7.0,5,7.9,8,119,6.975
2018-12-27T00:00:00.000+00:00,7.0,9,5,10,5c2568a43ae3e800246f850f,9,7.0,5,7.6,9,122,7.09
2018-12-28T00:00:00.000+00:00,8.0,6,5,10,5c26b9943ae3e800236fcd65,10,8.0,6,7.6,7,146,8.021
2018-12-29T00:00:00.000+00:00,8.0,8,5,10,5c280ba83ae3e8002472dff5,10,8.0,6,7.6,7,128,7.875
2018-12-30T00:00:00.000+00:00,7.0,6,5,10,5c295ca83ae3e800237323a4,9,7.0,5,7.4,5,118,6.881
2018-12-31T00:00:00.000+00:00,6.5,8,3,10,5c2aae073ae3e8002374bcc2,10,7.0,3,7.3,7,118,6.958
2019-01-01T00:00:00.000+00:00,7.0,6,3,10,5c2c00063ae3e800237673fe,9,7.0,5,7.3,5,103,6.99
2019-01-02T00:00:00.000+00:00,6.0,5,3,10,5c2d519b3ae3e80023780a11,8,6.0,4,6.9,5,102,6.186
2019-01-03T00:00:00.000+00:00,7.0,7,3,10,5c2ea3223ae3e8002379a88b,9,7.0,5,6.7,8,95,6.884
2019-01-04T00:00:00.000+00:00,7.0,8,4,9,5c2ff4a53ae3e800247cf784,9,7.0,5,6.7,5,111,6.91
2019-01-05T00:00:00.000+00:00,6.0,7,4,9,5c3145993ae3e800247e9cac,8,5.0,4,6.6,5,115,5.809
2019-01-06T00:00:00.000+00:00,5.0,5,3,9,5c3297923ae3e80024806290,7,5.0,3,6.2,5,105,5.362
2019-01-07T00:00:00.000+00:00,5.5,5,3,9,5c33e90a3ae3e800238067fe,7,5.0,4,6.1,5,89,5.596
2019-01-08T00:00:00.000+00:00,6.0,7,3,8,5c353a183ae3e8002483c59a,8,6.0,4,5.9,6,89,6.236
2019-01-09T00:00:00.000+00:00,6.0,5,3,8,5c368c203ae3e8002383c610,8,6.0,4,5.7,7,83,6.205
2019-01-10T00:00:00.000+00:00,6.0,7,4,8,5c37dd8e3ae3e80024873a34,8,5.5,4,5.7,5,87,5.586
2019-01-11T00:00:00.000+00:00,6.0,5,4,8,5c392f383ae3e8002488fcc5,8,6.0,4,5.9,8,109,5.991
2019-01-12T00:00:00.000+00:00,6.0,5,4,8,5c3a80b83ae3e800248accbf,8,6.0,4,6.0,4,125,6.2
2019-01-13T00:00:00.000+00:00,7.0,6,4,9,5c3bd1f03ae3e800248c938d,9,7.0,5,6.2,7,106,6.679
2019-01-14T00:00:00.000+00:00,7.0,5,4,9,5c3d23763ae3e800238c2e36,9,7.0,5,6.4,6,96,6.562
2019-01-15T00:00:00.000+00:00,6.0,5,4,9,5c3e74903ae3e800238dcf4b,8,6.0,4,6.4,5,81,5.901
2019-01-16T00:00:00.000+00:00,6.0,6,4,9,5c3fc60b3ae3e8002491ca87,8,6.0,4,6.4,4,97,5.948
2019-01-17T00:00:00.000+00:00,5.0,7,3,9,5c4118053ae3e800239137e0,7,5.0,3,6.2,7,83,5.157
2019-01-18T00:00:00.000+00:00,9.0,5,3,15,5c4269a23ae3e8002392f581,15,5.0,3,6.6,5,81,5.383
2019-01-19T00:00:00.000+00:00,5.0,6,3,15,5c43baed3ae3e80024972082,7,5.0,3,6.2,7,130,5.162
2019-01-20T00:00:00.000+00:00,5.0,5,3,15,5c450c853ae3e8002499069a,7,5.0,3,6.0,7,91,5.363
2019-01-21T00:00:00.000+00:00,6.0,5,3,15,5c465dcd3ae3e80023982c01,8,6.0,4,6.0,5,105,6.086
2019-01-22T00:00:00.000+00:00,5.0,5,3,8,5c47af8c3ae3e8002399f603,7,5.0,3,6.0,5,92,5.587
2019-01-23T00:00:00.000+00:00,5.0,5,3,8,5c49011c3ae3e800239bbacb,7,5.0,3,5.2,5,75,5.04
2019-01-24T00:00:00.000+00:00,5.0,3,3,8,5c4a524a3ae3e800239d6c65,7,5.0,3,5.2,5,71,5.155
2019-01-25T00:00:00.000+00:00,5.0,5,3,7,5c4ba3d73ae3e80024a1c835,7,5.0,3,5.2,3,89,5.124
2019-01-26T00:00:00.000+00:00,6.0,5,3,8,5c4cf5833ae3e80024a39fb2,8,6.0,4,5.2,6,121,5.959
2019-01-27T00:00:00.000+00:00,6.0,6,3,8,5c4e47003ae3e80023a2ab21,8,6.0,4,5.4,6,112,5.911
2019-01-28T00:00:00.000+00:00,5.0,6,3,8,5c4f989c3ae3e80024a73432,7,5.0,3,5.4,7,76,5.553
2019-01-29T00:00:00.000+00:00,6.0,7,3,8,5c50e9f23ae3e80023a60cd6,8,6.0,4,5.6,5,72,5.819
2019-01-30T00:00:00.000+00:00,9.0,5,3,15,5c523b483ae3e80024aabe36,15,5.0,3,6.4,10,80,5.775
2019-01-31T00:00:00.000+00:00,5.0,5,3,15,5c538cf43ae3e80024ac9430,7,5.0,3,6.2,5,65,5.446
2019-02-01T00:00:00.000+00:00,8.0,8,1,15,5c54de933ae3e80023ab1b3c,15,5.0,1,6.6,5,99,5.465
2019-02-02T00:00:00.000+00:00,9.0,5,1,15,5c5630263ae3e80024b01b95,15,5.0,3,7.4,5,101,5.436
2019-02-03T00:00:00.000+00:00,5.5,5,1,15,5c5781313ae3e80023aeb599,7,5.0,4,7.3,5,93,5.323
