datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,10.0,10,10,18,5be4cec1fb166600231245a2,10,10.0,10,0,,10,1,10.0
2018-11-10T00:00:00.000+00:00,10.0,10,10,18,5be771bdfb1666002212800d,10,10.0,10,0,12.1,10,1,10.0
2018-11-12T00:00:00.000+00:00,11.0,11,10,15,5bea1510fb1666002317fcb1,11,11.0,11,0,12.3,11,1,11.0
2018-11-25T00:00:00.000+00:00,12.5,10,10,15,5bfb385ffb166600232aa777,15,12.5,10,0,11.2,15,2,12.5
2018-12-02T00:00:00.000+00:00,30.0,30,10,30,5c0472d3fb1666002334e8bc,30,30.0,30,0,14.7,30,1,30.0
2018-12-03T00:00:00.000+00:00,15.0,15,10,30,5c05c447fb16660022324d37,15,15.0,15,0,15.7,15,2,15.0
2018-12-05T00:00:00.000+00:00,16.0,17,10,30,5c08670ffb16660023390617,17,16.0,15,0,16.9,15,2,16.0
2018-12-08T00:00:00.000+00:00,19.0,20,15,30,5c0c5b7d3ae3e8002350ff7d,20,20.0,18,0,18.5,20,3,19.333
2018-12-10T00:00:00.000+00:00,20.0,20,15,20,5c0efe713ae3e8002353db59,20,20.0,20,0,20.0,20,1,20.0
2018-12-17T00:00:00.000+00:00,12.0,12,12,20,5c1839853ae3e800245f4545,12,12.0,12,0,16.4,12,2,12.0
2018-12-20T00:00:00.000+00:00,20.0,20,12,20,5c1c2e0a3ae3e80024641f19,20,20.0,20,0,17.4,20,2,20.0
2018-12-21T00:00:00.000+00:00,24.0,24,12,24,5c1d7f913ae3e8002465b366,24,24.0,24,0,19.0,24,2,24.0
2018-12-28T00:00:00.000+00:00,20.0,20,12,24,5c26b9863ae3e800236fcb4a,20,20.0,20,0,19.2,20,2,20.0
2018-12-30T00:00:00.000+00:00,18.0,18,18,24,5c295c853ae3e80023731efc,18,18.0,18,0,18.8,18,1,18.0
2019-01-04T00:00:00.000+00:00,12.0,12,12,24,5c2ff4963ae3e800247cf569,12,12.0,12,0,18.8,12,1,12.0
2019-01-07T00:00:00.000+00:00,13.0,15,11,20,5c33e8fd3ae3e800238065e5,15,13.0,11,0,17.4,11,2,13.0
2019-01-08T00:00:00.000+00:00,13.5,14,11,18,5c353a003ae3e80023820058,15,14.0,12,0,15.3,12,3,13.667
2019-01-10T00:00:00.000+00:00,18.5,20,11,20,5c37dd793ae3e800238566e3,20,18.5,17,0,15.0,17,2,18.5
2019-01-11T00:00:00.000+00:00,15.0,15,11,20,5c392f273ae3e8002488faa9,15,15.0,15,0,14.4,15,1,15.0
2019-01-12T00:00:00.000+00:00,15.0,15,12,20,5c3a80a53ae3e800248acaa1,15,15.0,15,0,15.0,15,1,15.0
2019-01-15T00:00:00.000+00:00,15.0,15,15,20,5c3e74823ae3e800238dcd32,15,15.0,15,0,15.4,15,1,15.0
2019-01-19T00:00:00.000+00:00,17.5,20,15,20,5c43badf3ae3e80024971e47,20,17.5,15,0,16.2,15,2,17.5
2019-01-20T00:00:00.000+00:00,12.0,12,12,20,5c450c783ae3e8002499046b,12,12.0,12,0,14.9,12,1,12.0
2019-01-21T00:00:00.000+00:00,13.0,13,12,20,5c465da93ae3e80023982794,13,13.0,13,0,14.5,13,1,13.0
2019-01-23T00:00:00.000+00:00,20.0,20,12,20,5c49010f3ae3e800239bb895,20,20.0,20,0,15.5,20,1,20.0
2019-01-26T00:00:00.000+00:00,10.0,10,10,20,5c4cf57e3ae3e80023a0e98e,10,10.0,10,0,14.5,10,1,10.0
2019-01-27T00:00:00.000+00:00,19.0,19,10,20,5c4e46e63ae3e80024a56bc9,19,19.0,19,0,14.8,19,1,19.0
2019-02-01T00:00:00.000+00:00,15.0,10,10,20,5c54de853ae3e80023ab191d,20,14.5,10,0,15.4,20,4,14.75
2019-02-02T00:00:00.000+00:00,11.5,10,10,20,5c5630183ae3e80024b01972,13,11.5,10,0,15.1,13,2,11.5
2019-02-03T00:00:00.000+00:00,15.0,15,10,20,5c5781193ae3e80024b1d3ba,15,15.0,15,0,14.1,15,1,15.0
