datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,3.5,5,2,15,5be37d36fb1666002310dad5,5,3.5,2,3,9.9,2,2,3.5
2018-11-07T00:00:00.000+00:00,6.0,4,2,9,5be37d36fb1666002310dad4,9,4.0,3,0,4.3,4,17,4.118
2018-11-08T00:00:00.000+00:00,5.0,5,2,15,5be4ce9dfb166600220fdaa4,5,5.0,5,3,9.2,5,1,5.0
2018-11-08T00:00:00.000+00:00,4.5,5,2,9,5be4ce9dfb166600220fdaa3,5,4.5,4,0,4.3,5,18,4.611
2018-11-09T00:00:00.000+00:00,9.0,10,2,15,5be61fdafb16660023139f2f,10,9.0,8,3,9.0,8,4,9.25
2018-11-09T00:00:00.000+00:00,4.5,5,3,9,5be61fdafb16660023139f2e,5,4.5,4,0,4.5,4,10,4.6
2018-11-10T00:00:00.000+00:00,12.5,15,2,15,5be77192fb16660022127989,15,12.5,10,3,9.0,10,2,12.5
2018-11-10T00:00:00.000+00:00,4.5,5,3,9,5be77192fb16660022127988,6,5.0,3,0,4.7,5,18,4.778
2018-11-11T00:00:00.000+00:00,7.5,5,5,15,5be8c2ecfb1666002213d62e,10,5.0,5,3,7.5,10,4,6.25
2018-11-11T00:00:00.000+00:00,5.0,5,1,9,5be8c2ecfb1666002213d62d,9,4.0,1,0,4.9,1,42,4.452
2018-11-12T00:00:00.000+00:00,4.0,5,1,9,5bea14e7fb16660022153501,5,4.0,3,0,4.5,4,21,4.238
2018-11-13T00:00:00.000+00:00,15.0,15,5,15,5beb65e1fb16660022167c99,15,15.0,15,3,9.8,15,1,15.0
2018-11-13T00:00:00.000+00:00,3.5,5,1,9,5beb65e1fb16660022167c98,5,4.0,2,0,4.3,5,18,4.0
2018-11-14T00:00:00.000+00:00,5.0,5,5,15,5becb7e2fb1666002217ebe8,5,5.0,5,3,9.8,5,2,5.0
2018-11-14T00:00:00.000+00:00,6.5,4,1,10,5becb7e2fb1666002217ebe7,10,5.0,3,0,4.7,5,25,4.92
2018-11-15T00:00:00.000+00:00,9.0,10,5,15,5bee0950fb166600231c25ef,10,10.0,8,3,9.8,8,4,9.5
2018-11-15T00:00:00.000+00:00,6.0,4,2,10,5bee0950fb166600231c25ee,10,4.0,2,0,5.0,4,30,4.333
2018-11-16T00:00:00.000+00:00,4.5,4,2,10,5bef5ae0fb166600231d9521,5,5.0,4,0,4.9,5,24,4.583
2018-11-17T00:00:00.000+00:00,12.0,10,5,15,5bf0ac6afb166600231f09af,14,10.0,10,3,9.7,14,4,11.0
2018-11-17T00:00:00.000+00:00,4.5,4,2,10,5bf0ac6afb166600231f09ae,5,4.0,4,0,5.0,4,25,4.48
2018-11-18T00:00:00.000+00:00,7.0,10,4,14,5bf1fdbefb166600221d9411,10,5.0,4,3,9.6,10,7,6.143
2018-11-18T00:00:00.000+00:00,4.0,4,2,10,5bf1fdbefb166600221d9410,5,4.0,3,0,5.1,4,32,4.25
2018-11-19T00:00:00.000+00:00,9.0,9,4,14,5bf34f59fb166600221f0177,9,9.0,9,3,8.4,9,1,9.0
2018-11-19T00:00:00.000+00:00,4.0,5,3,5,5bf34f59fb166600221f0176,5,4.5,3,0,4.6,4,20,4.35
2018-11-20T00:00:00.000+00:00,11.0,10,4,14,5bf4a0b5fb16660023235448,12,10.0,10,3,9.6,10,5,11.2
2018-11-20T00:00:00.000+00:00,4.5,5,3,5,5bf4a0b5fb16660023235447,5,4.0,4,0,4.3,5,11,4.273
2018-11-21T00:00:00.000+00:00,12.0,14,4,14,5bf5f237fb1666002221d5b9,14,12.0,10,3,10.2,10,2,12.0
2018-11-21T00:00:00.000+00:00,4.0,5,3,5,5bf5f237fb1666002221d5b8,5,5.0,3,0,4.2,4,20,4.65
2018-11-22T00:00:00.000+00:00,3.5,4,2,5,5bf7434afb16660022232863,5,4.0,2,0,4.0,4,14,4.071
2018-11-23T00:00:00.000+00:00,15.0,15,9,15,5bf89539fb1666002327a294,15,15.0,15,3,10.8,15,1,15.0
2018-11-23T00:00:00.000+00:00,5.0,6,2,6,5bf89539fb1666002327a293,6,5.0,4,0,4.2,5,17,4.529
2018-11-24T00:00:00.000+00:00,12.5,10,10,15,5bf9e685fb16660023291789,15,12.0,10,3,11.9,14,4,12.25
2018-11-24T00:00:00.000+00:00,5.0,3,2,7,5bf9e685fb16660023291788,7,4.0,3,0,4.4,4,26,4.269
2018-11-25T00:00:00.000+00:00,9.5,15,4,15,5bfb383efb166600232aa282,15,7.5,4,3,12.0,4,4,8.5
2018-11-25T00:00:00.000+00:00,3.0,4,2,7,5bfb383efb166600232aa281,4,4.0,2,0,4.1,4,17,3.706
2018-11-26T00:00:00.000+00:00,9.0,15,3,15,5bfc89b0fb166600232c129a,15,9.0,3,3,11.6,3,3,11.0
2018-11-26T00:00:00.000+00:00,3.5,4,2,7,5bfc89b0fb166600232c1299,5,4.0,2,0,4.0,4,21,3.952
2018-11-27T00:00:00.000+00:00,13.5,15,3,15,5bfddabefb166600222a10f6,15,13.5,12,3,11.9,12,2,13.5
2018-11-27T00:00:00.000+00:00,4.0,4,2,7,5bfddabefb166600222a10f5,5,4.0,3,0,4.1,3,24,4.167
2018-11-28T00:00:00.000+00:00,10.0,10,3,15,5bff2c6afb166600222b6a7d,10,10.0,10,3,10.9,10,2,10.0
2018-11-28T00:00:00.000+00:00,4.0,4,2,5,5bff2c6afb166600222b6a7c,5,4.0,3,0,3.9,3,20,4.15
2018-11-29T00:00:00.000+00:00,10.0,10,3,15,5c007e26fb166600222cc7e4,10,10.0,10,3,10.4,10,1,10.0
2018-11-29T00:00:00.000+00:00,3.5,5,2,5,5c007e26fb166600222cc7e3,5,5.0,2,0,3.6,5,20,4.2
2018-11-30T00:00:00.000+00:00,5.0,5,5,15,5c01cf89fb1666002331f360,5,5.0,5,3,9.5,5,1,5.0
2018-11-30T00:00:00.000+00:00,4.5,3,2,6,5c01cf89fb1666002331f35f,6,4.0,3,0,3.9,4,23,4.174
2018-12-01T00:00:00.000+00:00,15.0,15,5,20,5c032107fb166600222f81e2,20,15.0,10,3,10.7,20,4,13.75
2018-12-01T00:00:00.000+00:00,4.0,5,2,6,5c032107fb166600222f81e1,5,4.0,3,0,4.0,4,19,4.211
2018-12-02T00:00:00.000+00:00,20.0,20,5,20,5c0472b2fb1666002334e3c2,20,20.0,20,3,12.0,20,1,20.0
2018-12-02T00:00:00.000+00:00,3.5,4,2,6,5c0472b2fb1666002334e3c1,5,4.0,2,0,3.9,4,25,3.84
2018-12-03T00:00:00.000+00:00,14.0,14,5,20,5c05c429fb16660022324866,14,14.0,14,3,12.8,14,2,14.0
2018-12-03T00:00:00.000+00:00,4.0,4,2,6,5c05c429fb16660022324865,5,4.0,3,0,3.9,5,16,4.125
2018-12-04T00:00:00.000+00:00,12.5,10,10,20,5c071543fb16660022339afe,15,12.5,10,3,13.3,15,2,12.5
2018-12-04T00:00:00.000+00:00,4.0,5,2,5,5c071543fb16660022339afd,5,4.0,3,0,4.0,4,18,4.167
2018-12-05T00:00:00.000+00:00,5.5,4,2,8,5c0866d3fb1666002338fd55,8,4.0,3,0,4.2,4,25,4.32
2018-12-06T00:00:00.000+00:00,12.0,12,10,20,5c09b8b03ae3e800234e3c44,12,12.0,12,3,14.7,12,1,12.0
2018-12-06T00:00:00.000+00:00,3.5,2,2,8,5c09b8b03ae3e800234e3c43,5,5.0,2,0,4.1,5,29,3.724
2018-12-07T00:00:00.000+00:00,10.0,15,5,15,5c0b09e93ae3e800234f9376,15,10.0,5,3,13.7,5,2,10.0
2018-12-07T00:00:00.000+00:00,4.0,3,2,8,5c0b09e93ae3e800234f9375,5,4.0,3,0,4.2,3,20,4.15
2018-12-08T00:00:00.000+00:00,8.5,12,5,15,5c0c5b4f3ae3e800245128e6,12,7.5,5,3,11.4,10,4,8.0
2018-12-08T00:00:00.000+00:00,3.5,5,2,8,5c0c5b4f3ae3e800245128e5,5,5.0,2,0,4.1,4,25,4.36
2018-12-09T00:00:00.000+00:00,12.0,10,5,15,5c0dacce3ae3e8002452b08f,14,12.0,10,3,11.0,14,2,12.0
2018-12-09T00:00:00.000+00:00,4.0,5,2,5,5c0dacce3ae3e8002452b08e,5,4.0,3,0,4.1,4,23,4.304
2018-12-10T00:00:00.000+00:00,12.0,12,5,15,5c0efe453ae3e800245438dc,12,12.0,12,3,10.9,12,1,12.0
