datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,14.0,18,10,19,5be37d64fb166600220e9d10,18,14.0,10,0,,10,2,14.0
2018-11-10T00:00:00.000+00:00,12.0,12,10,19,5be771c7fb166600221281a6,12,12.0,12,0,,12,1,12.0
2018-11-14T00:00:00.000+00:00,14.0,14,10,18,5becb815fb166600231ac659,14,14.0,14,0,14.4,14,1,14.0
2018-11-15T00:00:00.000+00:00,14.0,14,10,18,5bee0993fb16660022194bb1,14,14.0,14,0,13.8,14,1,14.0
2018-11-17T00:00:00.000+00:00,14.0,14,12,14,5bf0acabfb166600221c29ed,14,14.0,14,0,13.6,14,4,14.0
2018-11-19T00:00:00.000+00:00,20.0,20,20,20,5bf34f95fb1666002321f246,20,20.0,20,3,,20,2,20.0
2018-11-20T00:00:00.000+00:00,14.0,14,14,14,5bf4a0ebfb16660022207437,14,14.0,14,0,13.6,14,1,14.0
2018-11-21T00:00:00.000+00:00,20.0,20,20,20,5bf5f26ffb1666002221dd78,20,20.0,20,3,,20,1,20.0
2018-11-22T00:00:00.000+00:00,8.0,8,8,14,5bf74384fb16660023263599,8,8.0,8,0,12.8,8,1,8.0
2018-11-25T00:00:00.000+00:00,10.0,10,8,14,5bfb3869fb166600232aa922,10,10.0,10,0,12.0,10,1,10.0
2018-11-26T00:00:00.000+00:00,11.0,11,8,14,5bfc89dafb166600232c192c,11,11.0,11,0,11.4,11,1,11.0
2018-11-27T00:00:00.000+00:00,14.0,14,8,14,5bfddaeefb166600232d83d4,14,14.0,14,0,11.4,14,1,14.0
2018-11-29T00:00:00.000+00:00,8.0,8,8,14,5c007e55fb16660023308216,8,8.0,8,0,10.2,8,1,8.0
2018-11-30T00:00:00.000+00:00,15.0,15,8,15,5c01cfcdfb1666002331fc47,15,15.0,15,0,11.6,15,1,15.0
2018-12-01T00:00:00.000+00:00,14.0,14,8,15,5c032160fb166600222f8dca,14,14.0,14,0,12.4,14,1,14.0
2018-12-02T00:00:00.000+00:00,15.5,17,8,17,5c0472ddfb1666002334ea62,17,15.5,14,0,13.3,14,2,15.5
2018-12-03T00:00:00.000+00:00,15.0,15,14,17,5c05c451fb16660022324ed5,15,15.0,15,0,13.5,15,1,15.0
2018-12-04T00:00:00.000+00:00,14.0,14,14,17,5c07157afb1666002337aaea,14,14.0,14,0,14.7,14,1,14.0
2018-12-05T00:00:00.000+00:00,9.0,9,9,17,5c08672afb16660022351656,9,9.0,9,0,13.5,9,1,9.0
2018-12-06T00:00:00.000+00:00,8.0,8,8,15,5c09b8e83ae3e800244e482c,8,8.0,8,0,12.3,8,1,8.0
2018-12-09T00:00:00.000+00:00,14.0,14,8,14,5c0dad2a3ae3e8002452bdc9,14,14.0,14,0,12.0,14,1,14.0
2018-12-11T00:00:00.000+00:00,13.5,15,8,15,5c10506d3ae3e8002355558c,15,13.5,12,0,11.7,12,2,13.5
2018-12-19T00:00:00.000+00:00,14.5,14,8,15,5c1adc0b3ae3e80023617f59,15,14.5,14,0,11.8,15,3,14.667
2018-12-20T00:00:00.000+00:00,14.0,14,12,15,5c1c2e173ae3e800246420db,14,14.0,14,0,12.8,14,1,14.0
2018-12-21T00:00:00.000+00:00,15.0,15,12,15,5c1d7fa03ae3e8002364b032,15,15.0,15,0,14.2,15,2,15.0
2018-12-22T00:00:00.000+00:00,17.0,17,14,17,5c1ed1073ae3e80023663c34,17,17.0,17,0,14.8,17,2,17.0
2018-12-27T00:00:00.000+00:00,11.0,12,10,17,5c2568a33ae3e800246f84e1,12,11.0,10,0,14.3,10,2,11.0
