datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,4.0,4,3,5,5be37d06fb1666002310d32e,5,4.0,3,0,4.2,3,4,4.0
2018-11-08T00:00:00.000+00:00,4.0,4,3,5,5be4ce37fb16660023123225,5,4.0,3,0,4.1,3,6,3.833
2018-11-09T00:00:00.000+00:00,9.0,9,9,20,5be61f96fb1666002313978d,9,9.0,9,5,,9,1,9.0
2018-11-09T00:00:00.000+00:00,4.0,4,3,5,5be61f96fb1666002313978c,5,4.0,3,0,4.2,4,5,4.2
2018-11-10T00:00:00.000+00:00,9.0,9,9,20,5be77137fb16660023151238,9,9.0,9,5,13.2,9,1,9.0
2018-11-10T00:00:00.000+00:00,3.5,4,3,5,5be77137fb16660023151237,4,3.5,3,0,4.0,3,6,3.5
2018-11-11T00:00:00.000+00:00,9.0,9,9,9,5be8c290fb1666002213c8b3,9,9.0,9,5,11.2,9,2,9.0
2018-11-11T00:00:00.000+00:00,4.0,4,3,5,5be8c290fb1666002213c8b2,5,4.0,3,0,3.9,3,17,4.0
2018-11-12T00:00:00.000+00:00,4.0,4,3,5,5bea142efb1666002215228c,5,4.0,3,0,3.9,4,8,4.25
2018-11-13T00:00:00.000+00:00,5.0,5,3,5,5beb6597fb166600221674ce,5,5.0,5,0,4.1,5,2,5.0
2018-11-14T00:00:00.000+00:00,4.5,4,3,5,5becb7a8fb1666002217e44c,5,5.0,4,0,4.2,5,6,4.5
2018-11-15T00:00:00.000+00:00,4.0,4,3,5,5bee08e1fb16660022193842,5,5.0,3,0,4.3,4,14,4.571
2018-11-16T00:00:00.000+00:00,4.5,4,3,5,5bef5aa6fb166600231d8d46,5,4.0,4,0,4.4,4,10,4.5
2018-11-17T00:00:00.000+00:00,4.0,4,3,5,5bf0ac2cfb166600231f018d,5,4.0,3,0,4.4,4,10,4.1
2018-11-18T00:00:00.000+00:00,4.5,5,3,5,5bf1fd15fb166600221d8024,5,4.5,4,0,4.3,5,13,4.538
