datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-12-20T00:00:00.000+00:00,90.0,90,90,90,5c1c2e223ae3e800246422a4,90,90.0,90,0,,90,1,90.0
2018-12-21T00:00:00.000+00:00,90.0,80,80,100,5c1d7fad3ae3e8002364b202,100,86.0,80,3,,86,3,88.667
2018-12-21T00:00:00.000+00:00,87.5,75,75,100,5c1d7fad3ae3e8002364b201,100,85.0,75,0,,78,11,84.091
2018-12-22T00:00:00.000+00:00,65.0,65,65,100,5c1ed1243ae3e8002467635a,65,65.0,65,3,,65,1,65.0
2018-12-22T00:00:00.000+00:00,69.5,76,49,100,5c1ed1243ae3e80024676359,90,70.0,49,0,,49,24,68.5
2018-12-23T00:00:00.000+00:00,47.5,25,25,100,5c2022283ae3e8002367d626,70,35.0,25,3,,35,3,43.333
2018-12-23T00:00:00.000+00:00,37.5,50,25,100,5c2022283ae3e8002367d625,50,39.5,25,0,,44,30,38.067
2018-12-24T00:00:00.000+00:00,57.5,50,25,100,5c2173993ae3e800246a9918,75,45.0,40,3,,75,4,51.25
2018-12-24T00:00:00.000+00:00,37.5,50,25,100,5c2173993ae3e800246a9917,50,39.0,25,0,64.4,30,31,38.484
2018-12-25T00:00:00.000+00:00,90.0,90,25,90,5c22c58e3ae3e800246c3cee,90,90.0,90,3,70.0,90,1,90.0
2018-12-25T00:00:00.000+00:00,37.5,25,25,90,5c22c58e3ae3e800246c3ced,50,39.0,25,0,53.9,35,23,37.435
2018-12-26T00:00:00.000+00:00,55.0,55,25,90,5c2416ca3ae3e800236c9c0b,55,55.0,55,3,63.0,55,1,55.0
2018-12-26T00:00:00.000+00:00,55.0,50,25,60,5c2416ca3ae3e800236c9c0a,60,58.5,50,0,47.4,60,15,57.067
2018-12-27T00:00:00.000+00:00,50.0,50,40,90,5c2568b03ae3e800246f86a9,50,50.0,50,3,60.0,50,2,50.0
2018-12-27T00:00:00.000+00:00,47.0,45,25,60,5c2568b03ae3e800246f86a8,59,47.5,35,0,42.9,50,14,46.929
