datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,10.0,10,10,10,5be37d23fb1666002310d799,10,10.0,10,5,,10,1,10.0
2018-11-10T00:00:00.000+00:00,2.0,2,1,2,5be77174fb166600221274ef,2,2.0,2,0,,2,1,2.0
2018-11-11T00:00:00.000+00:00,2.0,2,1,2,5be8c2bcfb1666002213cf7f,2,2.0,2,0,,2,1,2.0
2018-11-17T00:00:00.000+00:00,2.0,2,1,2,5bf0ac51fb166600231f064d,2,2.0,2,0,,2,1,2.0
2018-11-19T00:00:00.000+00:00,1.5,1,1,2,5bf34f41fb166600221efe20,2,1.5,1,0,1.7,2,2,1.5
2018-11-22T00:00:00.000+00:00,2.0,2,1,2,5bf74332fb16660023262a45,2,2.0,2,0,1.9,2,1,2.0
2018-11-23T00:00:00.000+00:00,1.0,1,1,2,5bf894ddfb1666002224908b,1,1.0,1,0,1.7,1,1,1.0
2018-11-24T00:00:00.000+00:00,2.0,2,1,2,5bf9e65bfb166600232911ca,2,2.0,2,0,1.7,2,1,2.0
2018-11-25T00:00:00.000+00:00,3.0,3,1,3,5bfb3828fb166600232a9f3e,3,3.0,3,0,1.9,3,1,3.0
2018-11-27T00:00:00.000+00:00,10.0,10,10,10,5bfddaa9fb166600232d7888,10,10.0,10,5,,10,1,10.0
2018-11-29T00:00:00.000+00:00,2.0,2,1,3,5c007e12fb166600222cc49d,2,2.0,2,0,2.0,2,1,2.0
2018-11-30T00:00:00.000+00:00,1.0,1,1,3,5c01cf71fb166600222e13aa,1,1.0,1,0,1.8,1,1,1.0
2018-12-07T00:00:00.000+00:00,10.0,10,10,10,5c0b09d33ae3e800234f901a,10,10.0,10,5,,10,1,10.0
2018-12-07T00:00:00.000+00:00,1.0,1,1,3,5c0b09d33ae3e800234f9019,1,1.0,1,0,1.8,1,1,1.0
2018-12-09T00:00:00.000+00:00,2.0,2,1,2,5c0dacb63ae3e80023526589,2,2.0,2,0,1.8,2,1,2.0
2018-12-13T00:00:00.000+00:00,2.0,2,1,2,5c12f2c13ae3e80023581ff5,2,2.0,2,0,1.6,2,11,2.0
2018-12-14T00:00:00.000+00:00,2.0,2,1,2,5c1444dd3ae3e800245a8b9b,2,2.0,2,0,1.6,2,2,2.0
2018-12-19T00:00:00.000+00:00,2.0,2,2,2,5c1adbb33ae3e80024625b3d,2,2.0,2,0,1.8,2,1,2.0
2018-12-21T00:00:00.000+00:00,3.0,3,2,3,5c1d7f523ae3e8002465a9dd,3,3.0,3,0,2.2,3,1,3.0
2018-12-22T00:00:00.000+00:00,3.0,3,2,3,5c1ed07c3ae3e80024674e88,3,3.0,3,0,2.4,3,1,3.0
2018-12-30T00:00:00.000+00:00,5.0,5,5,10,5c295c373ae3e80024747a4f,5,5.0,5,5,,5,1,5.0
2018-12-30T00:00:00.000+00:00,2.0,1,1,3,5c295c373ae3e80024747a4e,3,1.0,1,0,2.4,3,3,1.667
2018-12-31T00:00:00.000+00:00,1.5,1,1,3,5c2aadb33ae3e8002374af8a,2,1.5,1,0,2.3,2,2,1.5
2019-01-03T00:00:00.000+00:00,9.0,9,5,10,5c2ea28c3ae3e800237994bd,9,9.0,9,5,8.8,9,2,9.0
2019-01-07T00:00:00.000+00:00,2.0,2,1,3,5c33e8b83ae3e80024821144,2,2.0,2,0,2.3,2,1,2.0
2019-01-08T00:00:00.000+00:00,1.5,2,1,3,5c3539b63ae3e8002381f4e0,2,1.5,1,0,2.0,1,2,1.5
