datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,12.0,12,10,14,5be37d3dfb166600220e9744,12,12.0,12,11.7,12,1,12.0
2018-11-08T00:00:00.000+00:00,10.0,10,10,14,5be4ce99fb1666002312401d,10,10.0,10,11.4,10,1,10.0
2018-11-09T00:00:00.000+00:00,11.5,11,10,14,5be61feafb166600221117a8,12,11.5,11,11.4,12,2,11.5
2018-11-10T00:00:00.000+00:00,12.0,11,10,13,5be77197fb1666002315227e,13,12.0,11,11.5,13,2,12.0
2018-11-11T00:00:00.000+00:00,10.0,10,10,13,5be8c2fffb1666002213d8df,10,10.0,10,11.1,10,2,10.0
2018-11-12T00:00:00.000+00:00,10.0,10,10,13,5bea14ecfb1666002317f896,10,10.0,10,10.7,10,3,10.0
2018-11-13T00:00:00.000+00:00,9.0,10,8,13,5beb65f3fb166600231954c0,10,10.0,8,10.5,10,4,9.5
2018-11-14T00:00:00.000+00:00,9.0,10,8,10,5becb7e4fb166600231ac006,10,10.0,8,10.0,9,5,9.4
2018-11-15T00:00:00.000+00:00,10.5,10,8,11,5bee0952fb1666002219445f,11,10.5,10,9.7,11,2,10.5
2018-11-16T00:00:00.000+00:00,11.0,11,8,11,5bef5af2fb166600221aacb8,11,11.0,11,9.9,11,1,11.0
2018-11-17T00:00:00.000+00:00,10.0,10,8,11,5bf0ac76fb166600221c23ec,10,10.0,10,9.9,10,2,10.0
2018-11-18T00:00:00.000+00:00,11.0,11,8,14,5bf1fdd1fb16660023207eec,14,11.5,8,10.3,14,4,11.25
2018-11-19T00:00:00.000+00:00,9.5,10,8,14,5bf34f66fb1666002321ec63,10,10.0,9,10.4,10,4,9.75
2018-11-20T00:00:00.000+00:00,10.5,10,8,14,5bf4a0c2fb16660022206e81,11,10.5,10,10.4,10,4,10.5
2018-11-21T00:00:00.000+00:00,7.5,5,5,14,5bf5f23bfb1666002324c887,10,10.0,5,9.7,10,5,9.0
2018-11-22T00:00:00.000+00:00,10.0,11,5,11,5bf74359fb16660023262faf,11,10.0,9,9.7,10,6,10.0
