datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,73.0,73,30,73,5be77199fb166600231522e4,73,73.0,73,,73,1,73.0
2018-11-11T00:00:00.000+00:00,55.0,55,30,73,5be8c301fb1666002213d94a,55,55.0,55,53.9,55,1,55.0
2018-11-12T00:00:00.000+00:00,36.0,36,30,73,5bea14eefb1666002317f8ff,36,36.0,36,49.1,36,1,36.0
2018-11-13T00:00:00.000+00:00,35.0,35,35,73,5beb65f6fb16660023195524,35,35.0,35,50.1,35,1,35.0
2018-11-15T00:00:00.000+00:00,40.0,40,35,55,5bee0955fb166600221944c4,40,40.0,40,47.8,40,1,40.0
2018-11-18T00:00:00.000+00:00,61.5,69,35,69,5bf1fdd4fb16660023207f53,69,61.5,54,45.5,54,2,61.5
2018-11-21T00:00:00.000+00:00,45.0,45,35,69,5bf5f23dfb1666002324c8eb,45,45.0,45,43.5,45,2,45.0
2018-11-22T00:00:00.000+00:00,45.0,45,40,69,5bf7435cfb16660023263015,45,45.0,45,45.3,45,1,45.0
2018-11-24T00:00:00.000+00:00,40.0,40,40,69,5bf9e682fb1666002225fc97,40,40.0,40,46.3,40,1,40.0
2018-11-29T00:00:00.000+00:00,50.0,50,40,50,5c007e33fb16660023307c97,50,50.0,50,48.3,50,1,50.0
2018-12-01T00:00:00.000+00:00,59.0,59,40,59,5c03211cfb166600222f84f3,59,59.0,59,47.8,59,1,59.0
2018-12-08T00:00:00.000+00:00,54.0,54,40,59,5c0c5b603ae3e8002350fb95,54,54.0,54,49.6,54,1,54.0
2018-12-09T00:00:00.000+00:00,49.5,59,40,59,5c0dacdf3ae3e80023526bcb,59,57.0,40,50.5,40,3,52.0
2018-12-10T00:00:00.000+00:00,59.0,59,40,59,5c0efe563ae3e8002353d779,59,59.0,59,54.3,59,1,59.0
2018-12-15T00:00:00.000+00:00,59.0,59,40,59,5c1595e33ae3e800245c0e77,59,59.0,59,56.1,59,1,59.0
2018-12-21T00:00:00.000+00:00,65.0,65,40,65,5c1d7f6f3ae3e8002364a94e,65,65.0,65,57.3,65,1,65.0
2018-12-22T00:00:00.000+00:00,65.0,65,59,65,5c1ed0bd3ae3e80023663142,65,65.0,65,59.5,65,1,65.0
2018-12-26T00:00:00.000+00:00,60.5,51,51,70,5c2416643ae3e800246dca3c,70,60.5,51,61.7,70,2,60.5
2018-12-27T00:00:00.000+00:00,80.0,80,51,80,5c2568753ae3e800246f7ec2,80,80.0,80,65.9,80,1,80.0
2018-12-29T00:00:00.000+00:00,75.0,75,51,80,5c280b773ae3e8002472d985,75,75.0,75,69.1,75,1,75.0
2019-01-05T00:00:00.000+00:00,30.0,30,30,80,5c3145683ae3e800247e95e4,30,30.0,30,62.1,30,1,30.0
2019-01-07T00:00:00.000+00:00,55.0,55,30,80,5c33e8e03ae3e8002380618a,55,55.0,55,60.1,55,1,55.0
2019-01-10T00:00:00.000+00:00,30.0,30,30,75,5c37dd4a3ae3e800238560a8,30,30.0,30,54.0,30,1,30.0
2019-01-13T00:00:00.000+00:00,55.0,55,30,55,5c3bd1a83ae3e800238a7ea0,55,55.0,55,49.0,55,1,55.0
2019-01-17T00:00:00.000+00:00,30.0,30,30,55,5c4117d83ae3e80024939abc,30,30.0,30,40.0,30,1,30.0
2019-01-19T00:00:00.000+00:00,35.0,40,30,55,5c43baa83ae3e8002394b868,40,35.0,30,41.0,30,2,35.0
2019-01-26T00:00:00.000+00:00,50.0,50,30,55,5c4cf53a3ae3e80023a0e18c,50,50.0,50,40.0,50,1,50.0
2019-01-28T00:00:00.000+00:00,60.0,75,30,80,5c4f986e3ae3e80024a72cc4,80,75.0,40,46.0,40,3,65.0
2019-01-29T00:00:00.000+00:00,45.0,45,30,80,5c50e9a33ae3e80024a8ee67,45,45.0,45,44.0,45,1,45.0
2019-01-30T00:00:00.000+00:00,70.0,70,40,80,5c523ae73ae3e80024aaafdc,70,70.0,70,52.0,70,1,70.0
2019-02-03T00:00:00.000+00:00,75.0,75,40,80,5c5780df3ae3e80024b1cae4,75,75.0,75,60.0,75,1,75.0
