datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,42.5,50,35,50,5be37d36fb166600220e962c,50,45.0,35,42.4,49,9,45.444
2018-11-08T00:00:00.000+00:00,35.0,30,20,50,5be4ce86fb166600220fd730,50,40.0,20,41.4,50,9,37.444
2018-11-09T00:00:00.000+00:00,41.5,45,20,50,5be61fe1fb16660022111685,45,40.0,38,41.3,40,5,40.6
2018-11-10T00:00:00.000+00:00,20.0,15,15,50,5be77190fb1666002315215c,25,20.0,15,37.1,25,12,21.75
2018-11-11T00:00:00.000+00:00,27.5,28,15,50,5be8c2c7fb16660023167fe6,40,28.0,15,33.3,15,13,27.692
2018-11-12T00:00:00.000+00:00,32.0,45,15,45,5bea14ccfb1666002317f597,45,27.5,19,31.2,25,10,29.9
2018-11-13T00:00:00.000+00:00,27.5,27,10,45,5beb65eafb1666002319539b,45,27.0,10,29.7,45,13,27.385
2018-11-14T00:00:00.000+00:00,17.5,20,10,45,5becb7dcfb166600231abee6,25,15.0,10,24.9,10,50,15.88
2018-11-15T00:00:00.000+00:00,13.5,9,9,45,5bee0925fb166600231c2127,18,13.0,9,23.6,10,66,12.606
2018-11-16T00:00:00.000+00:00,8.0,10,1,45,5bef5ae7fb166600221aab84,15,10.0,1,19.7,12,67,10.299
2018-11-17T00:00:00.000+00:00,10.0,10,1,25,5bf0ac6dfb166600221c22b9,12,10.0,8,15.3,10,48,9.729
2018-11-18T00:00:00.000+00:00,12.5,5,1,20,5bf1fd9dfb166600221d9040,20,10.0,5,12.3,10,82,9.598
2018-11-19T00:00:00.000+00:00,9.0,8,1,20,5bf34f5cfb1666002321eb2f,11,9.0,7,10.6,10,44,9.045
2018-11-20T00:00:00.000+00:00,8.5,10,5,20,5bf4a0bbfb16660022206d49,10,9.0,7,9.6,9,47,9.149
2018-11-21T00:00:00.000+00:00,8.0,10,5,20,5bf5f234fb1666002324c74f,10,9.0,6,9.6,8,44,8.591
2018-11-22T00:00:00.000+00:00,8.5,10,6,11,5bf74350fb16660023262e80,10,9.0,7,9.3,10,44,8.773
2018-11-23T00:00:00.000+00:00,8.0,10,6,10,5bf894f7fb166600222494de,10,8.0,6,8.4,7,41,8.049
2018-11-24T00:00:00.000+00:00,7.0,7,5,10,5bf9e676fb1666002225faec,9,7.0,5,8.0,9,63,7.19
2018-11-25T00:00:00.000+00:00,7.0,7,4,10,5bfb3834fb166600222764de,10,7.0,4,7.7,6,43,7.116
2018-11-26T00:00:00.000+00:00,7.0,6,4,10,5bfc89a4fb1666002228c558,9,7.0,5,7.5,8,42,6.857
2018-11-27T00:00:00.000+00:00,7.0,7,4,10,5bfddac2fb166600232d7cca,9,7.0,5,7.2,9,32,7.062
2018-11-28T00:00:00.000+00:00,7.0,5,4,10,5bff2c48fb166600232ef6d0,9,7.0,5,7.0,7,29,6.759
2018-11-29T00:00:00.000+00:00,7.0,6,5,9,5c007e2afb16660023307b15,9,7.0,5,7.0,6,33,6.939
2018-11-30T00:00:00.000+00:00,7.0,9,5,9,5c01cf8ffb166600222e17e6,9,7.0,5,7.0,9,52,7.192
2018-12-01T00:00:00.000+00:00,8.5,8,5,10,5c0320f8fb166600222f7f7c,10,8.0,7,7.3,9,49,7.837
2018-12-02T00:00:00.000+00:00,8.0,9,5,10,5c0472a8fb1666002230f507,10,9.0,6,7.5,8,46,8.217
2018-12-03T00:00:00.000+00:00,8.0,6,5,10,5c05c423fb16660023364d56,10,8.0,6,7.7,10,25,8.2
2018-12-04T00:00:00.000+00:00,8.5,8,6,10,5c07154afb1666002337a410,10,9.0,7,8.0,10,25,8.68
2018-12-05T00:00:00.000+00:00,8.5,7,6,10,5c0866c5fb16660022350a68,10,8.0,7,8.3,10,24,8.375
2018-12-06T00:00:00.000+00:00,7.0,8,5,10,5c09b8b53ae3e800244e4111,9,7.0,5,8.0,7,32,7.094
2018-12-07T00:00:00.000+00:00,7.0,9,5,10,5c0b09e93ae3e800244faa15,9,7.0,5,7.8,6,22,7.0
2018-12-08T00:00:00.000+00:00,7.0,5,5,10,5c0c5b563ae3e8002350f9f5,9,7.0,5,7.6,5,43,6.953
2018-12-09T00:00:00.000+00:00,7.0,7,5,9,5c0dacd53ae3e80023526a1c,9,7.0,5,7.3,8,36,7.028
2018-12-10T00:00:00.000+00:00,8.0,10,5,10,5c0efe4c3ae3e8002353d5d8,10,8.0,6,7.2,6,28,8.214
2018-12-11T00:00:00.000+00:00,7.0,5,4,10,5c104fe13ae3e800235544b8,10,7.0,4,7.2,5,26,7.385
2018-12-12T00:00:00.000+00:00,7.0,8,4,10,5c11a15d3ae3e8002356bde8,9,7.0,5,7.2,8,32,6.969
2018-12-13T00:00:00.000+00:00,8.0,8,4,10,5c12f2dc3ae3e8002358247f,10,8.0,6,7.4,7,40,8.0
2018-12-14T00:00:00.000+00:00,8.0,6,4,10,5c1444fb3ae3e800245a9034,10,8.0,6,7.6,8,46,7.957
2018-12-15T00:00:00.000+00:00,7.0,10,4,10,5c1595d93ae3e800245c0cad,10,8.0,4,7.4,10,55,7.836
2018-12-16T00:00:00.000+00:00,7.0,8,4,10,5c16e75a3ae3e800235ce4e8,10,8.0,4,7.4,10,60,7.75
2018-12-17T00:00:00.000+00:00,8.0,8,4,10,5c1839433ae3e800245f3b09,10,8.0,6,7.6,9,24,8.208
2018-12-18T00:00:00.000+00:00,8.0,8,4,10,5c198a8f3ae3e8002460ca67,10,9.0,6,7.6,8,15,8.4
2018-12-19T00:00:00.000+00:00,6.0,4,4,10,5c1adbd33ae3e8002361774d,8,5.0,4,7.2,5,30,5.733
2018-12-20T00:00:00.000+00:00,6.0,6,4,10,5c1c2da73ae3e80024641380,8,6.0,4,7.0,7,23,5.87
