datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,10.5,8,8,15,5be4ce3afb1666002312329b,13,10.5,8,0,12.8,13,2,10.5
2018-11-10T00:00:00.000+00:00,15.0,15,8,15,5be77139fb166600231512bb,15,15.0,15,0,12.8,15,1,15.0
2018-11-11T00:00:00.000+00:00,14.0,14,14,15,5be8c293fb1666002213c93a,14,14.0,14,3,,14,1,14.0
2018-11-12T00:00:00.000+00:00,12.5,12,8,15,5bea1432fb16660022152312,13,12.5,12,0,13.0,13,2,12.5
2018-11-13T00:00:00.000+00:00,15.0,15,14,15,5beb659cfb1666002216754d,15,15.0,15,3,,15,1,15.0
2018-11-13T00:00:00.000+00:00,15.0,15,8,15,5beb659cfb1666002216754c,15,15.0,15,0,13.6,15,2,15.0
2018-11-14T00:00:00.000+00:00,15.0,15,14,15,5becb7acfb1666002217e4c4,15,15.0,15,3,,15,1,15.0
2018-11-14T00:00:00.000+00:00,14.5,14,12,15,5becb7acfb1666002217e4c3,15,15.0,14,0,13.5,15,3,14.667
2018-11-17T00:00:00.000+00:00,14.5,15,12,15,5bf0ac30fb166600231f0218,15,14.5,14,0,14.3,14,2,14.5
2018-11-18T00:00:00.000+00:00,15.0,15,14,15,5bf1fd19fb166600221d80aa,15,15.0,15,0,14.3,15,2,15.0
2018-11-20T00:00:00.000+00:00,20.0,20,14,20,5bf4a088fb16660023234ce4,20,20.0,20,0,15.8,20,2,20.0
2018-11-22T00:00:00.000+00:00,19.0,19,14,20,5bf74312fb16660023262622,19,19.0,19,0,16.6,19,1,19.0
2018-11-24T00:00:00.000+00:00,17.0,18,15,20,5bf9e627fb16660023290a46,19,18.0,15,0,17.1,19,3,17.333
2018-11-25T00:00:00.000+00:00,14.5,15,10,20,5bfb37ebfb166600232a95ea,19,15.0,10,0,17.1,19,5,15.2
2018-11-26T00:00:00.000+00:00,14.0,14,10,19,5bfc8924fb1666002228b392,14,14.0,14,0,16.9,14,1,14.0
2018-11-27T00:00:00.000+00:00,10.0,10,10,19,5bfdda90fb166600232d747a,10,10.0,10,0,14.9,10,1,10.0
2018-11-29T00:00:00.000+00:00,12.0,12,10,19,5c007df1fb166600233071a2,12,12.0,12,0,13.5,12,1,12.0
2018-11-30T00:00:00.000+00:00,15.0,15,10,15,5c01cf30fb166600222e0b34,15,15.0,15,0,13.1,15,1,15.0
2018-12-02T00:00:00.000+00:00,16.0,16,10,16,5c04728afb1666002334dc55,16,16.0,16,0,13.4,16,1,16.0
