datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,10.0,10,10,10,5be37d48fb166600220e98f8,10,10.0,10,9.2,10,2,10.0
2018-11-11T00:00:00.000+00:00,7.0,7,7,10,5be8c320fb1666002213dd57,7,7.0,7,9.4,7,1,7.0
2018-11-14T00:00:00.000+00:00,9.0,9,7,10,5becb7f4fb1666002217ee4b,9,9.0,9,9.2,9,1,9.0
2018-11-15T00:00:00.000+00:00,6.0,6,6,10,5bee0972fb16660022194789,6,6.0,6,8.4,6,1,6.0
2018-11-16T00:00:00.000+00:00,7.0,7,6,9,5bef5b04fb166600221aae71,7,7.0,7,7.8,7,1,7.0
2018-11-18T00:00:00.000+00:00,6.0,6,6,9,5bf1fe07fb166600221d9cfb,6,6.0,6,7.0,6,4,6.0
2018-11-19T00:00:00.000+00:00,5.0,5,5,7,5bf34f75fb1666002321ee16,5,5.0,5,6.6,5,3,5.0
2018-11-21T00:00:00.000+00:00,7.0,7,5,7,5bf5f247fb1666002324ca3a,7,7.0,7,6.2,7,1,7.0
2018-11-22T00:00:00.000+00:00,7.0,7,5,7,5bf74366fb16660023263173,7,7.0,7,6.4,7,1,7.0
2018-11-23T00:00:00.000+00:00,4.5,5,3,7,5bf89549fb1666002327a4f7,6,4.5,3,5.9,4,5,4.8
2018-11-24T00:00:00.000+00:00,7.0,7,3,7,5bf9e6adfb16660023291dfa,7,7.0,7,6.1,7,1,7.0
2018-11-27T00:00:00.000+00:00,9.0,9,3,10,5bfddad5fb166600232d7fbc,10,9.0,8,6.9,10,4,9.0
2018-11-28T00:00:00.000+00:00,5.0,5,3,10,5bff2c8cfb166600222b6f2b,5,5.0,5,6.5,5,1,5.0
2018-11-30T00:00:00.000+00:00,5.0,5,5,10,5c01cfb9fb166600222e1eba,5,5.0,5,6.1,5,1,5.0
2018-12-01T00:00:00.000+00:00,5.5,4,4,10,5c03213bfb166600233373a5,7,5.5,4,6.3,7,2,5.5
2018-12-02T00:00:00.000+00:00,7.0,7,4,7,5c0472c1fb1666002334e633,7,7.0,7,6.3,7,1,7.0
2018-12-03T00:00:00.000+00:00,10.0,10,4,10,5c05c436fb16660022324ac9,10,10.0,10,6.5,10,2,10.0
2018-12-04T00:00:00.000+00:00,7.0,5,4,10,5c071560fb1666002337a6d8,10,5.0,4,6.9,5,6,5.667
2018-12-08T00:00:00.000+00:00,5.0,5,4,10,5c0c5b6b3ae3e8002350fcf4,5,5.0,5,6.9,5,1,5.0
2018-12-09T00:00:00.000+00:00,6.0,6,4,10,5c0dacfa3ae3e8002452b771,6,6.0,6,7.0,6,1,6.0
2018-12-13T00:00:00.000+00:00,7.0,7,4,10,5c12f3203ae3e80023583014,7,7.0,7,7.0,7,1,7.0
2018-12-14T00:00:00.000+00:00,5.0,5,4,7,5c14450f3ae3e800245a9346,6,5.0,4,6.0,6,5,4.8
2018-12-15T00:00:00.000+00:00,9.0,10,4,10,5c1595ee3ae3e800245c0fef,10,9.0,8,6.4,8,2,9.0
2018-12-19T00:00:00.000+00:00,7.5,5,4,10,5c1adbea3ae3e80023617a92,10,6.5,5,6.9,8,4,7.0
2018-12-20T00:00:00.000+00:00,5.0,5,4,10,5c1c2df53ae3e80024641c2b,5,5.0,5,6.7,5,2,5.0
2018-12-21T00:00:00.000+00:00,5.0,7,3,10,5c1d7f7c3ae3e8002465b089,7,7.0,3,6.3,3,3,5.667
2018-12-23T00:00:00.000+00:00,6.5,6,3,10,5c2021fa3ae3e8002367cf8a,7,6.5,6,6.6,7,2,6.5
2018-12-27T00:00:00.000+00:00,10.0,10,3,10,5c2568813ae3e800246f8032,10,10.0,10,6.8,10,1,10.0
2018-12-29T00:00:00.000+00:00,5.0,3,3,10,5c280b823ae3e8002472db05,7,5.0,3,6.3,7,3,5.0
2018-12-30T00:00:00.000+00:00,8.5,7,3,10,5c295c713ae3e80023731c08,10,9.5,7,7.0,10,4,9.0
2019-01-02T00:00:00.000+00:00,8.0,9,3,10,5c2d517a3ae3e8002378051e,10,9.0,6,7.6,6,3,8.333
2019-01-05T00:00:00.000+00:00,3.5,2,2,10,5c3145753ae3e800247e976c,5,4.0,2,7.0,4,3,3.667
2019-01-06T00:00:00.000+00:00,5.5,5,2,10,5c3297623ae3e800237ec068,6,5.5,5,6.1,6,2,5.5
2019-01-07T00:00:00.000+00:00,9.0,8,2,10,5c33e8ea3ae3e80023806300,10,9.0,8,6.9,9,5,9.2
2019-01-08T00:00:00.000+00:00,10.0,10,2,10,5c3539ec3ae3e8002381fd60,10,10.0,10,7.2,10,1,10.0
2019-01-09T00:00:00.000+00:00,5.5,5,5,10,5c368bfc3ae3e8002383c0dd,6,5.5,5,6.7,6,2,5.5
2019-01-10T00:00:00.000+00:00,10.0,10,5,10,5c37dd653ae3e800238563f1,10,10.0,10,8.0,10,1,10.0
2019-01-11T00:00:00.000+00:00,6.5,10,3,10,5c392f113ae3e8002488f798,10,6.5,3,8.2,3,2,6.5
