datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,10.0,10,10,25,5be37d2ffb166600220e954b,10,10.0,10,0,,10,1,10.0
2018-11-08T00:00:00.000+00:00,9.0,9,9,25,5be4ce80fb166600220fd64c,9,9.0,9,0,,9,1,9.0
2018-11-09T00:00:00.000+00:00,25.0,25,9,25,5be61fd9fb166600221115a1,25,25.0,25,0,17.8,25,1,25.0
2018-11-10T00:00:00.000+00:00,35.0,35,35,35,5be7718afb16660023152069,35,35.0,35,3,,35,1,35.0
2018-11-13T00:00:00.000+00:00,15.5,16,9,25,5beb65e1fb166600231952a8,16,15.5,15,0,15.9,15,2,15.5
2018-11-17T00:00:00.000+00:00,25.0,25,9,25,5bf0ac64fb166600221c21c9,25,25.0,25,0,16.9,25,1,25.0
2018-11-19T00:00:00.000+00:00,15.0,15,15,25,5bf34f54fb1666002321ea2d,15,15.0,15,0,17.9,15,1,15.0
2018-11-20T00:00:00.000+00:00,20.0,20,20,35,5bf4a0b3fb16660022206c5b,20,20.0,20,3,,20,1,20.0
2018-11-27T00:00:00.000+00:00,20.0,20,20,35,5bfddabcfb166600232d7bd2,20,20.0,20,3,,20,1,20.0
2018-11-30T00:00:00.000+00:00,15.0,15,15,25,5c01cf86fb166600222e16f3,15,15.0,15,0,19.1,15,1,15.0
2018-12-05T00:00:00.000+00:00,15.0,15,15,25,5c0866bffb16660022350976,15,15.0,15,0,17.1,15,1,15.0
2018-12-10T00:00:00.000+00:00,12.5,5,5,20,5c0efe443ae3e8002353d4d7,20,20.0,5,0,16.5,20,3,15.0
2018-12-11T00:00:00.000+00:00,12.0,12,5,20,5c104fda3ae3e800235543b1,12,12.0,12,0,13.9,12,1,12.0
2018-12-12T00:00:00.000+00:00,25.0,25,5,25,5c11a1553ae3e8002356bcdf,25,25.0,25,0,15.9,25,1,25.0
2018-12-20T00:00:00.000+00:00,24.0,19,5,30,5c1c2da03ae3e8002464126f,30,19.0,18,0,17.7,30,3,22.333
2018-12-22T00:00:00.000+00:00,30.0,30,12,30,5c1ed0953ae3e8002467524e,30,30.0,30,0,20.7,30,1,30.0
2018-12-26T00:00:00.000+00:00,22.0,22,18,30,5c2416503ae3e800246dc74c,22,22.0,22,0,22.6,22,1,22.0
2018-12-27T00:00:00.000+00:00,10.0,10,10,35,5c25685f3ae3e800246f7bd1,10,10.0,10,3,,10,2,10.0
2018-12-30T00:00:00.000+00:00,15.0,20,10,30,5c295c513ae3e8002373177f,20,15.0,10,0,23.2,10,2,15.0
2019-01-07T00:00:00.000+00:00,22.5,20,10,30,5c33e8cd3ae3e80023805e74,25,22.5,20,0,22.7,25,2,22.5
2019-01-10T00:00:00.000+00:00,20.0,30,5,35,5c37dcfd3ae3e800238556fc,35,30.0,5,0,21.9,35,3,23.333
2019-01-11T00:00:00.000+00:00,30.0,30,10,30,5c392eef3ae3e8002488f2f3,30,30.0,30,3,23.0,30,1,30.0
2019-01-12T00:00:00.000+00:00,30.0,20,5,40,5c3a80703ae3e800248ac2f4,40,30.0,20,0,21.9,40,2,30.0
2019-01-13T00:00:00.000+00:00,24.0,30,5,40,5c3bd1803ae3e800248c82f2,30,24.0,18,0,22.3,18,2,24.0
2019-01-14T00:00:00.000+00:00,15.0,15,5,40,5c3d22f03ae3e800238c1cbc,15,15.0,15,0,22.3,15,1,15.0
2019-01-15T00:00:00.000+00:00,35.0,35,10,35,5c3e744f3ae3e800238dc595,35,35.0,35,3,23.0,35,1,35.0
2019-01-18T00:00:00.000+00:00,30.0,30,15,40,5c4268f73ae3e80024954e15,30,30.0,30,0,23.8,30,1,30.0
2019-01-19T00:00:00.000+00:00,50.0,50,10,50,5c43ba773ae3e8002394b041,50,50.0,50,3,29.0,50,1,50.0
2019-01-25T00:00:00.000+00:00,15.0,15,15,30,5c4ba36c3ae3e80024a1be4b,15,15.0,15,0,22.8,15,1,15.0
2019-01-26T00:00:00.000+00:00,12.0,12,12,30,5c4cf50a3ae3e80024a38ea9,12,12.0,12,0,19.2,12,1,12.0
2019-01-28T00:00:00.000+00:00,22.0,22,12,30,5c4f98513ae3e80023a44d34,22,22.0,22,0,18.8,22,1,22.0
2019-02-02T00:00:00.000+00:00,25.0,25,12,25,5c562fe63ae3e80024b01198,25,25.0,25,0,20.8,25,1,25.0
2019-02-03T00:00:00.000+00:00,15.0,15,12,25,5c5780cc3ae3e80024b1c79e,15,15.0,15,0,17.8,15,1,15.0
