datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,7.0,6,5,8,5be37d36fb1666002310daf5,8,7.0,6,0,6.2,7,7,6.857
2018-11-08T00:00:00.000+00:00,15.0,15,5,15,5be4ce9efb166600220fdac2,15,15.0,15,3,,15,1,15.0
2018-11-09T00:00:00.000+00:00,7.5,9,5,9,5be61fdcfb16660023139f52,9,8.0,6,0,6.5,6,6,7.833
2018-11-10T00:00:00.000+00:00,5.5,5,4,9,5be77193fb166600221279aa,7,5.0,4,0,6.4,6,8,5.375
2018-11-11T00:00:00.000+00:00,6.0,5,4,9,5be8c2ecfb1666002213d64e,7,6.0,5,0,6.3,5,7,5.857
2018-11-12T00:00:00.000+00:00,6.5,5,4,9,5bea14e9fb16660022153521,8,5.0,5,0,6.5,5,8,6.0
2018-11-13T00:00:00.000+00:00,15.0,15,5,15,5beb65e2fb16660022167cba,15,15.0,15,3,,15,1,15.0
2018-11-13T00:00:00.000+00:00,6.5,7,4,8,5beb65e2fb16660022167cb9,7,7.0,6,0,6.4,7,3,6.667
2018-11-14T00:00:00.000+00:00,5.5,6,5,8,5becb7e3fb1666002217ec09,6,5.0,5,0,6.0,5,5,5.4
2018-11-15T00:00:00.000+00:00,35.0,35,5,35,5bee0951fb166600231c260e,35,35.0,35,3,,35,1,35.0
2018-11-15T00:00:00.000+00:00,6.5,5,5,8,5bee0951fb166600231c260d,8,6.0,5,0,6.2,7,8,6.25
2018-11-16T00:00:00.000+00:00,18.0,18,15,35,5bef5ae1fb166600231d9542,18,18.0,18,3,17.6,18,1,18.0
2018-11-16T00:00:00.000+00:00,6.5,6,5,8,5bef5ae1fb166600231d9541,7,6.0,6,0,6.3,6,5,6.2
2018-11-17T00:00:00.000+00:00,18.0,18,15,35,5bf0ac6bfb166600231f09d1,18,18.0,18,3,20.2,18,1,18.0
2018-11-17T00:00:00.000+00:00,6.0,5,5,8,5bf0ac6bfb166600231f09d0,7,5.5,5,0,6.2,5,6,5.833
2018-11-18T00:00:00.000+00:00,6.0,8,4,8,5bf1fdbffb166600221d9432,8,6.0,4,0,6.1,7,9,5.889
2018-11-19T00:00:00.000+00:00,6.0,7,4,8,5bf34f5afb166600221f0199,7,6.0,5,0,6.2,5,5,5.8
2018-11-20T00:00:00.000+00:00,5.5,6,4,8,5bf4a0b6fb16660023235468,6,6.0,5,0,6.0,6,5,5.8
2018-11-21T00:00:00.000+00:00,6.0,6,4,8,5bf5f238fb1666002221d5db,7,6.0,5,0,5.9,5,3,6.0
2018-11-22T00:00:00.000+00:00,6.0,6,4,8,5bf7434afb16660022232885,8,6.0,4,0,5.9,4,5,6.2
2018-11-23T00:00:00.000+00:00,6.5,5,4,8,5bf8953afb1666002327a2b4,8,7.0,5,0,6.0,7,6,6.5
2018-11-24T00:00:00.000+00:00,5.5,6,4,8,5bf9e686fb166600232917aa,6,6.0,5,0,5.9,5,3,5.667
2018-11-25T00:00:00.000+00:00,6.5,5,4,8,5bfb383efb166600232aa2a6,8,5.0,5,0,6.1,5,9,6.0
2018-11-26T00:00:00.000+00:00,6.0,5,5,8,5bfc89b1fb166600232c12c0,7,6.0,5,0,6.1,5,9,6.0
2018-11-27T00:00:00.000+00:00,6.5,5,5,8,5bfddabffb166600222a1118,8,6.0,5,0,6.2,5,4,6.25
2018-11-28T00:00:00.000+00:00,5.0,6,3,8,5bff2c6bfb166600222b6aa0,7,5.5,3,0,5.9,5,6,5.5
2018-11-29T00:00:00.000+00:00,4.0,4,4,35,5c007e26fb166600222cc807,4,4.0,4,3,18.0,4,1,4.0
2018-11-29T00:00:00.000+00:00,6.5,7,3,8,5c007e26fb166600222cc806,8,7.0,5,0,6.1,7,10,6.8
2018-11-30T00:00:00.000+00:00,6.0,7,3,8,5c01cf8bfb1666002331f380,7,6.0,5,0,6.0,6,5,5.8
