datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,15.0,15,14,16,5be37d61fb166600220e9cb3,15,15.0,15,0,13.9,15,1,15.0
2018-11-08T00:00:00.000+00:00,15.0,15,15,16,5be4cec8fb166600231246e3,15,15.0,15,0,14.9,15,1,15.0
2018-11-11T00:00:00.000+00:00,15.0,15,15,16,5be8c338fb1666002213e128,15,15.0,15,0,15.1,15,1,15.0
2018-11-12T00:00:00.000+00:00,15.0,15,15,15,5bea151cfb16660022153b99,15,15.0,15,0,15.1,15,1,15.0
2018-11-14T00:00:00.000+00:00,14.5,14,14,15,5becb812fb166600231ac5fd,15,14.0,14,0,14.9,15,3,14.333
2018-11-16T00:00:00.000+00:00,15.0,15,15,15,5bef5b27fb166600221ab254,15,15.0,15,3,,15,1,15.0
2018-11-16T00:00:00.000+00:00,15.0,15,14,15,5bef5b27fb166600221ab253,15,15.0,15,0,14.9,15,1,15.0
2018-11-17T00:00:00.000+00:00,15.0,15,15,15,5bf0aca7fb166600221c2993,15,15.0,15,3,,15,1,15.0
2018-11-18T00:00:00.000+00:00,13.5,15,12,15,5bf1fe18fb16660023208646,15,12.0,12,0,14.6,12,5,13.2
2018-11-19T00:00:00.000+00:00,19.0,19,15,19,5bf34f93fb1666002321f1e5,19,19.0,19,3,,19,1,19.0
2018-11-21T00:00:00.000+00:00,15.0,15,12,15,5bf5f26cfb1666002221dd1c,15,15.0,15,0,14.6,15,1,15.0
2018-11-24T00:00:00.000+00:00,17.5,19,12,19,5bf9e6d4fb166600232923af,19,17.5,16,0,15.1,16,2,17.5
2018-11-26T00:00:00.000+00:00,15.5,15,12,19,5bfc89d8fb166600232c18d0,16,15.0,15,0,15.3,15,3,15.333
2018-11-28T00:00:00.000+00:00,17.0,19,15,19,5bff2cb7fb166600232f065e,19,15.0,15,0,15.7,15,4,16.0
2018-11-29T00:00:00.000+00:00,15.0,15,15,19,5c007e53fb166600233081c0,15,15.0,15,0,16.0,15,1,15.0
2018-11-30T00:00:00.000+00:00,15.0,15,15,19,5c01cfcbfb1666002331fbed,15,15.0,15,0,16.0,15,2,15.0
2018-12-01T00:00:00.000+00:00,15.5,17,14,19,5c03215efb166600222f8d6e,17,15.5,14,0,15.6,14,2,15.5
2018-12-03T00:00:00.000+00:00,15.0,15,14,17,5c05c44ffb16660022324e81,15,15.0,15,0,15.5,15,1,15.0
2018-12-04T00:00:00.000+00:00,15.0,15,14,17,5c071578fb1666002337aa96,15,15.0,15,0,15.1,15,1,15.0
2018-12-07T00:00:00.000+00:00,14.0,14,14,17,5c0b0a4c3ae3e800234fa0e4,14,14.0,14,0,14.9,14,1,14.0
2018-12-08T00:00:00.000+00:00,15.0,15,14,15,5c0c5b883ae3e800235100eb,15,15.0,15,0,14.9,15,1,15.0
2018-12-09T00:00:00.000+00:00,15.0,15,14,15,5c0dad283ae3e8002452bd69,15,15.0,15,0,14.8,15,2,15.0
2018-12-10T00:00:00.000+00:00,15.0,15,14,15,5c0efe7a3ae3e8002353dcb5,15,15.0,15,0,14.8,15,1,15.0
2018-12-13T00:00:00.000+00:00,15.0,15,15,15,5c12f34c3ae3e80023583622,15,15.0,15,0,14.8,15,1,15.0
2018-12-16T00:00:00.000+00:00,19.0,20,15,20,5c16e7903ae3e800235cec3e,20,19.0,18,3,,18,2,19.0
2018-12-18T00:00:00.000+00:00,15.0,15,15,20,5c198b433ae3e800235ff991,15,15.0,15,3,16.6,15,1,15.0
2018-12-18T00:00:00.000+00:00,15.0,15,15,15,5c198b433ae3e800235ff990,15,15.0,15,0,15.0,15,1,15.0
2018-12-20T00:00:00.000+00:00,14.0,14,14,15,5c1c2e143ae3e80024642085,14,14.0,14,0,14.8,14,1,14.0
2018-12-22T00:00:00.000+00:00,17.0,15,14,19,5c1ed1053ae3e80023663bdc,19,15.0,15,0,15.2,15,3,16.333
2018-12-23T00:00:00.000+00:00,15.0,15,15,20,5c2022183ae3e8002367d3fa,15,15.0,15,3,16.6,15,1,15.0
2018-12-23T00:00:00.000+00:00,20.0,15,14,25,5c2022183ae3e8002367d3f9,25,15.0,15,0,16.2,25,3,18.333
2018-12-24T00:00:00.000+00:00,20.0,20,14,25,5c2173893ae3e8002369758c,20,20.0,20,0,17.2,20,1,20.0
2018-12-26T00:00:00.000+00:00,11.0,11,11,20,5c2416a63ae3e800246dd211,11,11.0,11,3,15.8,11,1,11.0
2018-12-27T00:00:00.000+00:00,15.0,15,15,25,5c2568a03ae3e800246f848b,15,15.0,15,0,17.2,15,1,15.0
2018-12-28T00:00:00.000+00:00,17.0,19,15,25,5c26b9913ae3e800236fccdb,19,15.0,15,0,17.8,15,3,16.333
2018-12-29T00:00:00.000+00:00,10.0,10,10,20,5c280ba33ae3e8002472df70,10,10.0,10,0,16.4,10,1,10.0
2018-12-31T00:00:00.000+00:00,20.0,25,10,25,5c2aae043ae3e8002374bc35,25,15.0,15,0,16.4,15,3,18.333
2019-01-02T00:00:00.000+00:00,19.0,19,11,19,5c2d51963ae3e80023780981,19,19.0,19,3,15.8,19,1,19.0
2019-01-02T00:00:00.000+00:00,15.0,15,10,25,5c2d51963ae3e80023780980,15,15.0,15,0,15.4,15,1,15.0
2019-01-03T00:00:00.000+00:00,15.0,15,10,25,5c2ea31e3ae3e8002379a809,15,15.0,15,0,15.4,15,2,15.0
2019-01-05T00:00:00.000+00:00,20.0,20,11,20,5c3145953ae3e800247e9c22,20,20.0,20,3,16.0,20,1,20.0
2019-01-05T00:00:00.000+00:00,15.0,20,10,25,5c3145953ae3e800247e9c21,20,20.0,10,0,15.0,10,5,16.4
2019-01-06T00:00:00.000+00:00,16.0,12,10,20,5c32978f3ae3e80024806203,20,16.0,12,0,16.2,20,2,16.0
2019-01-08T00:00:00.000+00:00,18.0,18,10,20,5c353a143ae3e8002483c510,18,18.0,18,0,15.8,18,1,18.0
2019-01-09T00:00:00.000+00:00,30.0,30,11,30,5c368c1c3ae3e8002383c58e,30,30.0,30,3,19.0,30,1,30.0
2019-01-09T00:00:00.000+00:00,17.5,15,10,20,5c368c1c3ae3e8002383c58d,20,17.5,15,0,16.3,20,4,17.5
2019-01-10T00:00:00.000+00:00,20.0,20,12,20,5c37dd8b3ae3e800248739ad,20,20.0,20,0,17.3,20,1,20.0
2019-01-12T00:00:00.000+00:00,20.0,20,19,30,5c3a80b33ae3e800248acc3e,20,20.0,20,3,20.0,20,1,20.0
2019-01-12T00:00:00.000+00:00,19.0,19,15,20,5c3a80b33ae3e800248acc3d,19,19.0,19,0,18.1,19,1,19.0
2019-01-13T00:00:00.000+00:00,17.5,15,15,20,5c3bd1ed3ae3e800248c92fe,20,17.5,15,0,18.4,20,2,17.5
2019-01-14T00:00:00.000+00:00,20.0,20,15,20,5c3d23723ae3e800238c2dae,20,20.0,20,0,18.8,20,1,20.0
2019-01-16T00:00:00.000+00:00,20.0,20,15,20,5c3fc6083ae3e8002491c9f2,20,20.0,20,0,19.3,20,1,20.0
2019-01-17T00:00:00.000+00:00,23.0,23,15,23,5c4118013ae3e80023913759,23,23.0,23,0,19.9,23,1,23.0
2019-01-20T00:00:00.000+00:00,20.0,20,20,23,5c450c813ae3e8002499060b,20,20.0,20,0,20.1,20,1,20.0
2019-01-21T00:00:00.000+00:00,20.0,20,20,23,5c465dc83ae3e80023982b6d,20,20.0,20,0,20.6,20,2,20.0
2019-01-24T00:00:00.000+00:00,40.0,40,20,40,5c4a52463ae3e800239d6bd0,40,40.0,40,3,25.8,40,1,40.0
2019-01-24T00:00:00.000+00:00,17.0,20,14,23,5c4a52463ae3e800239d6bcf,20,17.5,14,0,20.0,15,5,17.8
2019-01-27T00:00:00.000+00:00,17.5,20,14,20,5c4e46fd3ae3e80023a2aa8f,20,17.5,15,0,19.5,15,2,17.5
