datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,52.5,50,45,89,5be37d20fb166600220e9274,55,52.5,50,5,55.9,55,2,52.5
2018-11-07T00:00:00.000+00:00,55.0,60,45,60,5be37d20fb166600220e9273,60,53.5,50,0,51.5,55,18,52.944
2018-11-08T00:00:00.000+00:00,70.0,70,45,89,5be4ce6ffb166600220fd376,70,70.0,70,5,61.9,70,1,70.0
2018-11-08T00:00:00.000+00:00,50.0,50,40,60,5be4ce6ffb166600220fd375,60,50.0,40,0,51.4,50,10,51.3
2018-11-09T00:00:00.000+00:00,57.5,50,40,65,5be61fbcfb166600221112c4,65,54.0,50,0,52.9,58,13,54.846
2018-11-10T00:00:00.000+00:00,54.5,60,45,70,5be7716afb16660023151aee,60,52.5,49,5,59.8,49,4,53.5
2018-11-10T00:00:00.000+00:00,54.0,54,40,65,5be7716afb16660023151aed,59,54.0,49,0,53.2,59,20,53.3
2018-11-11T00:00:00.000+00:00,51.5,60,40,70,5be8c2affb16660023167bfd,63,60.0,40,5,55.2,63,5,56.6
2018-11-11T00:00:00.000+00:00,50.0,50,40,65,5be8c2affb16660023167bfc,60,50.0,40,0,53.3,50,17,51.529
2018-11-12T00:00:00.000+00:00,59.0,78,40,78,5bea147bfb1666002317edc1,78,65.0,40,5,57.5,40,3,61.0
2018-11-12T00:00:00.000+00:00,49.0,55,40,65,5bea147bfb1666002317edc0,58,50.0,40,0,52.1,58,16,50.75
2018-11-13T00:00:00.000+00:00,45.0,45,40,78,5beb65c4fb16660023194fba,45,45.0,45,5,56.0,45,1,45.0
2018-11-13T00:00:00.000+00:00,54.0,54,40,60,5beb65c4fb16660023194fb9,55,55.0,53,0,52.9,55,11,54.364
2018-11-14T00:00:00.000+00:00,79.0,79,40,79,5becb7c1fb166600231abb0f,79,79.0,79,5,57.8,79,1,79.0
2018-11-14T00:00:00.000+00:00,50.0,50,40,60,5becb7c1fb166600231abb0e,55,50.0,45,0,51.4,55,17,51.353
2018-11-15T00:00:00.000+00:00,62.0,70,40,79,5bee0905fb166600231c1d4e,70,55.0,54,5,59.3,55,3,59.667
2018-11-15T00:00:00.000+00:00,52.5,60,40,60,5bee0905fb166600231c1d4d,60,55.0,45,0,51.1,55,16,53.75
2018-11-16T00:00:00.000+00:00,61.0,75,42,80,5bef5acbfb166600221aa796,80,72.5,42,5,61.2,80,4,66.75
2018-11-16T00:00:00.000+00:00,52.5,55,45,60,5bef5acbfb166600221aa795,55,50.0,50,0,51.6,55,13,51.231
2018-11-17T00:00:00.000+00:00,85.0,85,42,85,5bf0ac4ffb166600221c1eaf,85,85.0,85,5,66.4,85,1,85.0
2018-11-17T00:00:00.000+00:00,49.5,50,40,60,5bf0ac4ffb166600221c1eae,59,50.0,40,0,51.7,49,22,50.773
2018-11-18T00:00:00.000+00:00,65.0,60,42,85,5bf1fd46fb166600221d8687,70,65.0,60,5,70.4,70,2,65.0
2018-11-18T00:00:00.000+00:00,49.5,55,40,60,5bf1fd46fb166600221d8686,59,50.0,40,0,50.8,58,29,51.138
2018-11-19T00:00:00.000+00:00,50.0,50,42,85,5bf34f40fb1666002321e73a,50,50.0,50,5,64.6,50,1,50.0
2018-11-19T00:00:00.000+00:00,47.5,50,40,59,5bf34f40fb1666002321e739,55,50.0,40,0,50.3,45,14,49.071
2018-11-20T00:00:00.000+00:00,52.5,55,50,85,5bf4a0a1fb16660022206967,55,50.0,50,5,62.7,50,3,51.667
2018-11-20T00:00:00.000+00:00,52.0,55,40,59,5bf4a0a1fb16660022206966,59,50.0,45,0,50.2,50,12,51.667
2018-11-21T00:00:00.000+00:00,65.0,60,50,80,5bf5f1e2fb1666002324bc1f,80,60.0,50,5,63.5,80,3,63.333
2018-11-21T00:00:00.000+00:00,54.0,59,40,59,5bf5f1e2fb1666002324bc1e,59,55.0,49,0,50.5,55,24,54.083
2018-11-22T00:00:00.000+00:00,80.0,80,50,80,5bf74336fb1666002223256c,80,80.0,80,5,62.5,80,1,80.0
2018-11-22T00:00:00.000+00:00,55.0,50,40,60,5bf74336fb1666002223256b,60,50.0,50,0,51.6,50,17,52.824
2018-11-23T00:00:00.000+00:00,60.0,60,50,80,5bf894cbfb16660022248d90,70,50.0,50,5,61.5,50,5,56.0
2018-11-23T00:00:00.000+00:00,51.5,50,45,60,5bf894cbfb16660022248d8f,55,50.0,48,0,52.0,55,22,50.591
2018-11-24T00:00:00.000+00:00,52.5,65,40,80,5bf9e649fb1666002225f4ac,65,55.0,40,5,62.0,40,4,53.75
2018-11-24T00:00:00.000+00:00,54.5,54,48,60,5bf9e649fb1666002225f4ab,56,55.0,53,0,53.4,55,17,54.588
2018-11-25T00:00:00.000+00:00,52.5,45,40,80,5bfb3810fb166600232a9b9b,60,50.0,45,5,62.0,50,4,51.25
2018-11-25T00:00:00.000+00:00,52.5,55,45,60,5bfb3810fb166600232a9b9a,60,55.0,45,0,53.5,60,25,53.08
2018-11-26T00:00:00.000+00:00,50.0,50,40,70,5bfc8947fb1666002228b932,50,50.0,50,5,59.0,50,2,50.0
2018-11-26T00:00:00.000+00:00,55.0,50,45,60,5bfc8947fb1666002228b931,60,58.0,50,0,53.7,60,16,56.25
2018-11-27T00:00:00.000+00:00,37.0,39,35,65,5bfddaaefb166600222a0e0d,39,37.0,35,5,50.4,35,2,37.0
2018-11-27T00:00:00.000+00:00,47.0,39,35,60,5bfddaaefb166600222a0e0c,59,50.0,35,0,52.1,50,14,48.786
