datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,6.0,6,5,10,5be37d03fb1666002310d2d4,6,6.0,6,0,7.2,6,1,6.0
2018-11-09T00:00:00.000+00:00,7.0,6,5,9,5be61f92fb16660023139735,8,6.0,6,0,7.2,8,3,6.667
2018-11-10T00:00:00.000+00:00,7.0,7,5,8,5be77135fb166600231511dd,7,7.0,7,0,6.8,7,1,7.0
2018-11-11T00:00:00.000+00:00,8.0,9,6,9,5be8c28dfb1666002213c855,9,8.0,7,0,6.8,8,4,8.0
2018-11-12T00:00:00.000+00:00,9.0,9,6,9,5bea142bfb16660022152231,9,9.0,9,0,7.4,9,2,9.0
2018-11-13T00:00:00.000+00:00,9.0,9,7,9,5beb6593fb16660022167476,9,9.0,9,0,8.0,9,1,9.0
2018-11-14T00:00:00.000+00:00,7.5,6,6,9,5becb7a6fb1666002217e3f9,9,8.0,6,0,8.1,8,3,7.667
2018-11-15T00:00:00.000+00:00,7.0,6,6,9,5bee08dffb166600221937ed,8,7.0,6,0,8.1,8,2,7.0
2018-11-16T00:00:00.000+00:00,9.0,9,6,9,5bef5aa4fb166600231d8cef,9,9.0,9,0,8.3,9,1,9.0
2018-11-17T00:00:00.000+00:00,9.0,9,6,9,5bf0ac29fb166600231f0131,9,9.0,9,0,8.3,9,1,9.0
2018-11-18T00:00:00.000+00:00,8.0,8,8,8,5bf1fd12fb166600221d7fc5,8,8.0,8,3,,8,1,8.0
2018-11-18T00:00:00.000+00:00,6.0,6,6,9,5bf1fd12fb166600221d7fc4,6,6.0,6,0,7.7,6,1,6.0
2018-11-19T00:00:00.000+00:00,10.0,10,6,10,5bf34f1dfb166600221ef906,10,10.0,10,0,8.2,10,3,10.0
2018-11-21T00:00:00.000+00:00,6.5,5,5,10,5bf5f1abfb1666002221c320,8,6.5,5,0,8.1,8,2,6.5
2018-11-22T00:00:00.000+00:00,7.0,5,5,10,5bf7430cfb1666002326253f,9,7.0,5,0,7.7,9,3,7.0
2018-11-23T00:00:00.000+00:00,8.5,7,5,10,5bf894a2fb1666002224870b,10,7.0,7,0,7.6,7,7,7.714
2018-11-24T00:00:00.000+00:00,8.0,9,5,10,5bf9e622fb1666002329095c,9,8.0,7,0,8.0,7,5,7.8
2018-11-25T00:00:00.000+00:00,7.0,7,5,10,5bfb37e6fb166600232a950f,7,7.0,7,0,7.4,7,1,7.0
2018-11-26T00:00:00.000+00:00,10.0,10,8,10,5bfc891ffb1666002228b2b9,10,10.0,10,3,,10,1,10.0
2018-11-26T00:00:00.000+00:00,7.5,8,7,10,5bfc891ffb1666002228b2b8,8,7.5,7,0,7.6,7,2,7.5
2018-11-27T00:00:00.000+00:00,10.0,10,7,10,5bfdda8afb166600232d7396,10,10.0,10,0,8.2,10,2,10.0
2018-11-28T00:00:00.000+00:00,8.0,8,7,10,5bff2c0bfb166600222b5d03,8,8.0,8,0,8.1,8,1,8.0
2018-11-29T00:00:00.000+00:00,8.0,8,7,10,5c007decfb166600233070c2,8,8.0,8,0,8.1,8,1,8.0
2018-11-30T00:00:00.000+00:00,6.5,7,6,10,5c01cf29fb166600222e0a52,7,6.5,6,0,8.0,6,3,6.667
2018-12-02T00:00:00.000+00:00,7.5,8,6,8,5c047285fb1666002334db6a,8,7.0,7,0,8.0,7,4,7.25
2018-12-03T00:00:00.000+00:00,8.0,8,6,8,5c05c3f8fb1666002232404f,8,8.0,8,0,7.6,8,1,8.0
2018-12-04T00:00:00.000+00:00,6.5,7,5,8,5c07150bfb16660023379b0e,8,7.0,5,0,7.3,5,4,6.25
2018-12-05T00:00:00.000+00:00,3.0,3,3,10,5c08668bfb16660022350162,3,3.0,3,3,,3,1,3.0
2018-12-05T00:00:00.000+00:00,7.0,7,5,8,5c08668bfb16660022350161,7,7.0,7,0,7.1,7,1,7.0
2018-12-07T00:00:00.000+00:00,10.0,10,3,10,5c0b09903ae3e800244f9bd5,10,10.0,10,3,,10,1,10.0
2018-12-07T00:00:00.000+00:00,8.0,8,5,8,5c0b09903ae3e800244f9bd4,8,8.0,8,0,7.4,8,1,8.0
2018-12-08T00:00:00.000+00:00,7.0,7,5,8,5c0c5b143ae3e80024512044,7,7.0,7,0,7.3,7,2,7.0
2018-12-09T00:00:00.000+00:00,5.0,5,5,8,5c0dac913ae3e8002352600f,5,5.0,5,0,6.7,5,1,5.0
2018-12-10T00:00:00.000+00:00,7.0,7,5,8,5c0efe0e3ae3e80024542fee,7,7.0,7,0,6.8,7,2,7.0
2018-12-11T00:00:00.000+00:00,8.5,8,5,9,5c104f8c3ae3e8002455bc25,9,8.5,8,0,7.1,9,3,8.667
2018-12-12T00:00:00.000+00:00,8.0,8,5,9,5c11a1133ae3e80024574926,8,8.0,8,0,7.1,8,2,8.0
2018-12-14T00:00:00.000+00:00,8.5,8,7,9,5c1444a03ae3e800245a8580,9,8.0,8,0,7.4,9,4,8.25
2018-12-15T00:00:00.000+00:00,8.5,8,8,9,5c1595933ae3e800235b4430,9,8.5,8,0,8.1,9,2,8.5
2018-12-16T00:00:00.000+00:00,8.0,8,8,9,5c16e70f3ae3e800245d8ef6,8,8.0,8,0,8.3,8,1,8.0
2018-12-17T00:00:00.000+00:00,19.0,19,3,19,5c1838f43ae3e800235e68c0,19,19.0,19,3,10.0,19,1,19.0
2018-12-17T00:00:00.000+00:00,8.0,7,7,9,5c1838f43ae3e800235e68bf,9,8.0,7,0,8.2,9,3,8.333
2018-12-19T00:00:00.000+00:00,6.0,7,5,9,5c1adb8d3ae3e8002462557e,7,5.0,5,0,7.8,5,3,5.667
2018-12-20T00:00:00.000+00:00,8.5,9,5,9,5c1c2d4b3ae3e80024640701,9,8.5,8,0,7.8,8,2,8.5
2018-12-21T00:00:00.000+00:00,8.0,8,5,9,5c1d7f2b3ae3e8002465a3fd,8,8.0,8,0,7.7,8,2,8.0
2018-12-22T00:00:00.000+00:00,9.0,9,3,19,5c1ed0303ae3e8002467437e,9,9.0,9,3,10.2,9,1,9.0
2018-12-22T00:00:00.000+00:00,7.5,6,5,9,5c1ed0303ae3e8002467437d,9,7.5,6,0,7.6,9,2,7.5
2018-12-23T00:00:00.000+00:00,7.5,7,6,9,5c2021953ae3e8002367c16c,8,7.0,7,0,7.5,7,4,7.25
2018-12-24T00:00:00.000+00:00,7.5,7,6,9,5c21730f3ae3e8002369633c,8,7.5,7,0,7.8,8,3,7.333
2018-12-25T00:00:00.000+00:00,8.0,8,6,9,5c22c48f3ae3e800236aee4b,8,8.0,8,0,7.7,8,4,8.0
2018-12-26T00:00:00.000+00:00,10.0,10,9,19,5c2416113ae3e800246dbdb2,10,10.0,10,3,10.2,10,1,10.0
2018-12-26T00:00:00.000+00:00,9.0,9,7,9,5c2416113ae3e800246dbdb1,9,9.0,9,0,7.9,9,2,9.0
2018-12-27T00:00:00.000+00:00,9.0,8,7,10,5c25681d3ae3e800236e2da2,10,9.0,8,0,8.2,10,3,9.0
2018-12-28T00:00:00.000+00:00,10.0,10,9,19,5c26b90e3ae3e800236fba39,10,10.0,10,3,11.6,10,1,10.0
2018-12-28T00:00:00.000+00:00,9.0,10,8,10,5c26b90e3ae3e800236fba38,10,9.0,8,0,8.5,8,2,9.0
2018-12-29T00:00:00.000+00:00,9.0,9,8,10,5c280b233ae3e8002472ccba,10,8.0,8,0,8.8,8,8,8.625
2018-12-30T00:00:00.000+00:00,9.0,8,8,10,5c295c103ae3e80024747459,10,8.5,8,0,9.0,8,5,8.8
2019-01-01T00:00:00.000+00:00,9.5,10,8,10,5c2bff733ae3e8002477ca82,10,9.5,9,0,9.1,10,5,9.6
2019-01-02T00:00:00.000+00:00,10.0,10,8,10,5c2d50b03ae3e800247976d4,10,10.0,10,0,9.3,10,2,10.0
2019-01-03T00:00:00.000+00:00,10.0,10,8,10,5c2ea24b3ae3e800247b2808,10,10.0,10,0,9.5,10,2,10.0
2019-01-04T00:00:00.000+00:00,9.5,10,9,10,5c2ff40f3ae3e800247ce232,10,10.0,9,0,9.6,9,3,9.667
2019-01-05T00:00:00.000+00:00,8.5,9,8,10,5c3145123ae3e800237ceb76,9,8.0,8,0,9.5,8,3,8.333
2019-01-06T00:00:00.000+00:00,10.0,10,8,10,5c3296ae3ae3e8002480434e,10,10.0,10,0,9.6,10,2,10.0
2019-01-07T00:00:00.000+00:00,15.0,15,9,15,5c33e8963ae3e80024820b25,15,15.0,15,3,12.6,15,4,15.0
2019-01-07T00:00:00.000+00:00,9.0,8,8,10,5c33e8963ae3e80024820b24,10,9.5,8,0,9.4,10,5,9.4
2019-01-08T00:00:00.000+00:00,15.0,15,10,15,5c3539913ae3e8002381eeb3,15,15.0,15,3,11.8,15,1,15.0
2019-01-08T00:00:00.000+00:00,10.0,10,8,10,5c3539913ae3e8002381eeb2,10,10.0,10,0,9.4,10,1,10.0
2019-01-09T00:00:00.000+00:00,10.0,10,8,10,5c368b733ae3e8002383ae49,10,10.0,10,0,9.5,10,4,10.0
2019-01-10T00:00:00.000+00:00,8.0,8,8,10,5c37dca93ae3e80023854789,8,8.0,8,0,9.4,8,1,8.0
2019-01-11T00:00:00.000+00:00,10.0,10,8,10,5c392ea73ae3e80023870a0c,10,10.0,10,0,9.4,10,2,10.0
