datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,14.0,14,11,19,5be4cec9fb166600220fe1ff,14,14.0,14,0,,14,1,14.0
2018-11-12T00:00:00.000+00:00,13.0,13,13,13,5bea1522fb1666002317fed6,13,13.0,13,3,,13,1,13.0
2018-11-13T00:00:00.000+00:00,12.5,15,10,15,5beb662bfb1666002216840a,15,14.0,10,0,14.4,10,3,13.0
2018-11-15T00:00:00.000+00:00,10.0,10,10,13,5bee0994fb166600231c2e02,10,10.0,10,3,,10,1,10.0
2018-11-15T00:00:00.000+00:00,14.0,14,10,15,5bee0994fb166600231c2e01,14,14.0,14,0,13.4,14,1,14.0
2018-11-16T00:00:00.000+00:00,15.0,15,10,15,5bef5b26fb166600231d9d01,15,15.0,15,0,13.6,15,1,15.0
2018-11-17T00:00:00.000+00:00,12.0,12,10,15,5bf0aca9fb166600231f1177,12,12.0,12,0,13.5,12,1,12.0
2018-11-18T00:00:00.000+00:00,14.0,10,10,18,5bf1fe12fb16660023208550,18,14.0,10,0,13.5,18,4,14.0
2018-11-19T00:00:00.000+00:00,14.0,14,10,18,5bf34f93fb166600221f0932,14,14.0,14,0,13.8,14,1,14.0
2018-11-20T00:00:00.000+00:00,10.0,10,10,18,5bf4a0e7fb16660023235bef,10,10.0,10,0,13.0,10,1,10.0
2018-11-22T00:00:00.000+00:00,15.0,15,10,15,5bf7437efb16660022233024,15,15.0,15,3,,15,1,15.0
2018-11-22T00:00:00.000+00:00,14.5,15,10,18,5bf7437efb16660022233023,15,15.0,14,0,12.9,14,3,14.667
2018-11-23T00:00:00.000+00:00,10.0,10,10,15,5bf89563fb1666002224a355,10,10.0,10,0,12.5,10,1,10.0
2018-11-25T00:00:00.000+00:00,13.5,12,10,15,5bfb3869fb16660022276d08,15,14.0,12,3,,14,3,13.667
2018-11-25T00:00:00.000+00:00,17.0,17,10,17,5bfb3869fb16660022276d07,17,17.0,17,0,13.1,17,1,17.0
2018-11-28T00:00:00.000+00:00,19.0,19,10,19,5bff2ca7fb166600232f0423,19,19.0,19,0,14.1,19,1,19.0
2018-11-29T00:00:00.000+00:00,15.0,15,10,19,5c007e51fb166600222ccf61,15,15.0,15,0,15.1,15,2,15.0
2018-11-30T00:00:00.000+00:00,10.0,10,10,19,5c01cfc5fb1666002331fb10,10,10.0,10,0,14.2,10,1,10.0
2018-12-01T00:00:00.000+00:00,19.0,19,10,19,5c032159fb16660023337883,19,19.0,19,0,16.0,19,1,19.0
2018-12-02T00:00:00.000+00:00,10.0,19,1,19,5c0472dcfb1666002230fd28,19,15.0,1,0,14.6,15,5,13.0
2018-12-03T00:00:00.000+00:00,13.0,11,1,19,5c05c454fb1666002336555d,15,13.0,11,0,13.4,15,2,13.0
2018-12-04T00:00:00.000+00:00,15.0,15,1,19,5c071576fb1666002233a265,15,15.0,15,0,13.4,15,1,15.0
2018-12-06T00:00:00.000+00:00,19.0,19,1,19,5c09b8e43ae3e800234e43d3,19,19.0,19,0,15.2,19,1,19.0
2018-12-07T00:00:00.000+00:00,17.0,17,10,17,5c0b0a4a3ae3e800244fb6c5,17,17.0,17,3,13.7,17,1,17.0
2018-12-08T00:00:00.000+00:00,15.0,15,11,19,5c0c5b863ae3e80024513112,15,15.0,15,0,14.4,15,1,15.0
2018-12-09T00:00:00.000+00:00,18.5,15,15,22,5c0dad223ae3e8002452bc76,22,15.0,15,0,16.1,22,3,17.333
2018-12-10T00:00:00.000+00:00,16.0,16,15,22,5c0efe783ae3e800245440f1,16,16.0,16,0,16.7,16,1,16.0
2018-12-12T00:00:00.000+00:00,15.0,15,12,17,5c11a1a13ae3e80024575de9,15,15.0,15,3,14.1,15,1,15.0
2018-12-15T00:00:00.000+00:00,10.0,10,10,22,5c1596133ae3e800245c1523,10,10.0,10,0,15.7,10,1,10.0
2018-12-16T00:00:00.000+00:00,20.0,20,10,22,5c16e78d3ae3e800245da0fe,20,20.0,20,0,15.9,20,1,20.0
2018-12-17T00:00:00.000+00:00,20.0,20,10,20,5c18398c3ae3e800235e7c19,20,20.0,20,0,16.9,20,1,20.0
2018-12-20T00:00:00.000+00:00,15.0,15,10,20,5c1c2e143ae3e8002363136a,15,15.0,15,0,16.2,15,1,15.0
2018-12-21T00:00:00.000+00:00,12.5,15,10,20,5c1d7fa33ae3e8002465b5eb,15,13.5,10,0,15.5,15,4,13.0
2018-12-22T00:00:00.000+00:00,12.0,10,10,20,5c1ed0f93ae3e80024675ebc,14,12.0,10,0,15.9,14,2,12.0
2018-12-23T00:00:00.000+00:00,12.5,15,10,15,5c2022163ae3e8002468f19f,15,15.0,10,0,14.4,10,3,13.333
2018-12-25T00:00:00.000+00:00,20.0,20,12,20,5c22c57a3ae3e800246c39ed,20,20.0,20,3,16.1,20,1,20.0
2018-12-25T00:00:00.000+00:00,10.0,10,10,15,5c22c57a3ae3e800246c39ec,10,10.0,10,0,12.4,10,1,10.0
2018-12-26T00:00:00.000+00:00,17.5,15,10,20,5c2416a63ae3e800236c97ef,20,15.0,15,0,12.9,20,3,16.667
2018-12-27T00:00:00.000+00:00,15.0,15,10,20,5c25689d3ae3e800236e3ffc,15,15.0,15,0,13.4,15,2,15.0
2018-12-28T00:00:00.000+00:00,15.0,15,10,20,5c26b98e3ae3e80024712124,15,15.0,15,0,14.0,15,1,15.0
2018-12-29T00:00:00.000+00:00,15.0,15,15,20,5c280ba03ae3e80023718782,15,15.0,15,3,16.1,15,1,15.0
2019-01-01T00:00:00.000+00:00,15.5,15,15,20,5c2c00033ae3e8002477df04,16,15.5,15,0,14.6,16,2,15.5
2019-01-03T00:00:00.000+00:00,15.0,15,15,16,5c2ea3163ae3e8002379a702,15,15.0,15,0,15.6,15,2,15.0
2019-01-06T00:00:00.000+00:00,15.0,15,15,16,5c3297863ae3e800248060f2,15,15.0,15,0,15.1,15,2,15.0
2019-01-08T00:00:00.000+00:00,15.0,15,15,20,5c353a133ae3e800238202e8,15,15.0,15,3,16.4,15,1,15.0
2019-01-09T00:00:00.000+00:00,15.0,15,15,16,5c368c1a3ae3e80024857b81,15,15.0,15,0,15.1,15,2,15.0
2019-01-10T00:00:00.000+00:00,15.0,15,15,15,5c37dd8c3ae3e80023856978,15,15.0,15,0,15.1,15,1,15.0
2019-01-11T00:00:00.000+00:00,20.0,20,15,20,5c392f313ae3e80023871de1,20,20.0,20,3,17.0,20,1,20.0
2019-01-12T00:00:00.000+00:00,15.0,15,15,15,5c3a80af3ae3e8002388d7d5,15,15.0,15,0,15.0,15,1,15.0
2019-01-16T00:00:00.000+00:00,14.0,14,14,15,5c3fc6053ae3e800238f7f05,14,14.0,14,0,14.8,14,1,14.0
2019-01-17T00:00:00.000+00:00,15.0,15,15,20,5c4118083ae3e8002493a2bc,15,15.0,15,3,17.0,15,1,15.0
2019-01-17T00:00:00.000+00:00,15.5,16,14,16,5c4118083ae3e8002493a2bb,16,15.0,15,0,14.9,15,3,15.333
2019-01-19T00:00:00.000+00:00,15.0,15,14,16,5c43bada3ae3e8002394c09b,15,15.0,15,0,14.9,15,1,15.0
2019-01-20T00:00:00.000+00:00,15.0,15,14,16,5c450c763ae3e800239671c7,15,15.0,15,0,14.9,15,1,15.0
2019-01-21T00:00:00.000+00:00,15.0,15,15,16,5c465dbe3ae3e80023982a57,15,15.0,15,0,14.9,15,1,15.0
2019-01-23T00:00:00.000+00:00,22.0,22,15,22,5c4901163ae3e800249e54e9,22,22.0,22,0,16.5,22,1,22.0
2019-01-25T00:00:00.000+00:00,14.5,15,14,22,5c4ba3ce3ae3e800239f1bbc,15,14.5,14,0,16.3,14,2,14.5
