datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-11T00:00:00.000+00:00,16.0,16,16,16,5be8c2b5fb1666002213ce4a,16,16.0,16,0,,16,1,16.0
2018-11-13T00:00:00.000+00:00,12.0,14,10,16,5beb65b6fb1666002216782d,14,12.0,10,0,,10,2,12.0
2018-11-17T00:00:00.000+00:00,20.0,20,20,20,5bf0ac46fb166600231f050e,20,20.0,20,3,,20,1,20.0
2018-11-18T00:00:00.000+00:00,10.0,10,10,16,5bf1fd54fb166600221d884f,10,10.0,10,0,,10,2,10.0
2018-11-21T00:00:00.000+00:00,13.0,13,10,16,5bf5f1d6fb1666002221c94f,13,13.0,13,0,,13,1,13.0
2018-11-22T00:00:00.000+00:00,13.0,13,10,14,5bf74328fb16660023262910,13,13.0,13,0,12.8,13,1,13.0
2018-11-29T00:00:00.000+00:00,19.0,19,10,19,5c007e0bfb166600222cc365,19,19.0,19,0,13.4,19,1,19.0
2018-11-30T00:00:00.000+00:00,8.0,8,8,19,5c01cf6afb166600222e1283,8,8.0,8,0,12.6,8,1,8.0
2018-12-06T00:00:00.000+00:00,9.0,9,8,19,5c09b8953ae3e800234e37d2,9,9.0,9,0,12.4,9,2,9.0
2018-12-07T00:00:00.000+00:00,10.0,10,10,20,5c0b09cc3ae3e800234f8eda,10,10.0,10,3,,10,1,10.0
2018-12-13T00:00:00.000+00:00,10.0,10,8,19,5c12f2b83ae3e80023581e9e,10,10.0,10,0,11.8,10,1,10.0
2018-12-21T00:00:00.000+00:00,15.0,15,8,15,5c1d7f483ae3e8002465a857,15,15.0,15,0,12.2,15,1,15.0
2018-12-24T00:00:00.000+00:00,20.0,20,9,20,5c2173313ae3e80023696789,20,20.0,20,0,12.4,20,1,20.0
2018-12-30T00:00:00.000+00:00,15.0,15,10,20,5c295c2d3ae3e800247478d4,15,15.0,15,0,13.8,15,1,15.0
2019-01-02T00:00:00.000+00:00,15.0,15,15,20,5c2d50eb3ae3e80024797f01,15,15.0,15,0,15.0,15,1,15.0
2019-01-07T00:00:00.000+00:00,15.0,15,15,20,5c33e8af3ae3e80024820fbe,15,15.0,15,0,16.0,15,1,15.0
2019-01-10T00:00:00.000+00:00,10.0,10,10,20,5c37dcdf3ae3e800238551a4,10,10.0,10,3,,10,1,10.0
2019-01-11T00:00:00.000+00:00,18.5,18,15,19,5c392ec93ae3e80023870ec4,19,18.5,18,0,16.7,19,2,18.5
2019-01-15T00:00:00.000+00:00,15.0,15,10,20,5c3e742e3ae3e800248ffea3,15,15.0,15,3,,15,1,15.0
2019-02-01T00:00:00.000+00:00,15.0,15,15,19,5c54de093ae3e80024ae4582,15,15.0,15,0,15.7,15,1,15.0
