datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-12T00:00:00.000+00:00,5.0,5,5,5,5bea1484fb1666002317eec8,5,5.0,5,0,,5,1,5.0
2018-11-13T00:00:00.000+00:00,10.0,10,5,10,5beb65cefb166600231950c5,10,10.0,10,0,,10,1,10.0
2018-11-14T00:00:00.000+00:00,14.0,14,5,14,5becb7c9fb166600231abc17,14,14.0,14,0,,14,1,14.0
2018-11-17T00:00:00.000+00:00,20.0,20,20,20,5bf0ac56fb166600221c1fd2,20,20.0,20,3,,20,1,20.0
2018-11-17T00:00:00.000+00:00,10.0,10,5,14,5bf0ac56fb166600221c1fd1,10,10.0,10,0,,10,1,10.0
2018-11-19T00:00:00.000+00:00,10.0,10,10,14,5bf34f47fb1666002321e848,10,10.0,10,0,9.8,10,1,10.0
2018-11-20T00:00:00.000+00:00,14.0,14,10,14,5bf4a0a7fb16660022206a73,14,14.0,14,0,11.6,14,2,14.0
2018-11-23T00:00:00.000+00:00,20.0,20,20,20,5bf894d1fb16660022248ea8,20,20.0,20,3,,20,1,20.0
2018-11-26T00:00:00.000+00:00,8.0,8,8,14,5bfc894cfb1666002228ba3a,8,8.0,8,0,11.2,8,1,8.0
2018-11-28T00:00:00.000+00:00,13.0,13,8,14,5bff2c35fb166600232ef3eb,13,13.0,13,0,11.0,13,1,13.0
2018-12-08T00:00:00.000+00:00,14.5,14,8,15,5c0c5b423ae3e8002350f710,15,14.5,14,0,11.9,15,2,14.5
2018-12-13T00:00:00.000+00:00,10.0,10,8,15,5c12f2b73ae3e8002458f784,10,10.0,10,0,11.9,10,1,10.0
2018-12-16T00:00:00.000+00:00,14.0,14,10,15,5c16e7443ae3e800235ce1bb,14,14.0,14,0,11.9,14,1,14.0
2018-12-19T00:00:00.000+00:00,14.0,14,10,15,5c1adbbe3ae3e80023617420,14,14.0,14,0,13.1,14,1,14.0
2018-12-22T00:00:00.000+00:00,14.0,14,10,14,5c1ed06b3ae3e80024674c48,14,14.0,14,0,13.3,14,1,14.0
2018-12-23T00:00:00.000+00:00,15.0,15,14,15,5c2021ca3ae3e8002468e683,15,15.0,15,0,13.4,15,1,15.0
2018-12-25T00:00:00.000+00:00,10.0,10,10,15,5c22c4db3ae3e800246c2597,10,10.0,10,0,13.4,10,1,10.0
2018-12-30T00:00:00.000+00:00,15.0,15,10,15,5c295c433ae3e8002373154a,15,15.0,15,0,13.6,15,1,15.0
2019-01-03T00:00:00.000+00:00,14.0,14,10,15,5c2ea2843ae3e800247b311c,14,14.0,14,0,13.6,14,1,14.0
2019-01-13T00:00:00.000+00:00,10.0,10,10,15,5c3bd1433ae3e800248c79fc,10,10.0,10,0,12.8,10,1,10.0
2019-01-14T00:00:00.000+00:00,13.0,13,10,15,5c3d22d63ae3e800248e4841,13,13.0,13,0,12.4,13,1,13.0
2019-01-20T00:00:00.000+00:00,10.0,10,10,14,5c450be73ae3e80023965e05,10,10.0,10,0,12.4,10,2,10.0
2019-01-26T00:00:00.000+00:00,9.0,9,9,13,5c4cf4e33ae3e80023a0d5a0,9,9.0,9,0,11.2,9,1,9.0
2019-02-02T00:00:00.000+00:00,10.0,10,9,13,5c562fda3ae3e80023acddf1,10,10.0,10,0,10.4,10,1,10.0
