datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,13.5,15,12,15,5be4ce47fb166600231234ca,15,13.5,12,0,,12,2,13.5
2018-11-09T00:00:00.000+00:00,5.0,5,5,15,5be61fa9fb16660023139a3b,5,5.0,5,0,12.1,5,1,5.0
2018-11-10T00:00:00.000+00:00,12.0,12,12,12,5be77146fb166600231514f4,12,12.0,12,3,,12,1,12.0
2018-11-15T00:00:00.000+00:00,13.0,13,5,15,5bee08f3fb16660022193aec,13,13.0,13,0,11.9,13,1,13.0
2018-11-16T00:00:00.000+00:00,14.0,14,5,15,5bef5abdfb166600231d900c,14,14.0,14,0,11.9,14,1,14.0
2018-11-18T00:00:00.000+00:00,13.0,13,5,14,5bf1fd28fb166600221d8312,13,13.0,13,0,11.7,13,2,13.0
2018-11-19T00:00:00.000+00:00,20.0,20,12,20,5bf34f32fb166600221efc3e,20,20.0,20,3,,20,1,20.0
2018-11-19T00:00:00.000+00:00,13.0,13,13,14,5bf34f32fb166600221efc3d,13,13.0,13,0,11.6,13,1,13.0
2018-11-21T00:00:00.000+00:00,15.0,15,13,15,5bf5f1bdfb1666002221c65e,15,15.0,15,0,13.6,15,1,15.0
2018-11-22T00:00:00.000+00:00,15.0,15,13,15,5bf74323fb16660023262871,15,15.0,15,0,14.0,15,1,15.0
2018-11-24T00:00:00.000+00:00,13.5,15,12,15,5bf9e634fb16660023290ca7,15,15.0,12,0,13.9,12,3,14.0
2018-11-26T00:00:00.000+00:00,12.0,12,12,15,5bfc8931fb1666002228b5ce,12,12.0,12,0,13.7,12,1,12.0
2018-12-01T00:00:00.000+00:00,10.0,10,10,15,5c0320d1fb1666002333657f,10,10.0,10,0,13.1,10,2,10.0
2018-12-02T00:00:00.000+00:00,14.0,15,10,15,5c047296fb1666002334de9b,15,14.0,13,0,12.9,13,2,14.0
2018-12-03T00:00:00.000+00:00,14.0,14,10,15,5c05c40bfb16660022324365,14,14.0,14,0,12.7,14,1,14.0
2018-12-04T00:00:00.000+00:00,15.0,15,10,15,5c071520fb16660023379e1b,15,15.0,15,0,13.0,15,1,15.0
2018-12-05T00:00:00.000+00:00,12.0,12,12,15,5c08669efb16660022350482,12,12.0,12,0,13.0,12,1,12.0
2018-12-06T00:00:00.000+00:00,10.0,10,10,15,5c09b8923ae3e800234e3739,10,10.0,10,0,13.0,10,1,10.0
2018-12-08T00:00:00.000+00:00,13.5,14,10,15,5c0c5b2a3ae3e80024512392,14,13.0,13,0,12.9,13,3,13.333
2018-12-09T00:00:00.000+00:00,14.0,14,10,14,5c0dacaa3ae3e8002352638d,14,14.0,14,0,12.9,14,1,14.0
2018-12-10T00:00:00.000+00:00,14.0,14,10,14,5c0efe213ae3e80024543358,14,14.0,14,0,12.7,14,1,14.0
2018-12-11T00:00:00.000+00:00,15.0,15,12,20,5c104fa23ae3e8002455bf7c,15,15.0,15,3,,15,1,15.0
2018-12-11T00:00:00.000+00:00,13.0,13,13,14,5c104fa23ae3e8002455bf7b,13,13.0,13,0,12.9,13,1,13.0
2018-12-12T00:00:00.000+00:00,14.0,14,13,14,5c11a12d3ae3e80024574c8c,14,14.0,14,0,13.7,14,1,14.0
2018-12-13T00:00:00.000+00:00,15.0,15,13,15,5c12f2a13ae3e80023581b92,15,15.0,15,0,14.0,15,1,15.0
2018-12-14T00:00:00.000+00:00,13.0,13,13,15,5c1444bb3ae3e800245a88f0,13,13.0,13,0,13.8,13,1,13.0
2018-12-16T00:00:00.000+00:00,15.0,15,13,15,5c16e7283ae3e800245d927e,15,15.0,15,0,14.0,15,1,15.0
2018-12-17T00:00:00.000+00:00,13.0,13,13,15,5c18390d3ae3e800235e6c37,13,13.0,13,0,14.0,13,2,13.0
2018-12-19T00:00:00.000+00:00,12.0,12,12,20,5c1adba53ae3e80024625915,12,12.0,12,3,,12,1,12.0
2018-12-19T00:00:00.000+00:00,15.0,15,13,15,5c1adba53ae3e80024625914,15,15.0,15,0,14.2,15,3,15.0
2018-12-21T00:00:00.000+00:00,15.0,15,13,15,5c1d7f443ae3e8002465a79b,15,15.0,15,0,14.2,15,1,15.0
2018-12-22T00:00:00.000+00:00,13.0,13,13,15,5c1ed0493ae3e80024674723,13,13.0,13,0,14.2,13,1,13.0
2018-12-23T00:00:00.000+00:00,20.0,20,12,20,5c2021af3ae3e8002367c516,20,20.0,20,3,15.8,20,2,20.0
2018-12-23T00:00:00.000+00:00,14.5,14,13,15,5c2021af3ae3e8002367c515,15,14.0,14,0,14.1,14,4,14.25
2018-12-25T00:00:00.000+00:00,13.0,13,13,15,5c22c4aa3ae3e800236af1e3,13,13.0,13,0,14.1,13,1,13.0
2018-12-27T00:00:00.000+00:00,13.0,13,12,20,5c2568333ae3e800236e3148,13,13.0,13,3,16.0,13,1,13.0
2018-12-28T00:00:00.000+00:00,10.0,10,10,20,5c26b9233ae3e800236fbddc,10,10.0,10,3,14.0,10,1,10.0
2018-12-28T00:00:00.000+00:00,13.5,13,13,15,5c26b9233ae3e800236fbddb,14,13.5,13,0,13.8,14,2,13.5
2018-12-29T00:00:00.000+00:00,14.0,15,13,15,5c280b3c3ae3e8002472d076,15,14.0,13,0,13.6,13,2,14.0
2018-12-30T00:00:00.000+00:00,15.0,15,13,15,5c295c273ae3e8002474781f,15,15.0,15,0,14.0,15,1,15.0
2018-12-31T00:00:00.000+00:00,15.0,15,13,15,5c2aada63ae3e8002374ad54,15,15.0,15,0,14.1,15,1,15.0
2019-01-01T00:00:00.000+00:00,18.0,18,10,20,5c2bff8a3ae3e8002477ce34,18,18.0,18,3,14.6,18,1,18.0
2019-01-02T00:00:00.000+00:00,15.0,15,10,18,5c2d50c73ae3e80024797a9e,15,15.0,15,3,15.2,15,1,15.0
2019-01-02T00:00:00.000+00:00,15.0,15,13,15,5c2d50c73ae3e80024797a9d,15,15.0,15,0,14.5,15,1,15.0
2019-01-04T00:00:00.000+00:00,15.5,15,15,16,5c2ff4233ae3e800247ce5f7,16,15.5,15,0,14.9,16,2,15.5
2019-01-06T00:00:00.000+00:00,12.0,12,12,16,5c3296c43ae3e80024804721,12,12.0,12,0,14.5,12,1,12.0
2019-01-07T00:00:00.000+00:00,12.0,12,12,16,5c33e8ab3ae3e80024820eff,12,12.0,12,0,13.9,12,1,12.0
2019-01-08T00:00:00.000+00:00,10.0,10,10,18,5c3539a73ae3e8002381f288,10,10.0,10,3,13.2,10,1,10.0
2019-01-08T00:00:00.000+00:00,20.0,20,12,20,5c3539a73ae3e8002381f287,20,20.0,20,0,14.9,20,1,20.0
2019-01-09T00:00:00.000+00:00,14.5,15,10,18,5c368b8a3ae3e8002383b233,15,14.5,14,3,13.5,14,2,14.5
2019-01-09T00:00:00.000+00:00,14.0,14,12,20,5c368b8a3ae3e8002383b232,14,14.0,14,0,14.7,14,1,14.0
2019-01-10T00:00:00.000+00:00,15.0,15,12,20,5c37dcbf3ae3e80023854b65,15,15.0,15,0,14.6,15,1,15.0
2019-01-12T00:00:00.000+00:00,13.0,13,10,15,5c3a80353ae3e8002388c66a,13,13.0,13,3,14.1,13,1,13.0
2019-01-12T00:00:00.000+00:00,15.0,15,14,20,5c3a80353ae3e8002388c669,15,15.0,15,0,15.2,15,2,15.0
2019-01-14T00:00:00.000+00:00,19.0,19,14,19,5c3d22ba3ae3e800248e42be,19,19.0,19,0,16.6,19,2,19.0
2019-01-16T00:00:00.000+00:00,17.0,17,15,19,5c3fc5a83ae3e800238f6f29,17,17.0,17,0,16.0,17,1,17.0
2019-01-21T00:00:00.000+00:00,17.0,17,15,19,5c465d2e3ae3e80023981572,17,17.0,17,0,16.6,17,1,17.0
2019-01-23T00:00:00.000+00:00,15.5,15,15,19,5c4900b63ae3e800249e44ff,16,15.0,15,0,16.7,16,3,15.333
2019-01-24T00:00:00.000+00:00,15.0,15,15,17,5c4a51a93ae3e800239d548c,15,15.0,15,0,16.7,15,1,15.0
2019-01-25T00:00:00.000+00:00,15.0,15,15,17,5c4ba3353ae3e800239f0b8f,15,15.0,15,0,15.9,15,1,15.0
2019-01-28T00:00:00.000+00:00,15.0,20,10,20,5c4f98333ae3e80024a7251d,20,15.0,10,3,13.5,10,2,15.0
2019-01-29T00:00:00.000+00:00,15.0,15,15,16,5c50e9543ae3e80024a8e14a,15,15.0,15,0,15.5,15,5,15.0
2019-02-01T00:00:00.000+00:00,15.0,15,15,15,5c54dde33ae3e80024ae3f39,15,15.0,15,0,15.1,15,1,15.0
