datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,2.0,2,1,4,5be37d2efb166600220e951a,2,2.0,2,2.4,2,4,2.0
2018-11-08T00:00:00.000+00:00,3.0,3,2,3,5be4ce7ffb166600220fd617,3,3.0,3,2.4,3,1,3.0
2018-11-09T00:00:00.000+00:00,2.5,2,2,3,5be61fd7fb1666002211156a,3,2.0,2,2.4,2,4,2.25
2018-11-10T00:00:00.000+00:00,1.5,2,1,3,5be77189fb16660023152037,2,2.0,1,2.2,1,11,1.727
2018-11-11T00:00:00.000+00:00,2.0,2,1,3,5be8c2bdfb16660023167ec2,3,2.0,1,2.2,1,6,2.0
2018-11-12T00:00:00.000+00:00,2.5,2,1,3,5bea14c1fb1666002317f479,3,2.0,2,2.3,2,4,2.25
2018-11-13T00:00:00.000+00:00,1.5,2,1,3,5beb65defb1666002319526d,2,1.0,1,2.0,1,3,1.333
2018-11-14T00:00:00.000+00:00,2.0,1,1,3,5becb7d3fb166600231abdc0,3,2.0,1,1.9,2,5,2.0
2018-11-15T00:00:00.000+00:00,2.5,3,1,4,5bee091afb166600231c1fff,4,2.0,1,2.1,1,10,1.9
2018-11-16T00:00:00.000+00:00,2.5,3,1,4,5bef5addfb166600221aaa53,3,2.0,2,2.2,2,5,2.2
2018-11-17T00:00:00.000+00:00,2.5,2,1,4,5bf0ac62fb166600221c2195,4,2.0,1,2.2,4,10,2.2
2018-11-18T00:00:00.000+00:00,2.0,2,1,4,5bf1fd93fb166600221d8f1d,3,2.0,1,2.3,2,5,2.0
2018-11-19T00:00:00.000+00:00,2.0,3,1,4,5bf34f53fb1666002321e9f8,3,2.0,1,2.3,1,7,1.857
2018-11-20T00:00:00.000+00:00,3.5,4,1,4,5bf4a0b1fb16660022206c23,4,3.5,3,2.5,3,2,3.5
2018-11-21T00:00:00.000+00:00,2.0,1,1,4,5bf5f22bfb1666002324c61e,3,2.0,1,2.4,2,9,2.111
2018-11-22T00:00:00.000+00:00,1.5,2,1,4,5bf74347fb16660023262d67,2,2.0,1,2.2,1,3,1.667
2018-11-23T00:00:00.000+00:00,2.5,2,1,4,5bf894eefb1666002224939f,4,2.0,1,2.3,1,9,2.556
2018-11-24T00:00:00.000+00:00,2.0,1,1,4,5bf9e66efb1666002225f9b3,3,1.0,1,2.3,1,10,1.5
2018-11-25T00:00:00.000+00:00,1.5,1,1,4,5bfb382bfb166600222763a4,2,2.0,1,1.9,2,3,1.667
2018-11-26T00:00:00.000+00:00,1.5,1,1,4,5bfc899dfb1666002228c42f,2,1.5,1,1.8,2,4,1.5
2018-11-27T00:00:00.000+00:00,3.5,2,1,5,5bfddabafb166600232d7b99,5,2.0,2,2.2,2,4,2.75
2018-11-28T00:00:00.000+00:00,2.0,2,1,5,5bff2c3ffb166600232ef5a3,2,2.0,2,2.1,2,1,2.0
2018-11-29T00:00:00.000+00:00,1.5,2,1,5,5c007e23fb166600233079e9,2,2.0,1,2.0,2,5,1.8
2018-11-30T00:00:00.000+00:00,3.5,2,1,5,5c01cf84fb166600222e16bf,5,3.0,2,2.4,3,13,3.077
2018-12-01T00:00:00.000+00:00,1.5,2,1,5,5c0320f0fb166600222f7e64,2,2.0,1,2.4,2,6,1.833
2018-12-02T00:00:00.000+00:00,2.5,1,1,5,5c0472a1fb1666002230f3d9,4,2.0,1,2.2,3,11,2.364
2018-12-03T00:00:00.000+00:00,2.0,1,1,5,5c05c41bfb16660023364c33,3,2.0,1,2.2,2,9,2.0
2018-12-04T00:00:00.000+00:00,2.0,3,1,4,5c071541fb1666002337a2dc,3,2.0,1,2.3,1,2,2.0
2018-12-05T00:00:00.000+00:00,2.5,3,1,4,5c0866bdfb1666002235093d,3,2.0,2,2.1,2,4,2.25
2018-12-06T00:00:00.000+00:00,3.5,5,1,5,5c09b8ad3ae3e800244e3fe5,5,2.0,2,2.5,2,5,2.6
2018-12-07T00:00:00.000+00:00,2.5,3,1,5,5c0b09e13ae3e800244fa8e6,3,2.0,2,2.5,3,9,2.333
2018-12-08T00:00:00.000+00:00,3.5,3,2,5,5c0c5b4d3ae3e8002350f8d4,4,4.0,3,2.8,4,9,3.667
2018-12-09T00:00:00.000+00:00,3.5,3,2,5,5c0daccc3ae3e800235268d9,5,3.0,2,3.1,3,13,3.231
2018-12-10T00:00:00.000+00:00,2.5,2,2,5,5c0efe423ae3e8002353d497,3,2.0,2,3.1,2,18,2.389
2018-12-11T00:00:00.000+00:00,3.5,2,2,5,5c104fd93ae3e8002355436e,5,3.0,2,3.1,2,9,3.111
2018-12-12T00:00:00.000+00:00,3.0,4,2,5,5c11a1543ae3e8002356bc9f,4,3.0,2,3.2,3,7,3.143
2018-12-13T00:00:00.000+00:00,2.5,3,2,5,5c12f2d43ae3e80023582333,3,2.5,2,3.0,2,6,2.5
2018-12-14T00:00:00.000+00:00,2.5,2,2,5,5c1444f33ae3e800245a8ee3,3,2.0,2,2.8,2,9,2.333
2018-12-15T00:00:00.000+00:00,3.0,3,1,5,5c1595cd3ae3e800245c0b53,5,3.0,1,2.9,4,15,3.4
2018-12-16T00:00:00.000+00:00,3.0,5,1,5,5c16e7503ae3e800235ce38d,5,3.0,1,2.8,4,16,3.0
2018-12-17T00:00:00.000+00:00,3.5,5,1,5,5c18393a3ae3e800245f39bc,5,4.0,2,2.9,4,17,3.471
2018-12-18T00:00:00.000+00:00,3.0,2,1,5,5c198a833ae3e8002460c915,4,3.0,2,3.0,2,7,2.714
2018-12-19T00:00:00.000+00:00,2.5,3,1,5,5c1adbca3ae3e80023617600,3,2.5,2,3.0,2,7,2.429
2018-12-20T00:00:00.000+00:00,4.0,4,2,5,5c1c2d9e3ae3e80024641228,5,4.0,3,3.2,5,5,4.0
2018-12-21T00:00:00.000+00:00,2.5,2,1,5,5c1d7f5b3ae3e8002364a620,4,2.0,1,3.1,2,4,2.25
2018-12-22T00:00:00.000+00:00,3.0,3,1,5,5c1ed0933ae3e80024675207,5,3.0,1,3.0,1,7,2.714
2018-12-23T00:00:00.000+00:00,2.5,2,1,5,5c2021d63ae3e8002367cadb,3,2.0,2,2.9,3,3,2.333
2018-12-24T00:00:00.000+00:00,2.0,2,1,5,5c21734f3ae3e80023696c8d,3,2.0,1,2.8,1,4,2.0
2018-12-25T00:00:00.000+00:00,2.5,2,1,5,5c22c4e73ae3e800246c2767,3,2.0,2,2.5,3,3,2.333
2018-12-26T00:00:00.000+00:00,3.5,2,1,5,5c24164e3ae3e800246dc70a,5,3.0,2,2.7,5,5,3.0
2018-12-27T00:00:00.000+00:00,2.0,1,1,5,5c25685d3ae3e800246f7b8e,3,2.0,1,2.5,1,7,2.0
2018-12-28T00:00:00.000+00:00,3.0,1,1,5,5c26b9503ae3e800236fc3a7,5,3.0,1,2.6,5,17,3.176
