datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,5.0,6,3,7,5be37d01fb1666002310d279,7,5.0,3,4.7,6,20,5.25
2018-11-08T00:00:00.000+00:00,5.0,4,3,7,5be4ce33fb1666002312317e,6,5.0,4,4.8,5,18,4.833
2018-11-09T00:00:00.000+00:00,5.0,5,3,7,5be61f8efb166600231396dc,6,5.0,4,5.0,5,19,5.0
2018-11-10T00:00:00.000+00:00,4.5,5,3,7,5be77132fb16660023151182,5,5.0,4,4.9,4,17,4.588
2018-11-11T00:00:00.000+00:00,5.0,5,3,7,5be8c289fb1666002213c7fb,7,5.0,3,4.9,5,27,5.111
2018-11-12T00:00:00.000+00:00,5.0,7,3,7,5bea1428fb166600221521d8,7,5.0,3,4.9,6,28,4.893
2018-11-13T00:00:00.000+00:00,6.0,7,3,8,5beb658ffb16660022167420,8,6.0,4,5.1,7,27,6.0
2018-11-14T00:00:00.000+00:00,5.5,5,3,8,5becb7a3fb1666002217e3a1,7,5.0,4,5.2,5,18,5.389
2018-11-15T00:00:00.000+00:00,5.5,4,3,8,5bee08ddfb16660022193797,7,5.0,4,5.4,7,30,5.167
2018-11-16T00:00:00.000+00:00,5.0,5,3,8,5bef5aa1fb166600231d8c91,7,5.0,3,5.4,7,27,5.037
2018-11-17T00:00:00.000+00:00,5.0,5,3,7,5bf0ac25fb166600231f00d1,7,5.0,3,5.4,3,37,5.243
2018-11-18T00:00:00.000+00:00,5.0,5,3,7,5bf1fd0dfb166600221d7f62,7,5.0,3,5.2,6,49,5.306
2018-11-19T00:00:00.000+00:00,6.0,5,3,8,5bf34f19fb166600221ef8a7,8,5.0,4,5.3,5,20,5.2
2018-11-20T00:00:00.000+00:00,5.5,5,3,8,5bf4a07ffb16660023234bad,8,5.0,3,5.3,5,34,5.235
2018-11-21T00:00:00.000+00:00,4.5,5,3,8,5bf5f1a8fb1666002221c2c3,6,5.0,3,5.2,5,15,4.667
2018-11-22T00:00:00.000+00:00,5.5,5,1,10,5bf74308fb166600232624e2,10,5.0,1,5.3,2,28,5.107
2018-11-23T00:00:00.000+00:00,5.0,5,1,10,5bf894a0fb166600222486aa,8,5.0,2,5.3,5,29,5.103
2018-11-24T00:00:00.000+00:00,5.0,5,1,10,5bf9e620fb166600232908f6,7,5.0,3,5.1,7,26,5.231
2018-11-25T00:00:00.000+00:00,5.0,5,1,10,5bfb37e3fb166600232a94ac,7,5.0,3,5.0,5,34,4.941
2018-11-26T00:00:00.000+00:00,5.0,3,2,8,5bfc891cfb1666002228b25d,7,5.0,3,5.1,7,29,5.241
2018-11-27T00:00:00.000+00:00,4.5,5,2,7,5bfdda87fb166600232d7338,7,4.0,2,4.9,5,25,4.56
2018-11-28T00:00:00.000+00:00,5.0,7,2,7,5bff2c08fb166600222b5ca1,7,5.0,3,4.9,7,25,5.04
2018-11-29T00:00:00.000+00:00,5.0,5,2,7,5c007deafb16660023307064,7,5.0,3,4.9,5,16,4.75
2018-11-30T00:00:00.000+00:00,6.5,5,2,10,5c01cf26fb166600222e09f6,10,5.0,3,5.2,3,27,5.593
2018-12-01T00:00:00.000+00:00,6.0,5,3,10,5c0320bcfb166600233361f6,8,6.0,4,5.4,4,32,5.844
2018-12-02T00:00:00.000+00:00,6.0,8,3,10,5c047283fb1666002334db0b,8,6.0,4,5.7,7,29,6.241
2018-12-03T00:00:00.000+00:00,5.5,6,3,10,5c05c3f6fb16660022323ff2,7,5.0,4,5.8,6,24,5.5
2018-12-04T00:00:00.000+00:00,6.0,7,4,8,5c071508fb16660023379aaf,8,6.0,4,6.0,8,33,6.03
2018-12-05T00:00:00.000+00:00,5.0,6,3,8,5c086687fb166600223500fb,7,5.0,3,5.7,5,21,5.19
2018-12-06T00:00:00.000+00:00,5.0,4,3,8,5c09b87c3ae3e800234e33b2,7,5.0,3,5.5,3,26,5.192
2018-12-07T00:00:00.000+00:00,5.0,5,3,8,5c0b098d3ae3e800244f9b6f,7,5.0,3,5.3,7,30,5.033
2018-12-08T00:00:00.000+00:00,6.0,7,3,8,5c0c5b0f3ae3e80024511fda,8,6.0,4,5.4,5,27,6.148
2018-12-09T00:00:00.000+00:00,5.0,4,3,8,5c0dac8e3ae3e80023525fa6,7,5.0,3,5.2,5,27,5.296
