datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,12.0,12,12,12,5be77135fb16660022126b69,12,12.0,12,3,,12,1,12.0
2018-11-13T00:00:00.000+00:00,18.0,18,12,18,5beb6597fb16660023194b3d,18,18.0,18,0,,18,1,18.0
2018-11-18T00:00:00.000+00:00,15.0,15,12,18,5bf1fd14fb16660023206bee,15,15.0,15,0,,15,1,15.0
2018-11-21T00:00:00.000+00:00,14.0,14,12,18,5bf5f1a6fb1666002324b419,14,14.0,14,0,,14,1,14.0
2018-11-26T00:00:00.000+00:00,15.0,15,14,18,5bfc890cfb1666002228aff2,15,15.0,15,0,15.1,15,1,15.0
2018-11-30T00:00:00.000+00:00,18.0,18,12,18,5c01cf23fb1666002331e61d,18,18.0,18,3,,18,1,18.0
2018-12-04T00:00:00.000+00:00,12.0,12,12,15,5c07150efb1666002233938b,12,12.0,12,0,14.8,12,1,12.0
2018-12-06T00:00:00.000+00:00,14.0,14,12,15,5c09b87e3ae3e800244e3885,14,14.0,14,0,14.0,14,1,14.0
2018-12-10T00:00:00.000+00:00,12.5,15,10,15,5c0efe113ae3e8002353ccc8,15,12.5,10,0,13.5,10,2,12.5
2018-12-15T00:00:00.000+00:00,14.0,14,10,15,5c1595963ae3e800245c0337,14,14.0,14,0,13.5,14,1,14.0
2018-12-16T00:00:00.000+00:00,14.0,14,10,15,5c16e7143ae3e800235cdb63,14,14.0,14,0,13.3,14,1,14.0
2018-12-17T00:00:00.000+00:00,20.0,20,12,20,5c1838e93ae3e800245f2ddc,20,20.0,20,3,,20,1,20.0
2018-12-23T00:00:00.000+00:00,15.0,15,10,15,5c2021993ae3e8002468dfda,15,15.0,15,0,13.9,15,1,15.0
2019-01-03T00:00:00.000+00:00,12.0,12,12,15,5c2ea2313ae3e800247b24ba,12,12.0,12,0,13.5,12,1,12.0
2019-01-04T00:00:00.000+00:00,20.0,20,12,20,5c2ff4063ae3e800237b4015,20,20.0,20,0,15.0,20,1,20.0
2019-01-06T00:00:00.000+00:00,15.0,15,12,20,5c3296993ae3e80024803fd5,15,15.0,15,0,15.2,15,1,15.0
2019-01-09T00:00:00.000+00:00,14.0,14,12,20,5c368b683ae3e80024856325,14,14.0,14,0,15.2,14,1,14.0
2019-01-12T00:00:00.000+00:00,15.0,15,14,20,5c3a80193ae3e800248ab7bb,15,15.0,15,0,15.2,15,1,15.0
2019-01-22T00:00:00.000+00:00,17.0,17,14,17,5c47ae933ae3e800249c6b01,17,17.0,17,0,16.2,17,1,17.0
