datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,9.0,9,2,9,5be37d0ffb166600220e9028,9,9.0,9,0,,9,1,9.0
2018-11-09T00:00:00.000+00:00,3.0,3,3,9,5be61fa8fb16660022111074,3,3.0,3,0,4.4,3,1,3.0
2018-11-10T00:00:00.000+00:00,3.0,3,3,9,5be7715dfb16660023151899,3,3.0,3,0,4.6,3,2,3.0
2018-11-11T00:00:00.000+00:00,3.0,3,3,9,5be8c29ffb166600231679a4,3,3.0,3,0,4.6,3,2,3.0
2018-11-12T00:00:00.000+00:00,3.0,3,3,3,5bea1469fb1666002317eb74,3,3.0,3,0,4.2,3,3,3.0
2018-11-14T00:00:00.000+00:00,2.5,3,2,3,5becb7acfb166600231ab8af,3,3.0,2,0,2.9,2,3,2.667
2018-11-15T00:00:00.000+00:00,2.0,2,2,3,5bee08f0fb166600231c1af7,2,2.0,2,0,2.7,2,1,2.0
2018-11-16T00:00:00.000+00:00,230.0,230,230,230,5bef5abafb166600221aa531,230,230.0,230,10,,230,1,230.0
2018-11-16T00:00:00.000+00:00,3.5,4,2,4,5bef5abafb166600221aa530,4,3.5,3,0,2.8,3,2,3.5
2018-11-17T00:00:00.000+00:00,5.0,5,2,5,5bf0ac3afb166600221c1c4a,5,5.0,5,0,3.2,5,1,5.0
2018-11-18T00:00:00.000+00:00,2.0,2,2,5,5bf1fd30fb166600221d8418,2,2.0,2,0,3.0,2,1,2.0
2018-11-19T00:00:00.000+00:00,3.0,3,2,5,5bf34f2dfb1666002321e4d5,3,3.0,3,0,3.1,3,1,3.0
2018-11-21T00:00:00.000+00:00,3.0,3,2,5,5bf5f1d1fb1666002324b9b9,3,3.0,3,0,3.3,3,1,3.0
2018-11-22T00:00:00.000+00:00,210.0,210,210,230,5bf74322fb166600222322fb,210,210.0,210,10,,210,1,210.0
2018-11-22T00:00:00.000+00:00,3.0,3,2,3,5bf74322fb166600222322fa,3,3.0,3,0,3.2,3,1,3.0
2018-11-23T00:00:00.000+00:00,3.0,3,3,3,5bf894bbfb16660022248b29,3,3.0,3,0,2.8,3,1,3.0
2018-11-24T00:00:00.000+00:00,3.5,3,3,4,5bf9e638fb1666002225f232,4,3.0,3,0,3.1,4,4,3.5
2018-11-26T00:00:00.000+00:00,2.5,2,2,4,5bfc8937fb1666002228b6c5,3,2.5,2,0,3.0,3,2,2.5
2018-11-27T00:00:00.000+00:00,3.5,5,2,5,5bfdda9efb166600222a0ba2,5,5.0,2,0,3.1,2,3,4.0
2018-11-28T00:00:00.000+00:00,2.0,3,1,5,5bff2c1dfb166600232ef086,3,2.0,1,0,2.9,1,2,2.0
2018-11-29T00:00:00.000+00:00,3.0,3,1,5,5c007e04fb166600233074d4,3,3.0,3,0,2.9,3,2,3.0
2018-12-01T00:00:00.000+00:00,3.5,4,1,5,5c0320d0fb166600222f7920,4,3.5,3,0,2.9,3,2,3.5
2018-12-03T00:00:00.000+00:00,3.0,3,1,4,5c05c3fcfb16660023364730,3,3.0,3,0,3.0,3,1,3.0
2018-12-04T00:00:00.000+00:00,3.0,3,3,4,5c07151ffb166600223395c6,3,3.0,3,0,2.9,3,3,3.0
2018-12-05T00:00:00.000+00:00,4.0,4,3,4,5c08669efb1666002338f5f8,4,4.0,4,0,3.3,4,1,4.0
2018-12-07T00:00:00.000+00:00,3.0,3,3,4,5c0b09c13ae3e800244fa386,3,3.0,3,0,3.3,3,2,3.0
2018-12-08T00:00:00.000+00:00,3.5,3,3,4,5c0c5b293ae3e8002350f37a,4,3.5,3,0,3.3,4,2,3.5
2018-12-09T00:00:00.000+00:00,3.5,5,2,5,5c0daca93ae3e8002452aada,5,3.0,2,0,3.4,3,4,3.0
2018-12-10T00:00:00.000+00:00,3.0,3,2,5,5c0efe203ae3e8002353cf10,3,3.0,3,0,3.4,3,1,3.0
2018-12-11T00:00:00.000+00:00,5.0,5,2,5,5c104fa13ae3e80023553a6d,5,5.0,5,0,3.6,5,1,5.0
2018-12-12T00:00:00.000+00:00,3.0,3,2,5,5c11a12d3ae3e8002356b723,3,3.0,3,0,3.6,3,1,3.0
2018-12-14T00:00:00.000+00:00,235.0,235,210,235,5c1444cc3ae3e8002359b373,235,235.0,235,10,,235,1,235.0
2018-12-15T00:00:00.000+00:00,3.0,4,2,5,5c1595a73ae3e800245c05a8,4,3.0,2,0,3.5,2,4,3.0
2018-12-16T00:00:00.000+00:00,250.0,250,210,250,5c16e7263ae3e800235cdde3,250,250.0,250,10,,250,1,250.0
2018-12-16T00:00:00.000+00:00,3.0,3,2,5,5c16e7263ae3e800235cdde2,3,3.0,3,0,3.4,3,2,3.0
2018-12-18T00:00:00.000+00:00,1.0,1,1,4,5c198a543ae3e800235fe1ca,1,1.0,1,0,3.0,1,1,1.0
