datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,3.0,3,2,7,5be37d51fb1666002310df50,3,3.0,3,0,3.8,3,1,3.0
2018-11-08T00:00:00.000+00:00,4.0,5,2,7,5be4ceb7fb166600220fdeef,5,4.0,3,0,4.0,3,2,4.0
2018-11-10T00:00:00.000+00:00,3.5,3,2,5,5be771b2fb1666002315269d,4,3.5,3,0,4.2,4,2,3.5
2018-11-13T00:00:00.000+00:00,10.0,10,10,10,5beb660afb166600221680fd,10,10.0,10,3,,10,1,10.0
2018-11-14T00:00:00.000+00:00,3.5,3,3,5,5becb804fb166600231ac3c9,4,3.0,3,0,3.5,3,4,3.25
2018-11-15T00:00:00.000+00:00,2.0,2,2,5,5bee097cfb166600231c2add,2,2.0,2,0,3.2,2,1,2.0
2018-11-16T00:00:00.000+00:00,4.0,4,2,4,5bef5b0afb166600231d99c6,4,4.0,4,0,3.4,4,1,4.0
2018-11-17T00:00:00.000+00:00,10.0,10,10,10,5bf0ac90fb166600231f0e4a,10,10.0,10,3,,10,1,10.0
2018-11-18T00:00:00.000+00:00,3.5,4,2,4,5bf1fdf9fb166600221d9b0b,4,3.5,3,0,3.3,3,2,3.5
2018-11-19T00:00:00.000+00:00,2.5,3,2,4,5bf34f7cfb166600221f05fb,3,3.0,2,0,3.1,3,4,2.75
2018-11-20T00:00:00.000+00:00,3.5,5,2,5,5bf4a0d3fb166600232358bd,5,3.5,2,0,3.1,2,7,2.857
2018-11-21T00:00:00.000+00:00,2.5,2,2,5,5bf5f254fb1666002221da3e,3,2.0,2,0,3.2,2,4,2.25
2018-11-22T00:00:00.000+00:00,3.0,3,2,5,5bf74369fb16660022232cf6,3,3.0,3,0,3.0,3,1,3.0
2018-11-23T00:00:00.000+00:00,4.0,5,2,5,5bf89550fb1666002224a033,5,4.0,3,0,3.1,3,4,4.25
2018-11-24T00:00:00.000+00:00,3.0,2,2,5,5bf9e6a2fb16660023291c0d,4,3.0,2,0,3.2,4,6,3.167
2018-11-25T00:00:00.000+00:00,7.5,10,5,10,5bfb3855fb166600222769dc,10,7.5,5,3,,5,2,7.5
2018-11-25T00:00:00.000+00:00,3.0,4,2,5,5bfb3855fb166600222769db,4,3.0,2,0,3.1,2,2,3.0
2018-11-27T00:00:00.000+00:00,5.0,5,2,5,5bfddad9fb166600222a1561,5,5.0,5,0,3.6,5,1,5.0
2018-11-30T00:00:00.000+00:00,3.5,4,2,5,5c01cfaefb166600222e1cd2,4,3.5,3,0,3.7,3,2,3.5
2018-12-01T00:00:00.000+00:00,3.0,3,2,5,5c03212efb166600233371b9,3,3.0,3,0,3.5,3,4,3.0
2018-12-05T00:00:00.000+00:00,3.0,3,3,5,5c0866f0fb166600233901b0,3,3.0,3,0,3.5,3,1,3.0
