datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,7.0,8,4,11,5be37d30fb1666002310d9dc,10,7.5,4,8.1,7,6,7.0
2018-11-08T00:00:00.000+00:00,9.0,8,4,10,5be4ce98fb166600220fd9aa,10,9.0,8,8.4,8,7,8.714
2018-11-09T00:00:00.000+00:00,8.0,6,4,10,5be61fd1fb16660023139e2e,10,8.0,6,8.2,10,5,8.4
2018-11-10T00:00:00.000+00:00,7.5,8,4,10,5be7718cfb16660022127888,8,8.0,7,8.0,8,4,7.75
2018-11-11T00:00:00.000+00:00,6.0,5,5,10,5be8c2e5fb1666002213d52a,7,6.0,5,7.5,6,7,5.857
2018-11-12T00:00:00.000+00:00,4.5,5,4,10,5bea14e1fb16660022153401,5,4.0,4,7.0,4,4,4.25
2018-11-13T00:00:00.000+00:00,6.0,5,4,8,5beb65d7fb16660022167b97,7,6.5,5,6.4,7,7,6.143
2018-11-14T00:00:00.000+00:00,6.5,8,4,8,5becb7dbfb1666002217eae9,8,8.0,5,6.1,5,5,6.8
2018-11-15T00:00:00.000+00:00,6.5,5,4,8,5bee094afb166600231c24ec,8,6.0,5,5.9,6,8,6.125
2018-11-16T00:00:00.000+00:00,7.0,5,4,10,5bef5ad9fb166600231d941c,10,7.5,4,6.1,6,15,7.4
2018-11-17T00:00:00.000+00:00,7.5,8,4,10,5bf0ac62fb166600231f08a1,8,7.0,7,6.7,8,9,7.444
2018-11-18T00:00:00.000+00:00,7.0,7,3,11,5bf1fdb7fb166600221d9307,11,8.0,3,6.9,5,17,7.588
2018-11-19T00:00:00.000+00:00,8.5,9,3,11,5bf34f52fb166600221f0073,10,9.0,7,7.3,9,8,9.0
2018-11-20T00:00:00.000+00:00,7.0,7,3,11,5bf4a0adfb16660023235348,9,7.0,5,7.4,7,10,6.9
2018-11-21T00:00:00.000+00:00,8.0,9,3,11,5bf5f230fb1666002221d4b7,10,8.0,6,7.6,6,8,7.875
2018-11-22T00:00:00.000+00:00,6.5,5,3,10,5bf74342fb1666002223275f,10,6.0,3,7.4,3,11,6.636
2018-11-23T00:00:00.000+00:00,8.0,6,3,10,5bf89534fb1666002327a195,10,8.0,6,7.6,7,7,7.857
2018-11-24T00:00:00.000+00:00,7.5,8,3,10,5bf9e67efb16660023291689,10,8.0,5,7.4,8,13,7.846
2018-11-25T00:00:00.000+00:00,8.0,7,3,10,5bfb3837fb166600232aa185,10,8.0,6,7.6,9,16,7.938
2018-11-26T00:00:00.000+00:00,8.5,8,5,10,5bfc89aafb166600232c119a,10,8.0,7,7.7,10,7,8.714
2018-11-27T00:00:00.000+00:00,7.0,9,4,10,5bfddab8fb166600222a0ff5,10,7.0,4,7.8,10,4,7.0
2018-11-28T00:00:00.000+00:00,7.0,10,4,10,5bff2c64fb166600222b6977,10,8.0,4,7.6,5,9,7.222
2018-11-29T00:00:00.000+00:00,7.5,8,4,10,5c007e1ffb166600222cc6db,10,8.0,5,7.6,9,9,7.667
2018-11-30T00:00:00.000+00:00,6.5,10,3,10,5c01cf82fb1666002331f258,10,8.0,3,7.3,8,20,7.9
2018-12-01T00:00:00.000+00:00,8.5,10,3,10,5c032101fb166600222f80d1,10,9.0,7,7.3,7,23,9.0
2018-12-02T00:00:00.000+00:00,8.0,8,3,10,5c0472acfb1666002334e2b4,10,8.0,6,7.5,8,9,8.333
2018-12-03T00:00:00.000+00:00,6.5,4,3,10,5c05c423fb16660022324763,9,6.5,4,7.4,6,8,6.5
2018-12-04T00:00:00.000+00:00,7.5,6,4,10,5c07153cfb16660022339a02,10,7.0,5,7.4,9,7,7.143
2018-12-05T00:00:00.000+00:00,8.0,8,4,10,5c0866ccfb1666002338fc54,10,8.0,6,7.7,10,6,8.0
2018-12-06T00:00:00.000+00:00,7.0,5,4,10,5c09b8aa3ae3e800234e3b39,9,7.0,5,7.4,8,8,7.25
2018-12-07T00:00:00.000+00:00,8.5,10,5,10,5c0b09e23ae3e800234f9262,10,8.0,7,7.5,8,6,8.5
2018-12-08T00:00:00.000+00:00,9.0,10,5,10,5c0c5b483ae3e800245127d0,10,10.0,8,8.0,8,3,9.333
2018-12-09T00:00:00.000+00:00,6.5,6,5,10,5c0dacc73ae3e8002452af70,8,6.0,5,7.8,5,5,6.4
2018-12-10T00:00:00.000+00:00,8.5,8,5,10,5c0efe3d3ae3e800245437bc,10,8.0,7,7.9,10,6,8.5
2018-12-11T00:00:00.000+00:00,8.5,10,5,10,5c104ff03ae3e8002455c98f,10,10.0,7,8.2,10,4,9.25
2018-12-12T00:00:00.000+00:00,7.5,8,5,10,5c11a14e3ae3e800245750e2,9,7.0,6,8.0,7,7,7.286
2018-12-13T00:00:00.000+00:00,6.5,5,3,10,5c12f2e53ae3e800235825f0,10,10.0,3,7.5,10,11,8.727
2018-12-14T00:00:00.000+00:00,8.0,10,3,10,5c1444ee3ae3e8002359b832,10,8.0,6,7.8,8,18,7.778
2018-12-15T00:00:00.000+00:00,7.5,5,3,10,5c1595c73ae3e800235b4c74,10,8.0,5,7.6,9,29,7.862
2018-12-16T00:00:00.000+00:00,8.0,9,3,10,5c16e74b3ae3e800245d9744,10,8.0,6,7.5,8,12,8.0
2018-12-17T00:00:00.000+00:00,6.5,3,3,10,5c18394b3ae3e800245f3c7e,10,7.0,3,7.3,10,12,7.167
2018-12-18T00:00:00.000+00:00,9.0,8,3,10,5c198a9c3ae3e8002460cbd8,10,9.0,8,7.8,9,7,9.286
2018-12-19T00:00:00.000+00:00,8.5,10,3,10,5c1adbc53ae3e80024625dd0,10,9.0,7,7.9,7,6,8.667
2018-12-20T00:00:00.000+00:00,7.5,7,3,10,5c1c2da73ae3e80023630463,8,8.0,7,7.9,8,3,7.667
2018-12-21T00:00:00.000+00:00,8.5,7,5,12,5c1d7f633ae3e8002465ac7b,12,8.0,5,8.0,10,15,7.867
2018-12-22T00:00:00.000+00:00,8.5,9,5,12,5c1ed0a63ae3e800246754d5,10,10.0,7,8.4,9,7,9.286
2018-12-23T00:00:00.000+00:00,7.5,9,5,12,5c2021d13ae3e8002468e783,10,8.5,5,8.1,10,16,8.312
2018-12-24T00:00:00.000+00:00,7.5,8,5,12,5c21734a3ae3e800246a8c18,10,8.0,5,7.9,10,13,8.385
2018-12-25T00:00:00.000+00:00,8.5,10,5,10,5c22c4e83ae3e800236afa14,10,8.0,7,8.1,8,8,8.375
2018-12-26T00:00:00.000+00:00,7.0,6,4,10,5c24164a3ae3e800236c89f3,10,8.0,4,7.8,8,21,8.333
2018-12-27T00:00:00.000+00:00,9.5,9,4,10,5c2568573ae3e800236e360b,10,10.0,9,8.0,10,6,9.667
2018-12-28T00:00:00.000+00:00,8.5,7,4,10,5c26b94c3ae3e80024711709,10,9.0,7,8.2,9,26,8.885
2018-12-29T00:00:00.000+00:00,8.5,10,4,10,5c280b5e3ae3e80023717d3f,10,10.0,7,8.4,10,10,9.4
2018-12-30T00:00:00.000+00:00,7.5,10,5,10,5c295c4a3ae3e80024747cf1,10,10.0,5,8.2,8,13,9.154
2018-12-31T00:00:00.000+00:00,8.5,10,5,10,5c2aadc33ae3e80024762b04,10,9.0,7,8.5,7,6,8.833
2019-01-01T00:00:00.000+00:00,9.5,7,5,12,5c2bffc93ae3e8002477d533,12,10.0,7,8.5,10,11,9.364
2019-01-02T00:00:00.000+00:00,8.5,10,5,12,5c2d512f3ae3e80024798891,10,10.0,7,8.5,8,13,9.154
2019-01-03T00:00:00.000+00:00,10.5,10,7,12,5c2ea29f3ae3e80023799763,12,10.0,9,8.9,9,8,9.875
2019-01-04T00:00:00.000+00:00,9.0,10,7,12,5c2ff45f3ae3e800237b4b80,10,9.0,8,9.2,8,10,9.1
2019-01-05T00:00:00.000+00:00,9.5,10,7,12,5c31454b3ae3e800237cf464,10,10.0,9,9.4,10,8,9.625
2019-01-06T00:00:00.000+00:00,9.5,10,6,13,5c32971d3ae3e80024805433,13,10.0,6,9.4,10,11,9.182
2019-01-07T00:00:00.000+00:00,9.5,10,6,13,5c33e8c83ae3e80024821400,11,10.0,8,9.6,10,7,9.571
2019-01-08T00:00:00.000+00:00,8.5,7,6,13,5c3539c63ae3e8002483b934,10,7.0,7,9.2,7,3,8.0
2019-01-09T00:00:00.000+00:00,9.5,10,6,13,5c368bdb3ae3e80024857146,10,10.0,9,9.3,9,5,9.6
2019-01-10T00:00:00.000+00:00,9.0,8,7,11,5c37dd073ae3e800248728b6,10,9.0,8,9.2,9,8,8.875
2019-01-11T00:00:00.000+00:00,7.5,6,5,10,5c392ee73ae3e80023871338,10,8.0,5,8.8,8,13,8.615
2019-01-12T00:00:00.000+00:00,10.0,10,5,12,5c3a80693ae3e8002388cd3d,12,10.0,8,8.9,9,14,9.857
2019-01-13T00:00:00.000+00:00,7.5,8,5,12,5c3bd1a03ae3e800248c8747,10,8.0,5,8.7,7,14,7.857
2019-01-14T00:00:00.000+00:00,9.0,10,5,12,5c3d23063ae3e800248e500d,10,9.0,8,8.6,10,6,9.0
