datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-10T00:00:00.000+00:00,35.0,35,15,65,5be77141fb166600231513e7,35,35.0,35,,35,1,35.0
2018-11-11T00:00:00.000+00:00,64.5,30,15,99,5be8c29afb1666002213ca6a,99,90.0,30,,99,4,79.5
2018-11-12T00:00:00.000+00:00,31.0,31,30,99,5bea143cfb1666002215243f,31,31.0,31,40.6,31,1,31.0
2018-11-13T00:00:00.000+00:00,45.0,50,30,99,5beb65a7fb16660022167680,50,40.0,40,46.6,40,3,43.333
2018-11-16T00:00:00.000+00:00,30.0,30,30,99,5bef5ab4fb166600231d8f04,30,30.0,30,41.1,30,1,30.0
2018-11-17T00:00:00.000+00:00,65.0,65,30,65,5bf0ac3afb166600231f0352,65,65.0,65,47.1,65,1,65.0
2018-11-18T00:00:00.000+00:00,30.0,30,30,65,5bf1fd21fb166600221d81ed,30,30.0,30,40.2,30,1,30.0
2018-11-19T00:00:00.000+00:00,50.0,50,30,65,5bf34f2cfb166600221efb24,50,50.0,50,44.0,50,2,50.0
2018-11-20T00:00:00.000+00:00,70.0,70,30,70,5bf4a08ffb16660023234e1e,70,70.0,70,49.0,70,1,70.0
2018-11-21T00:00:00.000+00:00,35.5,31,30,70,5bf5f1b8fb1666002221c541,40,35.5,31,50.1,40,2,35.5
2018-11-23T00:00:00.000+00:00,30.0,30,30,70,5bf894affb16660022248923,30,30.0,30,43.1,30,1,30.0
2018-11-24T00:00:00.000+00:00,62.0,62,30,70,5bf9e62efb16660023290b8b,62,62.0,62,49.5,62,1,62.0
2018-11-25T00:00:00.000+00:00,64.5,70,30,70,5bfb37f2fb166600232a971e,70,64.5,59,52.4,59,2,64.5
2018-11-26T00:00:00.000+00:00,70.0,70,30,70,5bfc892bfb1666002228b4c5,70,70.0,70,52.4,70,1,70.0
2018-11-29T00:00:00.000+00:00,54.0,54,54,70,5c007df8fb166600233072d7,54,54.0,54,56.1,54,1,54.0
2018-12-13T00:00:00.000+00:00,45.0,65,25,70,5c12f29c3ae3e80023581a7d,65,45.0,25,59.1,25,2,45.0
2018-12-14T00:00:00.000+00:00,39.0,39,25,70,5c1444b13ae3e800245a87d8,39,39.0,39,54.5,39,1,39.0
2018-12-16T00:00:00.000+00:00,40.0,40,25,65,5c16e7213ae3e800245d9165,40,40.0,40,49.6,40,1,40.0
2018-12-20T00:00:00.000+00:00,15.0,15,15,65,5c1c2d5a3ae3e8002464097c,15,15.0,15,38.6,15,1,15.0
2018-12-22T00:00:00.000+00:00,24.0,24,15,40,5c1ed0413ae3e800246745f8,24,24.0,24,32.6,24,1,24.0
2018-12-23T00:00:00.000+00:00,40.0,40,15,40,5c2021a83ae3e8002367c3e4,40,40.0,40,31.6,40,1,40.0
2018-12-26T00:00:00.000+00:00,32.5,25,15,40,5c2416243ae3e800246dc032,40,25.0,25,30.3,25,3,30.0
2018-12-27T00:00:00.000+00:00,45.0,45,24,45,5c25682c3ae3e800236e3023,45,45.0,45,31.3,45,1,45.0
2018-12-29T00:00:00.000+00:00,25.0,25,25,45,5c280b333ae3e8002472cf44,25,25.0,25,33.3,25,1,25.0
2018-12-31T00:00:00.000+00:00,42.5,35,25,50,5c2aada03ae3e8002374ac25,50,43.0,35,37.0,50,3,42.667
2019-01-06T00:00:00.000+00:00,49.0,49,25,50,5c3296be3ae3e800248045f2,49,49.0,49,38.8,49,1,49.0
2019-01-10T00:00:00.000+00:00,40.0,40,25,50,5c37dcb73ae3e80023854a21,40,40.0,40,40.3,40,1,40.0
2019-01-12T00:00:00.000+00:00,70.0,70,35,70,5c3a802e3ae3e8002388c522,70,70.0,70,45.3,70,1,70.0
2019-01-13T00:00:00.000+00:00,52.5,35,35,70,5c3bd1243ae3e800238a6bd3,70,55.0,35,50.8,70,3,53.333
2019-01-15T00:00:00.000+00:00,35.0,35,35,70,5c3e74233ae3e800248ffca4,35,35.0,35,49.3,35,1,35.0
2019-01-16T00:00:00.000+00:00,39.0,39,35,70,5c3fc5a13ae3e800238f6ddb,39,39.0,39,47.3,39,1,39.0
2019-01-17T00:00:00.000+00:00,50.0,50,35,70,5c4117223ae3e800239116c3,50,50.0,50,49.3,50,1,50.0
2019-01-21T00:00:00.000+00:00,60.0,60,35,60,5c465d273ae3e8002398142d,60,60.0,60,47.3,60,1,60.0
2019-01-30T00:00:00.000+00:00,55.0,50,39,60,5c523aa23ae3e80023a7954c,60,55.0,50,47.8,60,2,55.0
2019-01-31T00:00:00.000+00:00,60.0,60,50,60,5c538c233ae3e80024ac7765,60,60.0,60,52.8,60,1,60.0
2019-02-01T00:00:00.000+00:00,45.0,45,45,60,5c54dddc3ae3e80024ae3e02,45,45.0,45,54.0,45,1,45.0
2019-02-03T00:00:00.000+00:00,50.0,50,45,60,5c5780a13ae3e80023ae9dfe,50,50.0,50,54.0,50,1,50.0
