datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,2.0,2,1,3,5be37d37fb1666002310db27,2,2.0,2,0,2.1,2,1,2.0
2018-11-08T00:00:00.000+00:00,2.0,2,1,3,5be4ce9ffb166600220fdaef,2,2.0,2,0,2.0,2,1,2.0
2018-11-09T00:00:00.000+00:00,4.0,4,1,4,5be61fddfb16660023139f85,4,4.0,4,0,2.4,4,1,4.0
2018-11-10T00:00:00.000+00:00,2.0,1,1,4,5be77194fb166600221279da,3,2.0,1,0,2.4,3,3,2.0
2018-11-11T00:00:00.000+00:00,3.0,3,1,4,5be8c2eefb1666002213d67e,3,3.0,3,0,2.6,3,1,3.0
2018-11-12T00:00:00.000+00:00,1.5,2,1,4,5bea14ebfb1666002215354e,2,1.5,1,0,2.5,1,2,1.5
2018-11-13T00:00:00.000+00:00,2.0,2,1,3,5beb65e4fb16660022167cea,2,2.0,2,0,2.5,2,1,2.0
2018-11-14T00:00:00.000+00:00,2.0,2,1,3,5becb7e4fb1666002217ec37,2,2.0,2,0,2.1,2,2,2.0
2018-11-15T00:00:00.000+00:00,30.0,30,2,30,5bee0953fb166600231c263f,30,30.0,30,3,,30,1,30.0
2018-11-16T00:00:00.000+00:00,2.0,2,1,2,5bef5ae2fb166600231d9575,2,2.0,2,0,2.1,2,2,2.0
2018-11-17T00:00:00.000+00:00,2.0,2,2,2,5bf0ac6dfb166600231f0a04,2,2.0,2,0,1.9,2,1,2.0
2018-11-18T00:00:00.000+00:00,2.0,2,2,2,5bf1fdc1fb166600221d9462,2,2.0,2,0,2.0,2,2,2.0
2018-11-19T00:00:00.000+00:00,3.0,4,2,4,5bf34f5bfb166600221f01cb,4,3.0,2,0,2.2,2,2,3.0
2018-11-20T00:00:00.000+00:00,2.0,2,2,4,5bf4a0b7fb16660023235498,2,2.0,2,0,2.2,2,2,2.0
2018-11-22T00:00:00.000+00:00,2.5,3,2,4,5bf7434cfb166600222328bc,3,3.0,2,0,2.3,2,4,2.75
2018-11-23T00:00:00.000+00:00,2.0,2,2,4,5bf8953cfb1666002327a2e5,2,2.0,2,0,2.3,2,2,2.0
2018-11-24T00:00:00.000+00:00,10.0,10,2,30,5bf9e688fb166600232917df,10,10.0,10,3,,10,1,10.0
2018-11-24T00:00:00.000+00:00,2.5,2,2,3,5bf9e688fb166600232917de,3,2.5,2,0,2.4,3,2,2.5
2018-11-25T00:00:00.000+00:00,5.0,5,2,30,5bfb3840fb166600232aa2da,5,5.0,5,3,11.4,5,1,5.0
2018-11-25T00:00:00.000+00:00,2.5,3,2,3,5bfb3840fb166600232aa2d9,3,2.5,2,0,2.3,2,9,2.889
2018-11-26T00:00:00.000+00:00,3.0,3,2,4,5bfc89b2fb166600232c12f1,4,3.0,2,0,2.5,3,4,3.0
2018-11-28T00:00:00.000+00:00,3.0,3,2,4,5bff2c6cfb166600222b6ad3,3,3.0,3,0,2.6,3,1,3.0
2018-11-29T00:00:00.000+00:00,3.0,3,2,4,5c007e27fb166600222cc837,3,3.0,3,0,2.8,3,1,3.0
2018-11-30T00:00:00.000+00:00,3.0,3,2,4,5c01cf8cfb1666002331f3ac,3,3.0,3,0,2.9,3,1,3.0
2018-12-02T00:00:00.000+00:00,10.0,10,5,30,5c0472b4fb1666002334e415,10,10.0,10,3,11.4,10,1,10.0
2018-12-02T00:00:00.000+00:00,2.0,2,2,3,5c0472b4fb1666002334e414,2,2.0,2,0,2.8,2,2,2.0
2018-12-03T00:00:00.000+00:00,3.0,3,2,3,5c05c42afb166600223248b5,3,3.0,3,0,2.8,3,3,3.0
2018-12-05T00:00:00.000+00:00,2.0,2,2,3,5c0866d5fb1666002338fda6,2,2.0,2,0,2.6,2,1,2.0
2018-12-06T00:00:00.000+00:00,2.0,2,2,3,5c09b8b23ae3e800234e3c9b,2,2.0,2,0,2.4,2,1,2.0
2018-12-08T00:00:00.000+00:00,2.0,2,2,3,5c0c5b513ae3e8002451293a,2,2.0,2,0,2.2,2,2,2.0
2018-12-09T00:00:00.000+00:00,3.0,3,2,3,5c0dacd13ae3e8002452b0e6,3,3.0,3,0,2.4,3,2,3.0
2018-12-10T00:00:00.000+00:00,13.0,13,5,13,5c0efe473ae3e80024543937,13,13.0,13,3,13.6,13,1,13.0
2018-12-10T00:00:00.000+00:00,2.5,3,2,3,5c0efe473ae3e80024543936,3,2.5,2,0,2.3,2,2,2.5
2018-12-11T00:00:00.000+00:00,4.0,4,2,4,5c104ff93ae3e8002455cafa,4,4.0,4,0,2.7,4,1,4.0
2018-12-12T00:00:00.000+00:00,2.0,2,2,4,5c11a1583ae3e80024575256,2,2.0,2,0,2.7,2,1,2.0
2018-12-13T00:00:00.000+00:00,15.0,15,5,15,5c12f2ed3ae3e8002358275f,15,15.0,15,3,10.6,15,1,15.0
2018-12-14T00:00:00.000+00:00,3.0,3,2,4,5c1444f63ae3e8002359b99c,3,3.0,3,0,2.9,3,1,3.0
2018-12-16T00:00:00.000+00:00,2.0,2,2,4,5c16e7543ae3e800245d98c5,2,2.0,2,0,2.7,2,2,2.0
2018-12-17T00:00:00.000+00:00,15.0,15,10,15,5c1839543ae3e800245f3dff,15,15.0,15,3,11.6,15,1,15.0
2018-12-18T00:00:00.000+00:00,2.5,3,2,3,5c198aab3ae3e8002460cd53,3,2.5,2,0,2.7,2,2,2.5
2018-12-19T00:00:00.000+00:00,6.0,6,6,15,5c1adbcf3ae3e80024625f5c,6,6.0,6,3,11.8,6,1,6.0
2018-12-19T00:00:00.000+00:00,2.0,2,2,3,5c1adbcf3ae3e80024625f5b,2,2.0,2,0,2.3,2,3,2.0
2018-12-20T00:00:00.000+00:00,3.0,3,2,3,5c1c2db13ae3e800236305fd,3,3.0,3,0,2.5,3,1,3.0
2018-12-21T00:00:00.000+00:00,2.0,3,1,3,5c1d7f6c3ae3e8002465ae13,3,3.0,1,0,2.3,1,4,2.5
2018-12-22T00:00:00.000+00:00,2.5,2,1,3,5c1ed0b03ae3e80024675658,3,3.0,2,0,2.4,3,3,2.667
2018-12-23T00:00:00.000+00:00,2.5,2,1,3,5c2021db3ae3e8002468e917,3,3.0,2,0,2.4,3,3,2.667
2018-12-26T00:00:00.000+00:00,3.5,2,1,5,5c2416533ae3e800236c8b8c,5,2.5,2,0,2.7,5,11,2.818
2018-12-27T00:00:00.000+00:00,15.0,20,6,20,5c2568603ae3e800236e379b,20,15.0,10,3,12.8,10,2,15.0
2018-12-27T00:00:00.000+00:00,3.0,3,2,5,5c2568603ae3e800236e379a,3,3.0,3,0,2.7,3,1,3.0
2018-12-29T00:00:00.000+00:00,8.0,8,6,20,5c280b673ae3e80023717ed6,8,8.0,8,3,11.8,8,1,8.0
2018-12-29T00:00:00.000+00:00,2.0,2,2,5,5c280b673ae3e80023717ed5,2,2.0,2,0,2.7,2,10,2.0
2019-01-01T00:00:00.000+00:00,3.0,3,2,5,5c2bffd23ae3e8002477d6ba,3,3.0,3,0,2.8,3,2,3.0
2019-01-02T00:00:00.000+00:00,2.0,2,2,3,5c2d51383ae3e80024798a2c,2,2.0,2,0,2.7,2,3,2.0
2019-01-03T00:00:00.000+00:00,10.0,10,6,20,5c2ea2aa3ae3e800237998fe,10,10.0,10,3,10.8,10,1,10.0
2019-01-03T00:00:00.000+00:00,3.0,3,2,3,5c2ea2aa3ae3e800237998fd,3,3.0,3,0,2.6,3,2,3.0
2019-01-04T00:00:00.000+00:00,2.5,3,2,3,5c2ff4693ae3e800237b4d15,3,2.5,2,0,2.5,2,2,2.5
2019-01-05T00:00:00.000+00:00,2.5,2,2,3,5c3145553ae3e800237cf612,3,2.0,2,0,2.6,2,4,2.5
2019-01-06T00:00:00.000+00:00,2.5,3,2,3,5c3297263ae3e800248055cb,3,3.0,2,0,2.5,3,6,2.833
2019-01-08T00:00:00.000+00:00,3.0,3,2,3,5c3539d03ae3e8002483bacf,3,3.0,3,0,2.7,3,1,3.0
2019-01-10T00:00:00.000+00:00,10.0,10,8,20,5c37dd103ae3e80024872a4c,10,10.0,10,3,9.8,10,2,10.0
2019-01-10T00:00:00.000+00:00,2.5,3,2,3,5c37dd103ae3e80024872a4b,3,3.0,2,0,2.6,2,4,2.75
2019-01-12T00:00:00.000+00:00,10.0,10,8,10,5c3a80743ae3e8002388cee1,10,10.0,10,3,10.6,10,5,10.0
2019-01-12T00:00:00.000+00:00,4.0,4,2,4,5c3a80743ae3e8002388cee0,4,4.0,4,0,2.9,4,1,4.0
2019-01-13T00:00:00.000+00:00,2.5,2,2,4,5c3bd1aa3ae3e800248c88eb,3,2.5,2,0,2.9,3,2,2.5
2019-01-14T00:00:00.000+00:00,6.0,3,2,9,5c3d230e3ae3e800248e51a3,9,3.0,3,0,3.6,9,3,5.0
2019-01-15T00:00:00.000+00:00,2.0,3,1,9,5c3e74523ae3e8002490049b,3,2.0,1,0,3.4,2,4,2.0
2019-01-16T00:00:00.000+00:00,3.0,3,1,9,5c3fc5cd3ae3e800238f75fb,3,3.0,3,0,3.5,3,1,3.0
2019-01-17T00:00:00.000+00:00,2.0,3,1,9,5c4117d73ae3e80023913037,3,2.0,1,0,3.1,1,3,2.0
2019-01-18T00:00:00.000+00:00,2.5,2,1,3,5c4269263ae3e8002392e520,3,2.0,2,0,3.1,2,3,2.333
2019-01-19T00:00:00.000+00:00,3.0,3,1,3,5c43ba933ae3e8002394b4df,3,3.0,3,0,2.5,3,1,3.0
2019-01-20T00:00:00.000+00:00,3.0,3,1,4,5c450c143ae3e80023966531,4,3.0,2,0,2.7,3,7,2.857
2019-01-21T00:00:00.000+00:00,2.5,3,2,4,5c465d5a3ae3e800249abdd4,3,2.0,2,0,2.6,2,3,2.333
2019-01-22T00:00:00.000+00:00,2.0,2,2,4,5c47af243ae3e800249c8050,2,2.0,2,0,2.6,2,2,2.0
2019-01-23T00:00:00.000+00:00,10.0,10,10,10,5c4900df3ae3e800249e4bd0,10,10.0,10,3,9.6,10,1,10.0
2019-01-23T00:00:00.000+00:00,3.0,3,2,4,5c4900df3ae3e800249e4bcf,3,3.0,3,0,2.7,3,5,3.0
2019-01-24T00:00:00.000+00:00,15.0,15,10,15,5c4a51e73ae3e800239d5df6,15,15.0,15,3,11.0,15,1,15.0
2019-01-24T00:00:00.000+00:00,2.5,3,2,3,5c4a51e73ae3e800239d5df5,3,2.5,2,0,2.6,2,2,2.5
2019-01-25T00:00:00.000+00:00,2.5,3,2,3,5c4ba3703ae3e800239f1274,3,3.0,2,0,2.5,2,3,2.667
2019-01-26T00:00:00.000+00:00,8.0,8,8,15,5c4cf5263ae3e80024a3933a,8,8.0,8,3,10.6,8,1,8.0
2019-01-27T00:00:00.000+00:00,3.5,3,2,4,5c4e468d3ae3e80023a29c80,4,3.0,3,0,2.7,3,3,3.333
2019-01-29T00:00:00.000+00:00,3.0,4,2,4,5c50e9913ae3e80024a8eae0,4,2.0,2,0,2.9,2,3,2.667
2019-01-30T00:00:00.000+00:00,3.0,3,2,4,5c523ad23ae3e80024aaac75,3,3.0,3,0,2.9,3,2,3.0
2019-01-31T00:00:00.000+00:00,3.0,3,2,4,5c538c753ae3e80023a94c1e,3,3.0,3,0,3.0,3,1,3.0
2019-02-01T00:00:00.000+00:00,2.0,2,2,4,5c54de503ae3e80024ae4f8d,2,2.0,2,0,2.9,2,1,2.0
2019-02-02T00:00:00.000+00:00,3.0,3,2,3,5c562fe93ae3e80023ace0b7,3,3.0,3,0,2.8,3,3,3.0
2019-02-03T00:00:00.000+00:00,10.0,10,8,15,5c5780e43ae3e80023aea90a,10,10.0,10,3,10.6,10,1,10.0
2019-02-03T00:00:00.000+00:00,3.0,3,2,3,5c5780e43ae3e80023aea909,3,3.0,3,0,2.8,3,1,3.0
