datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,6.0,7,3,8,5be37d67fb166600220e9da2,8,6.0,4,5.4,5,57,6.14
2018-11-08T00:00:00.000+00:00,5.0,6,4,8,5be4cecdfb166600231247cc,6,5.0,4,5.4,5,27,5.148
2018-11-09T00:00:00.000+00:00,6.0,8,4,8,5be6201ffb16660022111e06,8,6.0,4,5.6,5,45,5.956
2018-11-10T00:00:00.000+00:00,5.0,5,3,8,5be771cafb1666002212823b,7,5.0,3,5.4,5,81,5.333
2018-11-11T00:00:00.000+00:00,5.0,7,3,8,5be8c33efb1666002213e212,7,5.0,3,5.4,5,82,5.22
2018-11-12T00:00:00.000+00:00,5.0,5,3,8,5bea1522fb16660022153c76,7,5.0,3,5.2,5,69,5.333
2018-11-13T00:00:00.000+00:00,6.0,4,2,10,5beb6639fb16660023195afc,10,5.0,2,5.4,6,64,5.031
2018-11-14T00:00:00.000+00:00,8.0,5,2,13,5becb818fb166600231ac6e6,13,5.0,3,5.8,4,61,5.328
2018-11-15T00:00:00.000+00:00,5.0,7,2,13,5bee0997fb16660022194c3e,8,5.0,2,5.8,5,61,5.279
2018-11-16T00:00:00.000+00:00,8.5,6,2,14,5bef5b2efb166600221ab33d,14,5.0,3,6.5,5,74,5.432
2018-11-17T00:00:00.000+00:00,6.5,4,2,14,5bf0acb0fb166600221c2a7d,10,5.0,3,6.8,5,93,5.097
2018-11-18T00:00:00.000+00:00,5.0,5,2,14,5bf1fe1efb16660023208737,7,5.0,3,6.6,5,80,5.225
2018-11-19T00:00:00.000+00:00,4.5,4,3,14,5bf34f99fb1666002321f2cf,6,5.0,3,5.9,5,47,4.915
2018-11-20T00:00:00.000+00:00,5.0,5,3,10,5bf4a0eefb166600222074c2,7,5.0,3,5.9,6,48,5.333
2018-11-21T00:00:00.000+00:00,6.0,7,3,8,5bf5f273fb1666002221de0f,8,6.0,4,5.4,5,34,6.176
2018-11-22T00:00:00.000+00:00,5.5,4,2,9,5bf74387fb16660023263621,9,5.0,2,5.2,4,49,4.653
2018-11-23T00:00:00.000+00:00,4.5,4,2,9,5bf89567fb1666002327a9ab,6,4.0,3,5.1,5,37,4.27
2018-11-24T00:00:00.000+00:00,4.5,3,2,9,5bf9e6d9fb16660023292499,6,5.0,3,5.1,5,40,4.45
2018-11-25T00:00:00.000+00:00,6.5,10,2,10,5bfb386dfb166600232aa9b0,10,5.0,3,5.4,5,46,4.891
2018-11-26T00:00:00.000+00:00,4.5,4,3,10,5bfc89ddfb166600232c19b7,5,5.0,4,5.1,4,29,4.69
2018-11-27T00:00:00.000+00:00,6.0,5,2,10,5bfddaf1fb166600232d845b,10,5.0,2,5.2,2,39,4.615
2018-11-28T00:00:00.000+00:00,4.5,5,2,10,5bff2cbcfb166600232f0741,6,4.0,3,5.2,5,29,4.31
2018-11-29T00:00:00.000+00:00,4.0,5,2,10,5c007e58fb16660023308299,5,4.0,3,5.1,3,28,4.25
2018-11-30T00:00:00.000+00:00,5.0,4,2,10,5c01cfd0fb1666002331fcc7,7,5.0,3,4.8,5,46,4.696
2018-12-01T00:00:00.000+00:00,5.5,5,1,10,5c032163fb166600222f8e51,10,5.0,1,5.0,3,56,4.786
2018-12-02T00:00:00.000+00:00,6.0,5,1,10,5c0472e0fb1666002334eaef,10,5.0,2,5.0,5,54,5.278
2018-12-03T00:00:00.000+00:00,4.0,5,1,10,5c05c454fb16660022324f59,5,5.0,3,4.9,5,24,4.667
2018-12-04T00:00:00.000+00:00,5.0,4,1,10,5c07157dfb1666002337ab77,8,5.0,2,5.1,5,27,4.667
2018-12-05T00:00:00.000+00:00,3.5,5,2,10,5c08672dfb166600223516dc,5,4.0,2,4.8,4,29,4.241
2018-12-06T00:00:00.000+00:00,4.5,5,2,8,5c09b8eb3ae3e800244e48b6,6,5.0,3,4.6,3,29,4.517
2018-12-07T00:00:00.000+00:00,6.5,4,2,10,5c0b0a563ae3e800234fa1cc,10,5.0,3,4.7,5,26,4.654
2018-12-08T00:00:00.000+00:00,6.0,5,2,10,5c0c5b8d3ae3e800235101e1,10,5.0,2,5.1,4,41,4.829
2018-12-09T00:00:00.000+00:00,4.5,4,2,10,5c0dad2d3ae3e8002452be64,6,5.0,3,5.0,4,30,4.633
2018-12-10T00:00:00.000+00:00,4.5,4,2,10,5c0efe7f3ae3e8002353dda0,6,5.0,3,5.2,3,46,4.5
2018-12-11T00:00:00.000+00:00,6.5,4,2,10,5c1050703ae3e8002355562a,10,5.0,3,5.6,5,33,4.758
2018-12-12T00:00:00.000+00:00,4.0,4,3,10,5c11a1c23ae3e8002356cb49,5,5.0,3,5.1,5,24,4.625
2018-12-13T00:00:00.000+00:00,4.5,5,2,10,5c12f3523ae3e80023583715,7,5.0,2,4.8,4,42,4.619
2018-12-14T00:00:00.000+00:00,5.5,6,2,10,5c1445313ae3e800245a9844,8,5.0,3,5.0,5,48,4.938
2018-12-15T00:00:00.000+00:00,4.0,5,2,8,5c1596203ae3e800245c1713,6,5.0,2,4.9,5,42,4.667
2018-12-16T00:00:00.000+00:00,5.0,7,2,8,5c16e7953ae3e800235ced3a,7,5.0,3,4.6,4,45,4.822
2018-12-17T00:00:00.000+00:00,5.0,2,2,8,5c1839933ae3e800245f47b2,8,5.0,2,4.8,5,39,4.744
2018-12-18T00:00:00.000+00:00,4.5,5,2,8,5c198b4b3ae3e800235ffa8b,6,4.0,3,4.8,4,21,4.286
2018-12-19T00:00:00.000+00:00,6.5,4,2,10,5c1adc0e3ae3e80023617ffb,10,4.0,3,5.0,4,23,4.304
2018-12-20T00:00:00.000+00:00,3.5,4,2,10,5c1c2e1b3ae3e8002464217c,5,4.0,2,4.9,2,24,3.833
2018-12-21T00:00:00.000+00:00,4.0,4,2,10,5c1d7fa43ae3e8002364b0db,5,4.0,3,4.7,3,27,4.296
2018-12-22T00:00:00.000+00:00,5.0,5,2,10,5c1ed10b3ae3e80023663ccf,7,5.0,3,4.7,4,38,4.447
2018-12-23T00:00:00.000+00:00,5.0,4,2,7,5c20221f3ae3e8002367d501,6,5.0,4,4.8,4,42,4.69
2018-12-24T00:00:00.000+00:00,3.5,4,2,7,5c21738e3ae3e80023697683,5,5.0,2,4.2,4,40,4.3
2018-12-25T00:00:00.000+00:00,4.5,5,2,7,5c22c57d3ae3e800236b0d2f,5,4.5,4,4.4,5,16,4.5
2018-12-26T00:00:00.000+00:00,4.5,5,2,6,5c2416ac3ae3e800246dd315,6,5.0,3,4.5,5,26,4.5
2018-12-27T00:00:00.000+00:00,4.0,4,2,6,5c2568a63ae3e800246f857e,6,4.0,2,4.3,4,32,4.375
2018-12-28T00:00:00.000+00:00,4.5,4,2,6,5c26b9983ae3e800236fcdd8,6,5.0,3,4.2,5,35,4.829
2018-12-29T00:00:00.000+00:00,6.0,5,2,10,5c280bab3ae3e8002472e072,10,5.0,2,4.7,4,32,5.062
2018-12-30T00:00:00.000+00:00,6.0,4,2,10,5c295caa3ae3e8002373241d,10,5.0,2,5.0,6,44,4.977
2018-12-31T00:00:00.000+00:00,5.5,5,2,10,5c2aae093ae3e8002374bd36,7,5.0,4,5.2,5,27,5.111
2019-01-01T00:00:00.000+00:00,4.0,6,2,10,5c2c00093ae3e80023767477,6,4.0,2,5.2,5,22,3.955
2019-01-02T00:00:00.000+00:00,5.0,5,2,10,5c2d519e3ae3e80023780a8b,7,5.0,3,5.3,5,33,4.848
