datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,70.0,50,40,90,5be37d3ffb1666002310dc3f,90,67.5,50,5,66.5,65,4,68.75
2018-11-07T00:00:00.000+00:00,55.5,55,46,65,5be37d3ffb1666002310dc3e,65,55.0,46,0,55.6,50,32,54.469
2018-11-08T00:00:00.000+00:00,55.0,50,40,90,5be4cea5fb166600220fdbfc,60,55.0,50,5,65.5,55,3,55.0
2018-11-08T00:00:00.000+00:00,56.0,55,46,65,5be4cea5fb166600220fdbfb,65,55.0,47,0,55.8,55,37,54.676
2018-11-09T00:00:00.000+00:00,57.5,55,50,90,5be61fe6fb1666002313a099,60,57.5,55,5,60.5,60,5,56.0
2018-11-09T00:00:00.000+00:00,55.0,45,45,65,5be61fe6fb1666002313a098,65,55.0,45,0,55.8,50,41,56.878
2018-11-10T00:00:00.000+00:00,91.0,90,50,92,5be7719bfb16660022127ae7,92,90.0,90,5,65.7,90,3,90.667
2018-11-10T00:00:00.000+00:00,60.0,60,45,70,5be7719bfb16660022127ae6,70,60.0,50,0,56.8,69,83,59.253
2018-11-11T00:00:00.000+00:00,81.5,70,50,98,5be8c2f5fb1666002213d792,98,79.0,65,5,71.0,70,11,87.909
2018-11-11T00:00:00.000+00:00,64.5,70,45,75,5be8c2f5fb1666002213d791,75,65.0,54,0,58.2,60,74,63.851
2018-11-12T00:00:00.000+00:00,60.0,60,55,98,5bea14f3fb16660022153658,60,60.0,60,5,69.0,60,1,60.0
2018-11-12T00:00:00.000+00:00,59.5,65,45,75,5bea14f3fb16660022153657,69,59.0,50,0,59.0,60,44,59.795
2018-11-13T00:00:00.000+00:00,62.5,80,45,98,5beb65edfb16660022167dfa,80,54.0,45,5,70.5,45,5,57.8
2018-11-13T00:00:00.000+00:00,61.0,60,48,75,5beb65edfb16660022167df9,74,60.0,48,0,60.0,60,55,60.218
2018-11-14T00:00:00.000+00:00,72.5,70,45,98,5becb7ecfb1666002217ed4e,90,63.0,55,5,73.5,55,7,74.0
2018-11-14T00:00:00.000+00:00,60.0,65,46,75,5becb7ecfb1666002217ed4d,74,60.0,46,0,61.0,65,46,60.87
2018-11-15T00:00:00.000+00:00,66.5,60,45,90,5bee095bfb166600231c2751,75,69.5,58,5,68.6,70,8,66.5
2018-11-15T00:00:00.000+00:00,65.0,70,46,75,5bee095bfb166600231c2750,75,65.0,55,0,62.0,69,54,64.13
2018-11-16T00:00:00.000+00:00,70.0,80,45,90,5bef5aecfb166600231d9691,80,66.5,60,5,66.3,63,6,68.833
2018-11-16T00:00:00.000+00:00,59.5,60,46,75,5bef5aecfb166600231d9690,69,60.0,50,0,61.0,50,35,60.543
2018-11-17T00:00:00.000+00:00,87.5,60,55,120,5bf0ac75fb166600231f0b26,120,85.0,55,5,71.8,120,6,84.167
2018-11-17T00:00:00.000+00:00,58.5,70,46,75,5bf0ac75fb166600231f0b25,70,64.0,47,0,60.8,68,48,61.958
2018-11-18T00:00:00.000+00:00,80.0,70,51,120,5bf1fdc9fb166600221d9584,109,85.0,51,5,75.3,90,5,81.0
2018-11-18T00:00:00.000+00:00,63.0,60,47,75,5bf1fdc9fb166600221d9583,67,65.0,59,0,61.2,65,48,62.979
2018-11-19T00:00:00.000+00:00,95.0,120,51,120,5bf34f65fb166600221f02e4,120,100.0,70,5,79.8,70,5,94.0
2018-11-19T00:00:00.000+00:00,63.0,60,47,75,5bf34f65fb166600221f02e3,75,67.5,51,0,61.8,65,30,65.833
2018-11-20T00:00:00.000+00:00,102.5,120,51,130,5bf4a0befb166600232355b6,130,97.5,75,5,87.0,75,6,100.0
2018-11-20T00:00:00.000+00:00,67.5,70,47,75,5bf4a0befb166600232355b5,75,68.5,60,0,62.3,65,35,67.229
