datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,2.0,2,1,2,5be37d05fb1666002310d30e,2,2.0,2,0,,2,1,2.0
2018-11-12T00:00:00.000+00:00,2.0,2,1,2,5bea142dfb1666002215226a,2,2.0,2,0,,2,2,2.0
2018-11-13T00:00:00.000+00:00,4.0,3,1,5,5beb6596fb166600221674ad,5,4.0,3,0,2.2,5,2,4.0
2018-11-17T00:00:00.000+00:00,4.0,4,2,5,5bf0ac2bfb166600231f016b,4,4.0,4,0,2.6,4,1,4.0
2018-11-18T00:00:00.000+00:00,10.0,10,10,10,5bf1fd14fb166600221d8002,10,10.0,10,5,,10,1,10.0
2018-11-18T00:00:00.000+00:00,2.0,2,2,5,5bf1fd14fb166600221d8001,2,2.0,2,0,2.8,2,1,2.0
2018-11-21T00:00:00.000+00:00,5.0,5,2,5,5bf5f1acfb1666002221c35b,5,5.0,5,0,3.4,5,1,5.0
2018-11-22T00:00:00.000+00:00,1.0,1,1,5,5bf7430dfb1666002326257a,1,1.0,1,0,3.2,1,1,1.0
2018-11-24T00:00:00.000+00:00,2.0,2,1,5,5bf9e624fb1666002329099c,2,2.0,2,0,2.8,2,1,2.0
2018-11-25T00:00:00.000+00:00,2.0,2,1,5,5bfb37e7fb166600232a9547,2,2.0,2,0,2.4,2,1,2.0
2018-11-26T00:00:00.000+00:00,1.5,2,1,2,5bfc8920fb1666002228b2ef,2,2.0,1,0,2.3,2,3,1.667
2018-11-27T00:00:00.000+00:00,2.0,2,1,2,5bfdda8cfb166600232d73d3,2,2.0,2,0,1.7,2,1,2.0
2018-11-29T00:00:00.000+00:00,1.0,1,1,2,5c007dedfb166600233070fb,1,1.0,1,0,1.7,1,2,1.0
2018-11-30T00:00:00.000+00:00,3.0,3,1,3,5c01cf2afb166600222e0a8d,3,3.0,3,0,1.9,3,1,3.0
2018-12-01T00:00:00.000+00:00,1.0,1,1,3,5c0320c0fb16660023336291,1,1.0,1,0,1.7,1,1,1.0
2018-12-02T00:00:00.000+00:00,2.0,2,1,3,5c047286fb1666002334dba8,2,2.0,2,0,1.8,2,3,2.0
2018-12-05T00:00:00.000+00:00,1.0,1,1,3,5c08668cfb1666002235019d,1,1.0,1,0,1.6,1,1,1.0
2018-12-08T00:00:00.000+00:00,2.0,2,1,2,5c0c5b163ae3e80024512081,2,2.0,2,0,1.8,2,1,2.0
2018-12-09T00:00:00.000+00:00,1.0,1,1,2,5c0dac933ae3e80023526052,1,1.0,1,0,1.4,1,1,1.0
2018-12-15T00:00:00.000+00:00,2.0,2,1,2,5c1595953ae3e800235b4473,2,2.0,2,0,1.6,2,2,2.0
2018-12-16T00:00:00.000+00:00,10.0,10,10,10,5c16e7123ae3e800245d8f3e,10,10.0,10,5,,10,1,10.0
2018-12-18T00:00:00.000+00:00,10.0,10,10,10,5c198a363ae3e8002460c099,10,10.0,10,5,,10,1,10.0
2018-12-20T00:00:00.000+00:00,2.0,2,1,2,5c1c2d4d3ae3e8002464074d,2,2.0,2,0,1.6,2,1,2.0
2018-12-25T00:00:00.000+00:00,2.5,2,1,3,5c22c4913ae3e800236aee90,3,3.0,2,0,1.9,3,3,2.667
2018-12-26T00:00:00.000+00:00,2.0,2,2,3,5c2416133ae3e800246dbdfa,2,2.0,2,0,1.9,2,6,2.0
2018-12-28T00:00:00.000+00:00,2.0,2,2,3,5c26b9103ae3e800236fba89,2,2.0,2,0,2.1,2,3,2.0
2018-12-29T00:00:00.000+00:00,5.0,5,5,10,5c280b243ae3e8002472cd09,5,5.0,5,5,,5,1,5.0
2018-12-30T00:00:00.000+00:00,10.0,10,5,10,5c295c123ae3e800247474a9,10,10.0,10,5,9.0,10,1,10.0
2018-12-31T00:00:00.000+00:00,1.5,2,1,3,5c2aad923ae3e8002374a9e1,2,1.0,1,0,2.0,1,4,1.5
2019-01-02T00:00:00.000+00:00,1.0,1,1,2,5c2d50b23ae3e80024797720,1,1.0,1,0,1.8,1,2,1.0
2019-01-03T00:00:00.000+00:00,3.0,4,1,4,5c2ea24d3ae3e800247b2857,4,3.0,2,0,1.9,2,2,3.0
2019-01-04T00:00:00.000+00:00,9.0,9,5,10,5c2ff4113ae3e800247ce283,9,9.0,9,5,8.8,9,1,9.0
2019-01-04T00:00:00.000+00:00,1.0,1,1,4,5c2ff4113ae3e800247ce282,1,1.0,1,0,1.7,1,1,1.0
2019-01-05T00:00:00.000+00:00,2.0,2,1,4,5c3145133ae3e800237cebc6,2,2.0,2,0,1.7,2,1,2.0
2019-01-06T00:00:00.000+00:00,6.0,6,5,10,5c3296af3ae3e800248043a3,6,6.0,6,5,8.0,6,1,6.0
2019-01-06T00:00:00.000+00:00,2.0,2,1,4,5c3296af3ae3e800248043a2,2,2.0,2,0,1.8,2,1,2.0
2019-01-10T00:00:00.000+00:00,2.0,2,1,2,5c37dcaa3ae3e800238547d8,2,2.0,2,0,2.0,2,1,2.0
2019-01-12T00:00:00.000+00:00,1.5,1,1,2,5c3a801d3ae3e8002388c2d1,2,1.5,1,0,1.7,2,2,1.5
2019-01-13T00:00:00.000+00:00,2.0,2,1,2,5c3bd1153ae3e800238a6967,2,2.0,2,0,1.9,2,1,2.0
2019-01-17T00:00:00.000+00:00,1.0,1,1,2,5c4117153ae3e80023911470,1,1.0,1,0,1.7,1,2,1.0
2019-01-18T00:00:00.000+00:00,2.5,4,1,4,5c4268913ae3e80024953e50,4,2.5,1,0,1.8,1,2,2.5
2019-01-19T00:00:00.000+00:00,15.0,15,6,15,5c43ba2f3ae3e80024970639,15,15.0,15,5,9.0,15,1,15.0
2019-01-19T00:00:00.000+00:00,2.0,2,1,4,5c43ba2f3ae3e80024970638,2,2.0,2,0,1.8,2,2,2.0
2019-01-20T00:00:00.000+00:00,2.0,2,1,4,5c450b983ae3e8002498e916,2,2.0,2,0,1.9,2,1,2.0
