datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,15.0,15,10,15,5be37d5cfb166600220e9be6,15,15.0,15,5,12.0,15.0,1,15.0
2018-11-07T00:00:00.000+00:00,3.0,5,1,5,5be37d5cfb166600220e9be5,5,3.0,1,0,3.4,1.0,22,2.636
2018-11-08T00:00:00.000+00:00,17.0,17,10,17,5be4cec3fb16660023124614,17,17.0,17,5,13.4,17.0,1,17.0
2018-11-08T00:00:00.000+00:00,2.5,2,1,5,5be4cec3fb16660023124613,4,3.0,1,0,3.2,2.0,19,2.632
2018-11-09T00:00:00.000+00:00,10.0,10,10,17,5be62013fb16660022111c4d,10,10.0,10,5,13.4,10.0,1,10.0
2018-11-09T00:00:00.000+00:00,4.0,3,1,6,5be62013fb16660022111c4c,6,3.0,2,0,3.3,3.0,18,3.333
2018-11-10T00:00:00.000+00:00,10.0,10,10,17,5be771bffb16660022128085,10,10.0,10,5,13.4,10.0,2,10.0
2018-11-10T00:00:00.000+00:00,3.5,3,1,6,5be771bffb16660022128084,5,3.0,2,0,3.2,2.0,38,2.842
2018-11-11T00:00:00.000+00:00,9.0,8,8,17,5be8c332fb1666002213e05a,10,8.0,8,5,12.2,8.0,3,8.667
2018-11-11T00:00:00.000+00:00,3.0,4,1,6,5be8c332fb1666002213e059,4,3.0,2,0,3.2,3.0,42,3.095
2018-11-12T00:00:00.000+00:00,12.0,12,8,12,5bea1513fb1666002317fd2a,12,12.0,12,5,11.6,12.0,1,12.0
2018-11-12T00:00:00.000+00:00,5.0,4,2,8,5bea1513fb1666002317fd29,8,3.0,2,0,3.6,3.0,44,3.455
2018-11-13T00:00:00.000+00:00,3.5,3,2,8,5beb6629fb1666002319594d,5,3.0,2,0,3.8,4.0,49,2.959
2018-11-14T00:00:00.000+00:00,15.0,15,8,15,5becb80bfb1666002217f129,15,15.0,15,5,11.2,15.0,4,15.0
2018-11-14T00:00:00.000+00:00,3.5,4,2,8,5becb80bfb1666002217f128,5,3.0,2,0,3.7,4.0,32,2.906
2018-11-15T00:00:00.000+00:00,15.0,15,8,15,5bee098afb16660022194a85,15,15.0,15,5,12.2,15.0,3,15.0
2018-11-15T00:00:00.000+00:00,3.5,5,2,8,5bee098afb16660022194a84,5,3.0,2,0,3.7,3.0,47,3.489
2018-11-16T00:00:00.000+00:00,11.0,10,10,15,5bef5b1ffb166600221ab17c,12,10.0,10,5,12.4,12.0,3,10.667
