datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,6.5,8,3,10,5be37d08fb166600220e8f12,10,6.5,3,7.3,7,75,6.44
2018-11-08T00:00:00.000+00:00,7.0,7,3,10,5be4ce2dfb1666002312301f,9,7.0,5,7.3,8,47,6.447
2018-11-09T00:00:00.000+00:00,7.0,6,3,10,5be61fa1fb16660022110f60,9,7.0,5,7.1,6,40,6.5
2018-11-10T00:00:00.000+00:00,7.0,9,3,10,5be7713dfb16660022126c89,9,7.0,5,6.9,8,65,6.846
2018-11-11T00:00:00.000+00:00,7.0,5,5,9,5be8c298fb16660023167885,9,7.0,5,6.9,7,98,6.98
2018-11-12T00:00:00.000+00:00,6.5,5,3,10,5bea141efb1666002317e3f9,10,6.0,3,6.9,7,90,6.378
2018-11-13T00:00:00.000+00:00,7.0,7,3,10,5beb65a4fb16660023194c5e,9,7.0,5,6.9,5,83,7.012
2018-11-14T00:00:00.000+00:00,6.0,4,3,10,5becb79dfb166600231ab71b,8,6.0,4,6.7,4,71,6.056
2018-11-15T00:00:00.000+00:00,6.5,5,3,10,5bee08e8fb166600231c19da,10,6.0,3,6.6,5,70,6.486
2018-11-16T00:00:00.000+00:00,7.0,6,3,10,5bef5aaffb166600221aa409,9,7.0,5,6.6,8,94,6.489
2018-11-17T00:00:00.000+00:00,7.0,5,3,10,5bf0ac31fb166600221c1b27,9,7.0,5,6.7,8,88,6.636
2018-11-18T00:00:00.000+00:00,7.0,5,3,10,5bf1fd20fb16660023206d23,9,7.0,5,6.7,8,87,7.126
2018-11-19T00:00:00.000+00:00,6.0,6,4,9,5bf34f26fb1666002321e3b2,8,6.0,4,6.7,8,76,6.132
2018-11-20T00:00:00.000+00:00,7.0,5,4,9,5bf4a08bfb166600222065e9,9,7.0,5,6.8,8,87,6.563
2018-11-21T00:00:00.000+00:00,7.0,5,4,9,5bf5f1b0fb1666002324b544,9,7.0,5,6.8,7,72,6.583
2018-11-22T00:00:00.000+00:00,7.5,7,4,9,5bf74319fb166600222321d7,8,8.0,7,6.9,7,53,7.604
2018-11-23T00:00:00.000+00:00,7.0,8,5,9,5bf89496fb16660022248548,9,7.0,5,6.9,6,76,7.118
2018-11-24T00:00:00.000+00:00,7.0,7,5,9,5bf9e619fb1666002225edb1,9,7.0,5,7.1,7,88,6.943
2018-11-25T00:00:00.000+00:00,7.0,9,5,9,5bfb37dbfb166600232a9353,9,7.0,5,7.1,6,93,7.022
2018-11-26T00:00:00.000+00:00,7.0,7,5,9,5bfc8915fb1666002228b108,9,7.0,5,7.1,8,76,7.079
2018-11-27T00:00:00.000+00:00,7.0,9,5,9,5bfdda96fb166600222a0a88,9,8.0,5,7.0,8,77,7.39
2018-11-28T00:00:00.000+00:00,7.0,8,5,9,5bff2c16fb166600232eef68,9,7.0,5,7.0,7,63,6.984
2018-11-29T00:00:00.000+00:00,8.0,6,5,10,5c007df0fb166600222cc079,10,8.0,6,7.2,8,74,7.811
2018-11-30T00:00:00.000+00:00,8.0,10,5,10,5c01cf2dfb1666002331e740,10,8.0,6,7.4,8,89,7.989
2018-12-01T00:00:00.000+00:00,8.0,8,5,10,5c0320b5fb16660023336090,10,8.0,6,7.6,7,100,7.8
2018-12-02T00:00:00.000+00:00,8.0,9,6,10,5c04727cfb1666002230ed96,10,8.0,6,7.8,9,74,7.811
2018-12-03T00:00:00.000+00:00,8.0,7,6,10,5c05c3e8fb16660022323dee,10,8.0,6,8.0,6,72,7.944
