datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-07T00:00:00.000+00:00,11.0,10,10,15,5be37d27fb1666002310d83e,12,11.0,10,0,,12,2,11.0
2018-11-08T00:00:00.000+00:00,12.0,12,12,12,5be4ce7dfb16660023123c6e,12,12.0,12,3,,12,1,12.0
2018-11-08T00:00:00.000+00:00,12.5,12,10,15,5be4ce7dfb16660023123c6d,13,12.0,12,0,,13,3,12.333
2018-11-09T00:00:00.000+00:00,10.0,10,10,12,5be61fbffb16660023139cab,10,10.0,10,3,,10,1,10.0
2018-11-09T00:00:00.000+00:00,13.0,13,10,14,5be61fbffb16660023139caa,13,13.0,13,0,12.5,13,1,13.0
2018-11-10T00:00:00.000+00:00,12.0,14,10,14,5be77178fb1666002212759a,14,11.5,10,0,12.1,10,4,11.75
2018-11-11T00:00:00.000+00:00,13.5,12,10,15,5be8c2c1fb1666002213d028,15,14.0,12,0,12.4,15,5,13.6
2018-11-12T00:00:00.000+00:00,15.0,15,10,15,5bea14a9fb16660022152edd,15,15.0,15,3,,15,1,15.0
2018-11-12T00:00:00.000+00:00,15.0,15,10,15,5bea14a9fb16660022152edc,15,15.0,15,0,13.2,15,1,15.0
2018-11-14T00:00:00.000+00:00,14.0,14,10,15,5becb7d0fb1666002217e957,14,14.0,14,0,13.5,14,1,14.0
2018-11-15T00:00:00.000+00:00,14.0,14,12,15,5bee090bfb16660022193d59,14,14.0,14,0,13.7,14,1,14.0
2018-11-16T00:00:00.000+00:00,13.0,13,13,15,5bef5acefb166600231d928b,13,13.0,13,0,13.9,13,2,13.0
2018-11-17T00:00:00.000+00:00,14.0,15,13,15,5bf0ac56fb166600231f06fe,15,14.0,13,0,14.0,13,2,14.0
2018-11-18T00:00:00.000+00:00,14.0,15,13,15,5bf1fd67fb166600221d8a43,15,14.0,13,0,13.8,14,3,14.0
2018-11-19T00:00:00.000+00:00,15.0,15,13,15,5bf34f46fb166600221efecf,15,15.0,15,0,14.0,15,1,15.0
2018-11-20T00:00:00.000+00:00,13.0,13,13,15,5bf4a0a3fb166600232351ad,13,13.0,13,0,13.8,13,1,13.0
2018-11-21T00:00:00.000+00:00,14.0,14,13,15,5bf5f1e3fb1666002221cb36,15,14.0,13,0,14.0,15,3,14.0
2018-11-22T00:00:00.000+00:00,13.5,14,13,15,5bf74337fb16660023262af9,14,13.0,13,0,13.9,13,3,13.333
2018-11-23T00:00:00.000+00:00,15.0,15,13,15,5bf894e1fb16660022249143,15,15.0,15,0,14.1,15,1,15.0
2018-11-24T00:00:00.000+00:00,15.0,15,10,15,5bf9e660fb1666002329127e,15,15.0,15,3,12.8,15,2,15.0
2018-11-24T00:00:00.000+00:00,12.5,15,10,15,5bf9e660fb1666002329127d,15,15.0,10,0,13.6,15,9,14.111
2018-11-25T00:00:00.000+00:00,12.5,11,10,15,5bfb382cfb166600232a9fea,14,13.5,11,0,13.5,14,4,13.0
2018-11-26T00:00:00.000+00:00,15.0,15,10,15,5bfc89a1fb166600232c1009,15,15.0,15,0,13.7,15,1,15.0
2018-11-27T00:00:00.000+00:00,22.5,15,10,30,5bfddaadfb166600232d793a,30,22.5,15,3,14.9,30,3,25.0
2018-11-27T00:00:00.000+00:00,14.5,14,10,15,5bfddaadfb166600232d7939,15,14.5,14,0,13.9,15,2,14.5
2018-11-28T00:00:00.000+00:00,15.0,15,11,15,5bff2c43fb166600222b64b0,15,15.0,15,0,13.9,15,1,15.0
2018-11-29T00:00:00.000+00:00,14.0,15,13,15,5c007e16fb166600222cc548,15,15.0,13,0,14.2,15,4,14.5
2018-11-30T00:00:00.000+00:00,14.0,13,13,15,5c01cf75fb166600222e1456,15,14.5,13,0,14.5,15,5,14.0
