datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-08T00:00:00.000+00:00,2.0,2,2,2,5be4ceb9fb166600220fdf38,2,2.0,2,0,,2,1,2.0
2018-11-11T00:00:00.000+00:00,1.0,1,1,2,5be8c31dfb16660023168b02,1,1.0,1,0,,1,1,1.0
2018-11-12T00:00:00.000+00:00,10.5,12,9,15,5bea150efb166600221539b0,12,10.5,9,5,,9,3,10.0
2018-11-12T00:00:00.000+00:00,2.0,1,1,3,5bea150efb166600221539af,3,2.0,1,0,,3,2,2.0
2018-11-14T00:00:00.000+00:00,11.5,13,9,15,5becb806fb166600231ac415,13,11.5,10,5,,10,2,11.5
2018-11-14T00:00:00.000+00:00,3.0,3,1,3,5becb806fb166600231ac414,3,3.0,3,0,,3,1,3.0
2018-11-15T00:00:00.000+00:00,1.0,1,1,3,5bee097efb166600231c2b29,1,1.0,1,0,1.8,1,1,1.0
2018-11-16T00:00:00.000+00:00,2.0,2,1,3,5bef5b0cfb166600231d9a19,2,2.0,2,0,1.8,2,10,2.0
2018-11-17T00:00:00.000+00:00,1.0,1,1,3,5bf0ac92fb166600231f0e94,1,1.0,1,0,1.8,1,1,1.0
2018-11-18T00:00:00.000+00:00,9.0,9,9,15,5bf1fdfbfb166600221d9b56,9,9.0,9,5,,9,1,9.0
2018-11-23T00:00:00.000+00:00,12.0,12,9,13,5bf89552fb1666002224a07b,12,12.0,12,5,11.6,12,1,12.0
2018-11-26T00:00:00.000+00:00,2.0,2,1,2,5bfc89c6fb1666002228ca7f,2,2.0,2,0,1.8,2,1,2.0
2018-11-27T00:00:00.000+00:00,1.5,1,1,2,5bfddadafb166600222a15ab,2,2.0,1,0,1.5,2,3,1.667
2018-11-28T00:00:00.000+00:00,9.0,9,9,13,5bff2c94fb166600232f0150,9,9.0,9,5,10.4,9,1,9.0
2018-11-30T00:00:00.000+00:00,1.0,1,1,2,5c01cfaffb166600222e1d1f,1,1.0,1,0,1.5,1,1,1.0
2018-12-01T00:00:00.000+00:00,9.0,9,9,12,5c032130fb16660023337202,9,9.0,9,5,10.1,9,1,9.0
2018-12-02T00:00:00.000+00:00,9.0,9,9,12,5c0472c9fb1666002230fa46,9,9.0,9,5,9.6,9,1,9.0
2018-12-02T00:00:00.000+00:00,1.0,1,1,2,5c0472c9fb1666002230fa45,1,1.0,1,0,1.3,1,5,1.0
2018-12-03T00:00:00.000+00:00,1.0,1,1,2,5c05c441fb16660023365283,1,1.0,1,0,1.3,1,1,1.0
2018-12-04T00:00:00.000+00:00,5.0,5,5,9,5c071564fb16660022339f98,5,5.0,5,5,8.8,5,1,5.0
2018-12-05T00:00:00.000+00:00,1.0,1,1,1,5c0866f2fb16660023390202,1,1.0,1,0,1.1,1,1,1.0
2018-12-08T00:00:00.000+00:00,1.0,1,1,1,5c0c5b6f3ae3e80024512e05,1,1.0,1,0,1.0,1,1,1.0
2018-12-10T00:00:00.000+00:00,14.0,14,5,14,5c0efe663ae3e80024543df5,14,14.0,14,5,9.2,14,1,14.0
2018-12-10T00:00:00.000+00:00,2.0,2,1,2,5c0efe663ae3e80024543df4,2,2.0,2,0,1.2,2,2,2.0
2018-12-12T00:00:00.000+00:00,2.0,2,1,2,5c11a1753ae3e8002457571d,2,2.0,2,0,1.4,2,2,2.0
