datetime,avg_price,closed_price,donch_bot,donch_top,id,max_price,median,min_price,mod_rank,moving_avg,open_price,volume,wa_price
2018-11-20T00:00:00.000+00:00,60.0,60,60,60,5bf4a08afb16660023234d44,60,60.0,60,5,,60,1,60.0
2018-11-25T00:00:00.000+00:00,6.0,6,6,6,5bfb37edfb166600232a964b,6,6.0,6,0,,6,1,6.0
2018-11-28T00:00:00.000+00:00,10.0,10,6,10,5bff2c13fb166600222b5e44,10,10.0,10,0,,10,2,10.0
2018-12-03T00:00:00.000+00:00,5.0,5,5,10,5c05c401fb1666002232418e,5,5.0,5,0,,5,1,5.0
2018-12-13T00:00:00.000+00:00,45.0,45,5,45,5c12f2983ae3e800235819a3,45,45.0,45,0,,45,1,45.0
2018-12-24T00:00:00.000+00:00,14.0,14,5,45,5c21731c3ae3e800236964cc,14,14.0,14,0,16.0,14,1,14.0
2018-12-26T00:00:00.000+00:00,21.5,28,5,45,5c24161e3ae3e800246dbf3e,28,21.5,15,0,19.1,15,2,21.5
2018-12-28T00:00:00.000+00:00,14.0,14,14,45,5c26b9173ae3e800236fbbd6,14,14.0,14,0,19.9,14,1,14.0
2019-01-06T00:00:00.000+00:00,15.0,15,14,28,5c3296b83ae3e80024804500,15,15.0,15,0,21.9,15,1,15.0
2019-01-14T00:00:00.000+00:00,14.0,14,14,28,5c3d22af3ae3e800248e4082,14,14.0,14,0,15.7,14,1,14.0
2019-01-16T00:00:00.000+00:00,15.0,15,14,15,5c3fc59c3ae3e800238f6ce6,15,15.0,15,0,15.9,15,1,15.0
2019-01-19T00:00:00.000+00:00,10.0,10,10,15,5c43ba383ae3e8002497079f,10,10.0,10,0,13.6,10,1,10.0
2019-01-20T00:00:00.000+00:00,9.0,9,9,15,5c450ba43ae3e8002498ea7d,9,9.0,9,0,12.6,9,1,9.0
